"","Year","Month","Canton","Cases"
"1",2000,1,"Alajuela",3
"2",2000,2,"Alajuela",1
"3",2000,3,"Alajuela",0
"4",2000,4,"Alajuela",0
"5",2000,5,"Alajuela",0
"6",2000,6,"Alajuela",0
"7",2000,7,"Alajuela",2
"8",2000,8,"Alajuela",4
"9",2000,9,"Alajuela",1
"10",2000,10,"Alajuela",0
"11",2000,11,"Alajuela",0
"12",2000,12,"Alajuela",0
"13",2001,1,"Alajuela",1
"14",2001,2,"Alajuela",0
"15",2001,3,"Alajuela",0
"16",2001,4,"Alajuela",0
"17",2001,5,"Alajuela",0
"18",2001,6,"Alajuela",0
"19",2001,7,"Alajuela",3
"20",2001,8,"Alajuela",3
"21",2001,9,"Alajuela",57
"22",2001,10,"Alajuela",42
"23",2001,11,"Alajuela",8
"24",2001,12,"Alajuela",5
"25",2002,1,"Alajuela",24
"26",2002,2,"Alajuela",5
"27",2002,3,"Alajuela",5
"28",2002,4,"Alajuela",3
"29",2002,5,"Alajuela",7
"30",2002,6,"Alajuela",2
"31",2002,7,"Alajuela",11
"32",2002,8,"Alajuela",311
"33",2002,9,"Alajuela",772
"34",2002,10,"Alajuela",42
"35",2002,11,"Alajuela",5
"36",2002,12,"Alajuela",15
"37",2003,1,"Alajuela",7
"38",2003,2,"Alajuela",5
"39",2003,3,"Alajuela",3
"40",2003,4,"Alajuela",10
"41",2003,5,"Alajuela",20
"42",2003,6,"Alajuela",51
"43",2003,7,"Alajuela",83
"44",2003,8,"Alajuela",140
"45",2003,9,"Alajuela",50
"46",2003,10,"Alajuela",16
"47",2003,11,"Alajuela",43
"48",2003,12,"Alajuela",6
"49",2004,1,"Alajuela",57
"50",2004,2,"Alajuela",75
"51",2004,3,"Alajuela",77
"52",2004,4,"Alajuela",99
"53",2004,5,"Alajuela",55
"54",2004,6,"Alajuela",56
"55",2004,7,"Alajuela",125
"56",2004,8,"Alajuela",291
"57",2004,9,"Alajuela",301
"58",2004,10,"Alajuela",209
"59",2004,11,"Alajuela",145
"60",2004,12,"Alajuela",107
"61",2005,1,"Alajuela",178
"62",2005,2,"Alajuela",61
"63",2005,3,"Alajuela",39
"64",2005,4,"Alajuela",52
"65",2005,5,"Alajuela",78
"66",2005,6,"Alajuela",200
"67",2005,7,"Alajuela",426
"68",2005,8,"Alajuela",586
"69",2005,9,"Alajuela",473
"70",2005,10,"Alajuela",122
"71",2005,11,"Alajuela",65
"72",2005,12,"Alajuela",40
"73",2006,1,"Alajuela",5
"74",2006,2,"Alajuela",17
"75",2006,3,"Alajuela",7
"76",2006,4,"Alajuela",1
"77",2006,5,"Alajuela",0
"78",2006,6,"Alajuela",2
"79",2006,7,"Alajuela",1
"80",2006,8,"Alajuela",0
"81",2006,9,"Alajuela",0
"82",2006,10,"Alajuela",2
"83",2006,11,"Alajuela",14
"84",2006,12,"Alajuela",11
"85",2007,1,"Alajuela",14
"86",2007,2,"Alajuela",3
"87",2007,3,"Alajuela",6
"88",2007,4,"Alajuela",1
"89",2007,5,"Alajuela",2
"90",2007,6,"Alajuela",8
"91",2007,7,"Alajuela",12
"92",2007,8,"Alajuela",19
"93",2007,9,"Alajuela",13
"94",2007,10,"Alajuela",8
"95",2007,11,"Alajuela",8
"96",2007,12,"Alajuela",2
"97",2008,1,"Alajuela",5
"98",2008,2,"Alajuela",1
"99",2008,3,"Alajuela",0
"100",2008,4,"Alajuela",0
"101",2008,5,"Alajuela",4
"102",2008,6,"Alajuela",2
"103",2008,7,"Alajuela",3
"104",2008,8,"Alajuela",24
"105",2008,9,"Alajuela",9
"106",2008,10,"Alajuela",11
"107",2008,11,"Alajuela",42
"108",2008,12,"Alajuela",49
"109",2009,1,"Alajuela",34
"110",2009,2,"Alajuela",11
"111",2009,3,"Alajuela",3
"112",2009,4,"Alajuela",0
"113",2009,5,"Alajuela",10
"114",2009,6,"Alajuela",6
"115",2009,7,"Alajuela",44
"116",2009,8,"Alajuela",120
"117",2009,9,"Alajuela",69
"118",2009,10,"Alajuela",149
"119",2009,11,"Alajuela",118
"120",2009,12,"Alajuela",25
"121",2010,1,"Alajuela",133
"122",2010,2,"Alajuela",139
"123",2010,3,"Alajuela",192
"124",2010,4,"Alajuela",135
"125",2010,5,"Alajuela",296
"126",2010,6,"Alajuela",221
"127",2010,7,"Alajuela",694
"128",2010,8,"Alajuela",488
"129",2010,9,"Alajuela",392
"130",2010,10,"Alajuela",225
"131",2010,11,"Alajuela",105
"132",2010,12,"Alajuela",38
"133",2011,1,"Alajuela",38
"134",2011,2,"Alajuela",27
"135",2011,3,"Alajuela",16
"136",2011,4,"Alajuela",7
"137",2011,5,"Alajuela",22
"138",2011,6,"Alajuela",23
"139",2011,7,"Alajuela",65
"140",2011,8,"Alajuela",53
"141",2011,9,"Alajuela",43
"142",2011,10,"Alajuela",52
"143",2011,11,"Alajuela",53
"144",2011,12,"Alajuela",16
"145",2012,1,"Alajuela",47
"146",2012,2,"Alajuela",46
"147",2012,3,"Alajuela",24
"148",2012,4,"Alajuela",40
"149",2012,5,"Alajuela",28
"150",2012,6,"Alajuela",89
"151",2012,7,"Alajuela",220
"152",2012,8,"Alajuela",289
"153",2012,9,"Alajuela",429
"154",2012,10,"Alajuela",240
"155",2012,11,"Alajuela",174
"156",2012,12,"Alajuela",48
"157",2013,1,"Alajuela",214
"158",2013,2,"Alajuela",140
"159",2013,3,"Alajuela",104
"160",2013,4,"Alajuela",56
"161",2013,5,"Alajuela",61
"162",2013,6,"Alajuela",119
"163",2013,7,"Alajuela",195
"164",2013,8,"Alajuela",442
"165",2013,9,"Alajuela",286
"166",2013,10,"Alajuela",214
"167",2013,11,"Alajuela",186
"168",2013,12,"Alajuela",77
"169",2014,1,"Alajuela",73
"170",2014,2,"Alajuela",48
"171",2014,3,"Alajuela",40
"172",2014,4,"Alajuela",19
"173",2014,5,"Alajuela",30
"174",2014,6,"Alajuela",37
"175",2014,7,"Alajuela",70
"176",2014,8,"Alajuela",154
"177",2014,9,"Alajuela",93
"178",2014,10,"Alajuela",67
"179",2014,11,"Alajuela",81
"180",2014,12,"Alajuela",36
"181",2015,1,"Alajuela",115
"182",2015,2,"Alajuela",29
"183",2015,3,"Alajuela",10
"184",2015,4,"Alajuela",17
"185",2015,5,"Alajuela",28
"186",2015,6,"Alajuela",27
"187",2015,7,"Alajuela",37
"188",2015,8,"Alajuela",127
"189",2015,9,"Alajuela",144
"190",2015,10,"Alajuela",244
"191",2015,11,"Alajuela",562
"192",2015,12,"Alajuela",626
"193",2016,1,"Alajuela",1070
"194",2016,2,"Alajuela",555
"195",2016,3,"Alajuela",121
"196",2016,4,"Alajuela",61
"197",2016,5,"Alajuela",78
"198",2016,6,"Alajuela",90
"199",2016,7,"Alajuela",236
"200",2016,8,"Alajuela",366
"201",2016,9,"Alajuela",399
"202",2016,10,"Alajuela",498
"203",2016,11,"Alajuela",313
"204",2016,12,"Alajuela",234
"205",2017,1,"Alajuela",184
"206",2017,2,"Alajuela",49
"207",2017,3,"Alajuela",27
"208",2017,4,"Alajuela",19
"209",2017,5,"Alajuela",51
"210",2017,6,"Alajuela",73
"211",2017,7,"Alajuela",108
"212",2017,8,"Alajuela",78
"213",2017,9,"Alajuela",77
"214",2017,10,"Alajuela",77
"215",2017,11,"Alajuela",30
"216",2017,12,"Alajuela",2
"217",2018,1,"Alajuela",14
"218",2018,2,"Alajuela",21
"219",2018,3,"Alajuela",8
"220",2018,4,"Alajuela",12
"221",2018,5,"Alajuela",17
"222",2018,6,"Alajuela",28
"223",2018,7,"Alajuela",15
"224",2018,8,"Alajuela",13
"225",2018,9,"Alajuela",20
"226",2018,10,"Alajuela",15
"227",2018,11,"Alajuela",25
"228",2018,12,"Alajuela",15
"229",2019,1,"Alajuela",12
"230",2019,2,"Alajuela",15
"231",2019,3,"Alajuela",16
"232",2019,4,"Alajuela",9
"233",2019,5,"Alajuela",25
"234",2019,6,"Alajuela",56
"235",2019,7,"Alajuela",100
"236",2019,8,"Alajuela",173
"237",2019,9,"Alajuela",135
"238",2019,10,"Alajuela",186
"239",2019,11,"Alajuela",109
"240",2019,12,"Alajuela",14
"241",2020,1,"Alajuela",107
"242",2020,2,"Alajuela",131
"243",2020,3,"Alajuela",18
"244",2020,4,"Alajuela",20
"245",2020,5,"Alajuela",11
"246",2020,6,"Alajuela",30
"247",2020,7,"Alajuela",12
"248",2020,8,"Alajuela",20
"249",2020,9,"Alajuela",8
"250",2020,10,"Alajuela",7
"251",2020,11,"Alajuela",2
"252",2020,12,"Alajuela",1
"253",2021,1,"Alajuela",18
"254",2021,2,"Alajuela",23
"255",2021,3,"Alajuela",11
"256",2021,4,"Alajuela",0
"257",2021,5,"Alajuela",0
"258",2000,1,"Alajuelita",0
"259",2000,2,"Alajuelita",0
"260",2000,3,"Alajuelita",0
"261",2000,4,"Alajuelita",0
"262",2000,5,"Alajuelita",0
"263",2000,6,"Alajuelita",0
"264",2000,7,"Alajuelita",1
"265",2000,8,"Alajuelita",0
"266",2000,9,"Alajuelita",0
"267",2000,10,"Alajuelita",0
"268",2000,11,"Alajuelita",0
"269",2000,12,"Alajuelita",0
"270",2001,1,"Alajuelita",0
"271",2001,2,"Alajuelita",0
"272",2001,3,"Alajuelita",0
"273",2001,4,"Alajuelita",0
"274",2001,5,"Alajuelita",0
"275",2001,6,"Alajuelita",2
"276",2001,7,"Alajuelita",0
"277",2001,8,"Alajuelita",1
"278",2001,9,"Alajuelita",0
"279",2001,10,"Alajuelita",0
"280",2001,11,"Alajuelita",0
"281",2001,12,"Alajuelita",0
"282",2002,1,"Alajuelita",0
"283",2002,2,"Alajuelita",0
"284",2002,3,"Alajuelita",0
"285",2002,4,"Alajuelita",0
"286",2002,5,"Alajuelita",0
"287",2002,6,"Alajuelita",0
"288",2002,7,"Alajuelita",0
"289",2002,8,"Alajuelita",0
"290",2002,9,"Alajuelita",11
"291",2002,10,"Alajuelita",11
"292",2002,11,"Alajuelita",3
"293",2002,12,"Alajuelita",0
"294",2003,1,"Alajuelita",0
"295",2003,2,"Alajuelita",0
"296",2003,3,"Alajuelita",0
"297",2003,4,"Alajuelita",5
"298",2003,5,"Alajuelita",2
"299",2003,6,"Alajuelita",0
"300",2003,7,"Alajuelita",0
"301",2003,8,"Alajuelita",3
"302",2003,9,"Alajuelita",2
"303",2003,10,"Alajuelita",0
"304",2003,11,"Alajuelita",5
"305",2003,12,"Alajuelita",0
"306",2004,1,"Alajuelita",0
"307",2004,2,"Alajuelita",3
"308",2004,3,"Alajuelita",0
"309",2004,4,"Alajuelita",0
"310",2004,5,"Alajuelita",2
"311",2004,6,"Alajuelita",1
"312",2004,7,"Alajuelita",0
"313",2004,8,"Alajuelita",1
"314",2004,9,"Alajuelita",1
"315",2004,10,"Alajuelita",5
"316",2004,11,"Alajuelita",3
"317",2004,12,"Alajuelita",0
"318",2005,1,"Alajuelita",0
"319",2005,2,"Alajuelita",1
"320",2005,3,"Alajuelita",1
"321",2005,4,"Alajuelita",1
"322",2005,5,"Alajuelita",0
"323",2005,6,"Alajuelita",3
"324",2005,7,"Alajuelita",11
"325",2005,8,"Alajuelita",20
"326",2005,9,"Alajuelita",29
"327",2005,10,"Alajuelita",79
"328",2005,11,"Alajuelita",22
"329",2005,12,"Alajuelita",2
"330",2006,1,"Alajuelita",4
"331",2006,2,"Alajuelita",1
"332",2006,3,"Alajuelita",4
"333",2006,4,"Alajuelita",8
