Year,Month,Canton,Cases
2000,1,Abangares,0
2000,2,Abangares,0
2000,3,Abangares,0
2000,4,Abangares,0
2000,5,Abangares,0
2000,6,Abangares,0
2000,7,Abangares,0
2000,8,Abangares,0
2000,9,Abangares,5
2000,10,Abangares,1
2000,11,Abangares,1
2000,12,Abangares,0
2001,1,Abangares,1
2001,2,Abangares,0
2001,3,Abangares,0
2001,4,Abangares,1
2001,5,Abangares,0
2001,6,Abangares,1
2001,7,Abangares,24
2001,8,Abangares,15
2001,9,Abangares,74
2001,10,Abangares,18
2001,11,Abangares,7
2001,12,Abangares,5
2002,1,Abangares,30
2002,2,Abangares,23
2002,3,Abangares,8
2002,4,Abangares,4
2002,5,Abangares,2
2002,6,Abangares,2
2002,7,Abangares,2
2002,8,Abangares,33
2002,9,Abangares,2
2002,10,Abangares,4
2002,11,Abangares,3
2002,12,Abangares,2
2003,1,Abangares,2
2003,2,Abangares,2
2003,3,Abangares,4
2003,4,Abangares,0
2003,5,Abangares,6
2003,6,Abangares,8
2003,7,Abangares,6
2003,8,Abangares,13
2003,9,Abangares,23
2003,10,Abangares,26
2003,11,Abangares,28
2003,12,Abangares,8
2004,1,Abangares,11
2004,2,Abangares,31
2004,3,Abangares,12
2004,4,Abangares,4
2004,5,Abangares,12
2004,6,Abangares,2
2004,7,Abangares,4
2004,8,Abangares,0
2004,9,Abangares,3
2004,10,Abangares,8
2004,11,Abangares,4
2004,12,Abangares,2
2005,1,Abangares,0
2005,2,Abangares,0
2005,3,Abangares,1
2005,4,Abangares,1
2005,5,Abangares,2
2005,6,Abangares,4
2005,7,Abangares,32
2005,8,Abangares,49
2005,9,Abangares,30
2005,10,Abangares,63
2005,11,Abangares,33
2005,12,Abangares,20
2006,1,Abangares,13
2006,2,Abangares,4
2006,3,Abangares,0
2006,4,Abangares,0
2006,5,Abangares,1
2006,6,Abangares,5
2006,7,Abangares,9
2006,8,Abangares,1
2006,9,Abangares,0
2006,10,Abangares,0
2006,11,Abangares,1
2006,12,Abangares,8
2007,1,Abangares,14
2007,2,Abangares,49
2007,3,Abangares,46
2007,4,Abangares,13
2007,5,Abangares,12
2007,6,Abangares,106
2007,7,Abangares,133
2007,8,Abangares,208
2007,9,Abangares,94
2007,10,Abangares,64
2007,11,Abangares,42
2007,12,Abangares,14
2008,1,Abangares,4
2008,2,Abangares,1
2008,3,Abangares,1
2008,4,Abangares,0
2008,5,Abangares,2
2008,6,Abangares,2
2008,7,Abangares,4
2008,8,Abangares,6
2008,9,Abangares,4
2008,10,Abangares,6
2008,11,Abangares,11
2008,12,Abangares,2
2009,1,Abangares,30
2009,2,Abangares,5
2009,3,Abangares,6
2009,4,Abangares,0
2009,5,Abangares,2
2009,6,Abangares,0
2009,7,Abangares,2
2009,8,Abangares,4
2009,9,Abangares,5
2009,10,Abangares,7
2009,11,Abangares,95
2009,12,Abangares,125
2010,1,Abangares,88
2010,2,Abangares,91
2010,3,Abangares,82
2010,4,Abangares,32
2010,5,Abangares,106
2010,6,Abangares,208
2010,7,Abangares,194
2010,8,Abangares,81
2010,9,Abangares,53
2010,10,Abangares,25
2010,11,Abangares,7
2010,12,Abangares,2
2011,1,Abangares,0
2011,2,Abangares,0
2011,3,Abangares,0
2011,4,Abangares,0
2011,5,Abangares,0
2011,6,Abangares,2
2011,7,Abangares,1
2011,8,Abangares,14
2011,9,Abangares,20
2011,10,Abangares,9
2011,11,Abangares,15
2011,12,Abangares,4
2012,1,Abangares,0
2012,2,Abangares,8
2012,3,Abangares,7
2012,4,Abangares,0
2012,5,Abangares,3
2012,6,Abangares,15
2012,7,Abangares,25
2012,8,Abangares,10
2012,9,Abangares,22
2012,10,Abangares,69
2012,11,Abangares,17
2012,12,Abangares,0
2013,1,Abangares,78
2013,2,Abangares,40
2013,3,Abangares,10
2013,4,Abangares,1
2013,5,Abangares,0
2013,6,Abangares,10
2013,7,Abangares,30
2013,8,Abangares,105
2013,9,Abangares,99
2013,10,Abangares,62
2013,11,Abangares,69
2013,12,Abangares,30
2014,1,Abangares,13
2014,2,Abangares,5
2014,3,Abangares,3
2014,4,Abangares,0
2014,5,Abangares,3
2014,6,Abangares,2
2014,7,Abangares,2
2014,8,Abangares,4
2014,9,Abangares,4
2014,10,Abangares,3
2014,11,Abangares,8
2014,12,Abangares,17
2015,1,Abangares,37
2015,2,Abangares,13
2015,3,Abangares,12
2015,4,Abangares,7
2015,5,Abangares,7
2015,6,Abangares,29
2015,7,Abangares,159
2015,8,Abangares,474
2015,9,Abangares,298
2015,10,Abangares,393
2015,11,Abangares,216
2015,12,Abangares,182
2016,1,Abangares,61
2016,2,Abangares,18
2016,3,Abangares,8
