"ew_start","sum_of_cases","dengue","sintomas.dengue","uf","lwr","upr","prediction"
2019-03-10,70254,11,3,"BR",45333,92590.1428571429,67867.2722571814
2019-03-17,83530,12,3,"BR",48341.2,99743.8571428572,74168.5954968028
2019-03-24,94361,15,4,"BR",64565,127906.571428571,96131.354176573
2019-03-31,105946,16,4,"BR",67573.2,135060.285714286,102432.677416194
2019-04-07,113876,16,4,"BR",67573.2,135060.285714286,102432.677416194
2019-04-14,117091,16,5,"BR",74772.4,141761.857142857,105491.4663771
2019-04-21,133161,20,6,"BR",94004.4,177078.285714286,133755.548296492
2019-04-28,136956,21,6,"BR",97012.6,184232,140056.871536113
2019-05-05,141897,19,5,"BR",83797,163223,124395.436095965
2019-05-12,132149,19,5,"BR",83797,163223,124395.436095965
2019-05-19,112382,19,5,"BR",83797,163223,124395.436095965
2019-05-26,93041,17,4,"BR",70581.4,142214,108734.000655816
2019-06-02,72283,14,4,"BR",61556.8,120752.857142857,89830.0309369516
2019-06-09,57992,11,3,"BR",45333,92590.1428571429,67867.2722571814
2019-06-16,43876,9,3,"BR",39316.6,78282.7142857143,55264.6257779386
2019-06-23,38802,8,3,"BR",36308.4,71129,48963.3025383172
2019-06-30,30071,7,2,"BR",26101,57273.7142857143,39603.1903377898
2019-07-07,23822,5,1,"BR",12885.4,36264.7142857143,23941.754897641
2019-07-14,19640,4,1,"BR",9877.2,29111,17640.4316580196
2019-07-21,17059,4,1,"BR",9877.2,29111,17640.4316580196
2019-07-28,15277,4,1,"BR",9877.2,29111,17640.4316580196
2019-08-04,14213,4,1,"BR",9877.2,29111,17640.4316580196
2019-08-11,12520,4,1,"BR",9877.2,29111,17640.4316580196
2019-08-18,11729,4,1,"BR",9877.2,29111,17640.4316580196
2019-08-25,10705,3,1,"BR",6869,21957.2857142857,11339.1084183982
2019-09-01,10566,3,1,"BR",6869,21957.2857142857,11339.1084183982
2019-09-08,10952,4,1,"BR",9877.2,29111,17640.4316580196
2019-09-15,10636,4,1,"BR",9877.2,29111,17640.4316580196
2019-09-22,9369,3,1,"BR",6869,21957.2857142857,11339.1084183982
2019-09-29,10214,3,1,"BR",6869,21957.2857142857,11339.1084183982
2019-10-06,9648,3,1,"BR",6869,21957.2857142857,11339.1084183982
2019-10-13,9928,3,1,"BR",6869,21957.2857142857,11339.1084183982
2019-10-20,9468,3,1,"BR",6869,21957.2857142857,11339.1084183982
2019-10-27,10137,3,1,"BR",6869,21957.2857142857,11339.1084183982
2019-11-03,10645,4,1,"BR",9877.2,29111,17640.4316580196
2019-11-10,10552,3,1,"BR",6869,21957.2857142857,11339.1084183982
2019-11-17,11844,4,1,"BR",9877.2,29111,17640.4316580196
2019-11-24,12007,3,1,"BR",6869,21957.2857142857,11339.1084183982
2019-12-01,13488,3,1,"BR",6869,21957.2857142857,11339.1084183982
2019-12-08,14688,3,1,"BR",6869,21957.2857142857,11339.1084183982
2019-12-15,13930,3,1,"BR",6869,21957.2857142857,11339.1084183982
2019-12-22,10961,4,1,"BR",9877.2,29111,17640.4316580196
2019-12-29,14880,4,1,"BR",9877.2,29111,17640.4316580196
2020-01-05,30642,5,1,"BR",12885.4,36264.7142857143,23941.754897641
2020-01-12,40088,6,2,"BR",23092.8,50120,33301.8670981684
2020-01-19,50585,6,2,"BR",23092.8,50120,33301.8670981684
2020-01-26,56645,8,2,"BR",29109.2,64427.4285714286,45904.5135774112
2020-02-02,71822,9,2,"BR",32117.4,71581.1428571429,52205.8368170326
2020-02-09,84189,12,3,"BR",48341.2,99743.8571428572,74168.5954968028
2020-02-16,76283,15,4,"BR",64565,127906.571428571,96131.354176573
2020-02-23,79002,14,4,"BR",61556.8,120752.857142857,89830.0309369516
2020-03-01,88943,15,4,"BR",64565,127906.571428571,96131.354176573
2020-03-08,84163,19,4,"BR",76597.8,156521.428571429,121336.647135059
2020-03-15,59688,20,5,"BR",86805.2,170376.714285714,130696.759335586
2020-03-22,53239,16,4,"BR",67573.2,135060.285714286,102432.677416194
2020-03-29,54970,13,3,"BR",51349.4,106897.571428571,80469.9187364243
2020-04-05,54864,12,3,"BR",48341.2,99743.8571428572,74168.5954968028
2020-04-12,54737,12,3,"BR",48341.2,99743.8571428572,74168.5954968028
2020-04-19,51300,11,3,"BR",45333,92590.1428571429,67867.2722571814
2020-04-26,47885,11,3,"BR",45333,92590.1428571429,67867.2722571814
2020-05-03,44996,10,3,"BR",42324.8,85436.4285714286,61565.94901756
2020-05-10,40124,9,2,"BR",32117.4,71581.1428571429,52205.8368170326
2020-05-17,33405,9,2,"BR",32117.4,71581.1428571429,52205.8368170326
2020-05-24,27896,8,2,"BR",29109.2,64427.4285714286,45904.5135774112
2020-05-31,26101,7,2,"BR",26101,57273.7142857143,39603.1903377898
2020-06-07,24069,7,2,"BR",26101,57273.7142857143,39603.1903377898
2020-06-14,24640,6,2,"BR",23092.8,50120,33301.8670981684
2020-06-21,20311,6,2,"BR",23092.8,50120,33301.8670981684
2020-06-28,18872,5,1,"BR",12885.4,36264.7142857143,23941.754897641
2020-07-05,16895,5,1,"BR",12885.4,36264.7142857143,23941.754897641
2020-07-12,14082,4,1,"BR",9877.2,29111,17640.4316580196
