"ew_start","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","dengue","sintomas.dengue","uf","lwr","upr","prediction"
2019-03-10,70254,70254,70254,70254,11,3,"BR",44806,88947.96,66396.6825518365
2019-03-17,83530,83530,83530,83530,13,3,"BR",50810,101880.44,76600.5051676409
2019-03-24,94361,94361,94361,94361,15,4,"BR",63819,122426.52,93890.6644869527
2019-03-31,105946,105946,105946,105946,16,4,"BR",66821,128892.76,98992.5757948549
2019-04-07,113876,113876,113876,113876,16,4,"BR",66821,128892.76,98992.5757948549
2019-04-14,117091,117091,117091,NA,16,5,"BR",73826,136506.36,106078.912498362
2019-04-21,133161,133161,133161,NA,20,6,"BR",92839,169984.92,133572.894433479
2019-04-28,136956,136956,136956,NA,22,6,"BR",98843,182917.4,143776.717049283
2019-05-05,141897,141897,141897,NA,20,5,"BR",85834,162371.32,126486.557729971
2019-05-12,132149,132149,132149,NA,20,5,"BR",85834,162371.32,126486.557729971
2019-05-19,112382,112382,112382,NA,19,5,"BR",82832,155905.08,121384.646422069
2019-05-26,93041,93041,93041,93041,17,5,"BR",76828,142972.6,111180.823806265
2019-06-02,72283,72283,72283,72283,14,4,"BR",60817,115960.28,88788.7531790505
2019-06-09,57992,57992,57992,57992,11,3,"BR",44806,88947.96,66396.6825518365
2019-06-16,43876,43876,43876,43876,9,3,"BR",38802,76015.48,56192.8599360321
2019-06-23,38802,38802,38802,38802,9,3,"BR",38802,76015.48,56192.8599360321
2019-06-30,30071,30071,30071,30071,6,2,"BR",22791,49003.16,33800.7893088181
2019-07-07,23822,23822,23822,23822,5,1,"BR",12784,34923.32,21612.5412974085
2019-07-14,19640,19640,19640,19640,4,1,"BR",9782,28457.08,16510.6299895063
2019-07-21,17059,17059,17059,17059,4,1,"BR",9782,28457.08,16510.6299895063
2019-07-28,15277,15277,15277,15277,4,1,"BR",9782,28457.08,16510.6299895063
2019-08-04,14213,14213,14213,14213,4,1,"BR",9782,28457.08,16510.6299895063
2019-08-11,12520,12520,12520,12520,4,1,"BR",9782,28457.08,16510.6299895063
2019-08-18,11729,11729,11729,11729,4,1,"BR",9782,28457.08,16510.6299895063
2019-08-25,10705,10705,10705,10705,4,1,"BR",9782,28457.08,16510.6299895063
2019-09-01,10566,10566,10566,10566,3,1,"BR",6780,21990.84,11408.7186816041
2019-09-08,10952,10952,10952,10952,4,1,"BR",9782,28457.08,16510.6299895063
2019-09-15,10636,10636,10636,10636,4,1,"BR",9782,28457.08,16510.6299895063
2019-09-22,9369,9369,9369,9369,3,1,"BR",6780,21990.84,11408.7186816041
2019-09-29,10214,10214,10214,10214,3,1,"BR",6780,21990.84,11408.7186816041
2019-10-06,9648,9648,9648,9648,3,1,"BR",6780,21990.84,11408.7186816041
2019-10-13,9928,9928,9928,9928,3,1,"BR",6780,21990.84,11408.7186816041
2019-10-20,9468,9468,9468,9468,3,1,"BR",6780,21990.84,11408.7186816041
2019-10-27,10137,10137,10137,10137,3,1,"BR",6780,21990.84,11408.7186816041
2019-11-03,10645,10645,10645,10645,4,1,"BR",9782,28457.08,16510.6299895063
2019-11-10,10552,10552,10552,10552,4,1,"BR",9782,28457.08,16510.6299895063
2019-11-17,11844,11844,11844,11844,4,1,"BR",9782,28457.08,16510.6299895063
2019-11-24,12007,12007,12007,12007,3,1,"BR",6780,21990.84,11408.7186816041
2019-12-01,13488,13488,13488,13488,3,1,"BR",6780,21990.84,11408.7186816041
2019-12-08,14688,14688,14688,14688,3,1,"BR",6780,21990.84,11408.7186816041
2019-12-15,13930,13930,13930,13930,3,1,"BR",6780,21990.84,11408.7186816041
2019-12-22,10961,10961,10961,10961,4,1,"BR",9782,28457.08,16510.6299895063
2019-12-29,14880,14880,14880,14880,4,1,"BR",9782,28457.08,16510.6299895063
2020-01-05,30642,30642,30642,30642,5,1,"BR",12784,34923.32,21612.5412974085
2020-01-12,40088,40088,40088,40088,6,2,"BR",22791,49003.16,33800.7893088181
2020-01-19,50585,50585,50585,50585,6,2,"BR",22791,49003.16,33800.7893088181
2020-01-26,56645,56645,56645,56645,8,2,"BR",28795,61935.64,44004.6119246225
2020-02-02,71822,71822,71822,71822,9,2,"BR",31797,68401.88,49106.5232325247
2020-02-09,84189,84189,84189,84189,12,3,"BR",47808,95414.2,71498.5938597387
2020-02-16,76283,76283,76283,76283,15,4,"BR",63819,122426.52,93890.6644869527
2020-02-23,79002,79002,79002,79002,14,4,"BR",60817,115960.28,88788.7531790505
2020-03-01,88943,88943,88943,88943,15,4,"BR",63819,122426.52,93890.6644869527
2020-03-08,84163,84163,84163,84163,18,4,"BR",72825,141825.24,109196.398410659
2020-03-15,59688,59688,59688,59688,20,5,"BR",85834,162371.32,126486.557729971
2020-03-22,53239,53239,53239,53239,16,4,"BR",66821,128892.76,98992.5757948549
2020-03-29,54970,54970,54970,54970,14,3,"BR",53812,108346.68,81702.4164755431
2020-04-05,54864,54864,54864,54864,12,3,"BR",47808,95414.2,71498.5938597387
2020-04-12,54737,54737,54737,54737,12,3,"BR",47808,95414.2,71498.5938597387
2020-04-19,51300,51300,51300,51300,11,3,"BR",44806,88947.96,66396.6825518365
2020-04-26,47885,47885,47885,47885,11,3,"BR",44806,88947.96,66396.6825518365
2020-05-03,44996,44996,44996,44996,10,3,"BR",41804,82481.72,61294.7712439343
2020-05-10,40124,40124,40124,40124,9,2,"BR",31797,68401.88,49106.5232325247
2020-05-17,33405,33405,33405,33405,9,2,"BR",31797,68401.88,49106.5232325247
2020-05-24,27896,27896,27896,27896,8,2,"BR",28795,61935.64,44004.6119246225
2020-05-31,26101,26101,26101,26101,7,2,"BR",25793,55469.4,38902.7006167203
2020-06-07,24069,24069,24069,24069,7,2,"BR",25793,55469.4,38902.7006167203
2020-06-14,24640,24640,24640,24640,6,2,"BR",22791,49003.16,33800.7893088181
2020-06-21,20311,20311,20311,20311,6,2,"BR",22791,49003.16,33800.7893088181
2020-06-28,18872,18872,18872,18872,5,1,"BR",12784,34923.32,21612.5412974085
2020-07-05,16895,16895,16895,16895,5,1,"BR",12784,34923.32,21612.5412974085
2020-07-12,14082,14082,14082,14082,5,1,"BR",12784,34923.32,21612.5412974085
2020-07-19,12421,12421,12421,12421,4,1,"BR",9782,28457.08,16510.6299895063
2020-07-26,10349,10349,10349,10349,4,1,"BR",9782,28457.08,16510.6299895063
2020-08-02,8932,8932,8932,8932,3,1,"BR",6780,21990.84,11408.7186816041
2020-08-09,9150,9150,9150,9150,3,1,"BR",6780,21990.84,11408.7186816041
2020-08-16,7164,7164,7164,7164,3,1,"BR",6780,21990.84,11408.7186816041
2020-08-23,6869,6869,6869,6869,3,1,"BR",6780,21990.84,11408.7186816041
2020-08-30,6896,6896,6896,6896,2,1,"BR",3778,15524.6,6306.80737370193
2020-09-06,7055,7055,7055,7055,2,1,"BR",3778,15524.6,6306.80737370193
2020-09-13,6753,6753,6753,6753,3,1,"BR",6780,21990.84,11408.7186816041
2020-09-20,6780,6780,6780,6780,3,1,"BR",6780,21990.84,11408.7186816041
2020-09-27,6624,6624,6624,6624,3,0,"BR",0,14377.24,4322.38197809671
2020-10-04,6111,6111,6111,6111,3,1,"BR",6780,21990.84,11408.7186816041
2020-10-11,5780,5780,5780,5780,2,0,"BR",0,7911,0
2020-10-18,6030,6030,6030,6030,2,0,"BR",0,7911,0
2020-10-25,5223,5223,5223,5223,2,1,"BR",3778,15524.6,6306.80737370193
2020-11-01,6376,6376,6376,6376,2,0,"BR",0,7911,0
2020-11-08,6814,6814,6814,6814,3,1,"BR",6780,21990.84,11408.7186816041
2020-11-15,7665,7665,7665,7665,3,1,"BR",6780,21990.84,11408.7186816041
2020-11-22,7795,7795,7795,7795,3,1,"BR",6780,21990.84,11408.7186816041
2020-11-29,8635,8635,8635,8635,3,1,"BR",6780,21990.84,11408.7186816041
2020-12-06,8398,8398,8398,8398,3,1,"BR",6780,21990.84,11408.7186816041
2020-12-13,7821,7821,7821,7821,3,1,"BR",6780,21990.84,11408.7186816041
2020-12-20,7040,7040,7040,7040,3,1,"BR",6780,21990.84,11408.7186816041
2020-12-27,6018,6018,6018,6018,3,1,"BR",6780,21990.84,11408.7186816041
2021-01-03,12892,12892,12892,12892,4,1,"BR",9782,28457.08,16510.6299895063
2021-01-10,13487,13487,13487,13487,4,1,"BR",9782,28457.08,16510.6299895063
2021-01-17,15713,15713,15713,15713,4,1,"BR",9782,28457.08,16510.6299895063
2021-01-24,16482,16482,16482,16482,4,1,"BR",9782,28457.08,16510.6299895063
2021-01-31,20143,20143,20143,20143,4,1,"BR",9782,28457.08,16510.6299895063
2021-02-07,22137,22137,22137,22137,4,1,"BR",9782,28457.08,16510.6299895063
2021-02-14,26795,26795,26795,26795,5,1,"BR",12784,34923.32,21612.5412974085
2021-02-21,27877,27877,27877,27877,5,2,"BR",19789,42536.92,28698.8780009159
2021-02-28,32446,32446,32446,32446,6,2,"BR",22791,49003.16,33800.7893088181
2021-03-07,33129,33129,33129,33129,6,2,"BR",22791,49003.16,33800.7893088181
2021-03-14,35131,35131,35131,35131,7,2,"BR",25793,55469.4,38902.7006167203
2021-03-21,33500,33500,33500,33500,8,2,"BR",28795,61935.64,44004.6119246225
2021-03-28,38268,38268,38268,38268,9,2,"BR",31797,68401.88,49106.5232325247
2021-04-04,43759,43759,43759,43759,8,2,"BR",28795,61935.64,44004.6119246225
2021-04-11,40579,40579,40579,40579,8,2,"BR",28795,61935.64,44004.6119246225
