"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","dengue","sintomas.dengue","uf","lwr","upr","prediction"
2019-04-14,201916,96326,96326,96326,NA,16,5,"BR",42243,116616.666666667,84620.8302390414
2019-04-21,201917,110334,110334,110334,NA,19,6,"BR",51582.25,139878.666666667,102795.668415527
2019-04-28,201918,112666,112666,112666,NA,21,5,"BR",54709.25,142218.333333333,93345.8199265362
2019-05-05,201919,116114,116114,116114,NA,19,5,"BR",49722.75,131977.666666667,89855.8240515383
2019-05-12,201920,106146,106146,106146,NA,19,5,"BR",49722.75,131977.666666667,89855.8240515383
2019-05-19,201921,87816,87816,87816,NA,19,5,"BR",49722.75,131977.666666667,89855.8240515383
2019-05-26,201922,68774,68774,68774,68774,18,4,"BR",45370,118956.333333333,75170.9817500501
2019-06-02,201923,51187,51187,51187,51187,13,3,"BR",31044.25,85453.6666666666,53506.1476985661
2019-06-09,201924,40283,40283,40283,40283,11,3,"BR",26057.75,75213,50016.1518235682
2019-06-16,201925,30078,30078,30078,30078,9,3,"BR",21071.25,64972.3333333333,46526.1559485703
2019-06-23,201926,26304,26304,26304,26304,9,3,"BR",21071.25,64972.3333333333,46526.1559485703
2019-06-30,201927,19077,19077,19077,19077,6,2,"BR",11732,41710.3333333333,28351.3177720843
2019-07-07,201928,14530,14530,14530,14530,4,1,"BR",4886,23568.6666666667,11921.4775330972
2019-07-14,201929,11699,11699,11699,11699,4,1,"BR",4886,23568.6666666667,11921.4775330972
2019-07-21,201930,10370,10370,10370,10370,4,1,"BR",4886,23568.6666666667,11921.4775330972
2019-07-28,201931,9122,9122,9122,9122,4,1,"BR",4886,23568.6666666667,11921.4775330972
2019-08-04,201932,8621,8621,8621,8621,4,1,"BR",4886,23568.6666666667,11921.4775330972
2019-08-11,201933,7699,7699,7699,7699,4,1,"BR",4886,23568.6666666667,11921.4775330972
2019-08-18,201934,7170,7170,7170,7170,4,1,"BR",4886,23568.6666666667,11921.4775330972
