"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","sintomas.dengue","dengue","uf","lwr","upr","prediction"
2019-04-21,201917,160,160,160,160,0,0,"AC",51,400,150.378017366179
2019-04-28,201918,196,196,196,196,0,0,"AC",51,400,150.378017366179
2019-05-05,201919,152,152,152,152,0,0,"AC",51,400,150.378017366179
2019-05-12,201920,155,155,155,155,0,0,"AC",51,400,150.378017366179
2019-05-19,201921,137,137,137,137,0,0,"AC",51,400,150.378017366179
2019-05-26,201922,112,112,112,112,0,0,"AC",51,400,150.378017366179
2019-06-02,201923,93,93,93,93,0,0,"AC",51,400,150.378017366179
2019-06-09,201924,106,106,106,106,0,0,"AC",51,400,150.378017366179
2019-06-16,201925,87,87,87,87,0,0,"AC",51,400,150.378017366179
2019-06-23,201926,93,93,93,93,0,0,"AC",51,400,150.378017366179
2019-06-30,201927,74,74,74,74,0,0,"AC",51,400,150.378017366179
2019-07-07,201928,86,86,86,86,0,0,"AC",51,400,150.378017366179
2019-07-14,201929,84,84,84,84,0,0,"AC",51,400,150.378017366179
2019-07-21,201930,68,68,68,68,0,0,"AC",51,400,150.378017366179
2019-07-28,201931,102,102,102,102,0,0,"AC",51,400,150.378017366179
2019-08-04,201932,67,67,67,67,0,0,"AC",51,400,150.378017366179
2019-08-11,201933,52,52,52,52,0,0,"AC",51,400,150.378017366179
2019-08-18,201934,84,84,84,84,0,0,"AC",51,400,150.378017366179
2019-08-25,201935,91,91,91,91,0,0,"AC",51,400,150.378017366179
2019-09-01,201936,73,73,73,73,0,0,"AC",51,400,150.378017366179
2019-09-08,201937,119,119,119,119,0,0,"AC",51,400,150.378017366179
2019-09-15,201938,103,103,103,103,0,0,"AC",51,400,150.378017366179
2019-09-22,201939,79,79,79,79,0,0,"AC",51,400,150.378017366179
2019-09-29,201940,203,203,203,203,0,0,"AC",51,400,150.378017366179
2019-10-06,201941,285,285,285,285,0,0,"AC",51,400,150.378017366179
2019-10-13,201942,278,278,278,278,0,12,"AC",91.8,873.6,389.644914800958
2019-10-20,201943,352,352,352,352,0,13,"AC",95.2,913.066666666667,409.583822920523
2019-10-27,201944,420,420,420,420,0,0,"AC",51,400,150.378017366179
2019-11-03,201945,630,630,630,630,0,0,"AC",51,400,150.378017366179
2019-11-10,201946,809,809,809,809,0,13,"AC",95.2,913.066666666667,409.583822920523
2019-11-17,201947,919,919,919,919,0,22,"AC",125.8,1268.26666666667,589.033995996608
2019-11-24,201948,866,866,866,866,0,16,"AC",105.4,1031.46666666667,469.400547279218
2019-12-01,201949,1015,1015,1015,1015,0,20,"AC",119,1189.33333333333,549.156179757478
2019-12-08,201950,947,947,947,947,0,32,"AC",159.8,1662.93333333333,788.423077192257
2019-12-15,201951,787,787,787,787,0,16,"AC",105.4,1031.46666666667,469.400547279218
2019-12-22,201952,491,491,491,491,0,20,"AC",119,1189.33333333333,549.156179757478
2019-12-29,202001,642,642,642,642,0,22,"AC",125.8,1268.26666666667,589.033995996608
2020-01-05,202002,975,975,975,975,13,17,"AC",344.409523809524,975,773.463832753089
2020-01-12,202003,939,939,939,939,0,15,"AC",102,992,449.461639159653
2020-01-19,202004,753,753,753,753,0,15,"AC",102,992,449.461639159653
2020-01-26,202005,718,718,718,718,0,15,"AC",102,992,449.461639159653
2020-02-02,202006,542,542,542,542,0,12,"AC",91.8,873.6,389.644914800958
2020-02-09,202007,546,546,546,546,0,20,"AC",119,1189.33333333333,549.156179757478
2020-02-16,202008,386,386,386,386,0,13,"AC",95.2,913.066666666667,409.583822920523
2020-02-23,202009,331,331,331,331,0,11,"AC",88.4,834.133333333333,369.706006681393
2020-03-01,202010,304,304,304,304,0,17,"AC",108.8,1070.93333333333,489.339455398783
2020-03-08,202011,267,267,267,267,0,18,"AC",112.2,1110.4,509.278363518348
2020-03-15,202012,129,129,129,129,0,18,"AC",112.2,1110.4,509.278363518348
2020-03-22,202013,84,84,84,84,0,14,"AC",98.6,952.533333333333,429.522731040088
2020-03-29,202014,85,85,85,85,0,10,"AC",85,794.666666666667,349.767098561828
2020-04-05,202015,92,92,92,92,0,0,"AC",51,400,150.378017366179
2020-04-12,202016,105,105,105,105,0,0,"AC",51,400,150.378017366179
2020-04-19,202017,92,92,92,92,0,10,"AC",85,794.666666666667,349.767098561828
2020-04-26,202018,183,183,183,183,0,12,"AC",91.8,873.6,389.644914800958
2020-05-03,202019,224,224,224,224,0,13,"AC",95.2,913.066666666667,409.583822920523
2020-05-10,202020,441,441,441,441,0,13,"AC",95.2,913.066666666667,409.583822920523
2020-05-17,202021,312,312,312,312,0,12,"AC",91.8,873.6,389.644914800958
2020-05-24,202022,302,302,302,302,0,10,"AC",85,794.666666666667,349.767098561828
2020-05-31,202023,257,257,257,257,0,12,"AC",91.8,873.6,389.644914800958
2020-06-07,202024,283,283,283,283,0,14,"AC",98.6,952.533333333333,429.522731040088
2020-06-14,202025,224,224,224,224,0,13,"AC",95.2,913.066666666667,409.583822920523
2020-06-21,202026,123,123,123,123,0,17,"AC",108.8,1070.93333333333,489.339455398783
2020-06-28,202027,129,129,129,129,0,0,"AC",51,400,150.378017366179
2020-07-05,202028,110,110,110,110,0,0,"AC",51,400,150.378017366179
2020-07-12,202029,106,106,106,106,0,0,"AC",51,400,150.378017366179
2020-07-19,202030,84,84,84,84,0,0,"AC",51,400,150.378017366179
2020-07-26,202031,92,92,92,92,0,0,"AC",51,400,150.378017366179
2020-08-02,202032,74,74,74,74,0,0,"AC",51,400,150.378017366179
2020-08-09,202033,72,72,72,72,0,0,"AC",51,400,150.378017366179
2020-08-16,202034,73,73,73,73,0,0,"AC",51,400,150.378017366179
2020-08-23,202035,50,50,50,50,0,0,"AC",51,400,150.378017366179
2020-08-30,202036,78,78,78,78,0,0,"AC",51,400,150.378017366179
2020-09-06,202037,59,59,59,59,0,0,"AC",51,400,150.378017366179
2020-09-13,202038,64,64,64,64,0,0,"AC",51,400,150.378017366179
2020-09-20,202039,70,70,70,70,0,0,"AC",51,400,150.378017366179
2020-09-27,202040,75,75,75,75,0,9,"AC",81.6,755.2,329.828190442263
2020-10-04,202041,64,64,64,64,0,0,"AC",51,400,150.378017366179
2020-10-11,202042,79,79,79,79,0,0,"AC",51,400,150.378017366179
2020-10-18,202043,115,115,115,115,0,0,"AC",51,400,150.378017366179
2020-10-25,202044,114,114,114,114,0,0,"AC",51,400,150.378017366179
2020-11-01,202045,156,156,156,156,0,0,"AC",51,400,150.378017366179
2020-11-08,202046,236,236,236,236,0,0,"AC",51,400,150.378017366179
2020-11-15,202047,348,348,348,348,0,0,"AC",51,400,150.378017366179
2020-11-22,202048,386,386,386,386,0,8,"AC",78.2,715.733333333333,309.889282322698
2020-11-29,202049,514,514,514,514,0,14,"AC",98.6,952.533333333333,429.522731040088
2020-12-06,202050,469,469,469,469,0,17,"AC",108.8,1070.93333333333,489.339455398783
2020-12-13,202051,575,575,575,575,0,17,"AC",108.8,1070.93333333333,489.339455398783
2020-12-20,202052,641,641,641,641,0,26,"AC",139.4,1426.13333333333,668.789628474867
2020-12-27,202053,649,649,649,649,10,30,"AC",334.238095238095,1510.20512820513,967.102474302594
2021-01-03,202101,1813,1813,1813,1813,15,43,"AC",469.057142857143,1986.37435897436,1335.58688653167
2021-01-10,202102,1816,1816,1816,1816,22,49,"AC",616.32380952381,2171.51794871795,1608.21038459369
2021-01-17,202103,2209,2209,2209,2209,16,54,"AC",524.580952380952,2413.12820512821,1576.77059718183
2021-01-24,202104,1998,1998,1998,1998,15,55,"AC",509.857142857143,2459.97435897436,1574.85378396645
2021-01-31,202105,1996,1996,1996,1996,19,63,"AC",609.552380952381,2746.18974358974,1821.78793426276
2021-02-07,202106,1767,1767,1767,1767,18,61,"AC",584.628571428571,2674.6358974359,1760.05439668868
