"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","sintomas.dengue","dengue","uf","lwr","upr","prediction"
2019-04-21,201917,133161,133161,133161,NA,6,21,"BR",89249,176933.25,126405.281698421
2019-04-28,201918,136956,136956,136956,NA,6,22,"BR",92951,183059,129241.778461164
2019-05-05,201919,141897,141897,141897,NA,5,20,"BR",82195,162523,111453.308649323
2019-05-12,201920,132149,132149,132149,NA,5,20,"BR",82195,162523,111453.308649323
2019-05-19,201921,112382,112382,112382,NA,5,20,"BR",82195,162523,111453.308649323
2019-05-26,201922,93041,93041,93041,93041,5,17,"BR",71089,144145.75,102943.818361094
2019-06-02,201923,72283,72283,72283,72283,4,14,"BR",56631,117484,82318.8517865102
2019-06-09,201924,57992,57992,57992,57992,3,12,"BR",45875,96948,64530.3819746692
2019-06-16,201925,43876,43876,43876,43876,3,10,"BR",38471,84696.5,58857.3884491834
2019-06-23,201926,38802,38802,38802,38802,3,10,"BR",38471,84696.5,58857.3884491834
2019-06-30,201927,30071,30071,30071,30071,2,7,"BR",24013,58034.75,38232.4218745994
2019-07-07,201928,23822,23822,23822,23822,1,5,"BR",13257,37498.75,20443.9520627583
2019-07-14,201929,19640,19640,19640,19640,1,4,"BR",9555,31373,17607.4553000154
2019-07-21,201930,17059,17059,17059,17059,1,4,"BR",9555,31373,17607.4553000154
2019-07-28,201931,15277,15277,15277,15277,1,4,"BR",9555,31373,17607.4553000154
2019-08-04,201932,14213,14213,14213,14213,1,4,"BR",9555,31373,17607.4553000154
2019-08-11,201933,12520,12520,12520,12520,1,4,"BR",9555,31373,17607.4553000154
2019-08-18,201934,11729,11729,11729,11729,1,4,"BR",9555,31373,17607.4553000154
2019-08-25,201935,10705,10705,10705,10705,1,4,"BR",9555,31373,17607.4553000154
2019-09-01,201936,10566,10566,10566,10566,1,3,"BR",5853,25247.25,14770.9585372725
2019-09-08,201937,10952,10952,10952,10952,1,4,"BR",9555,31373,17607.4553000154
2019-09-15,201938,10636,10636,10636,10636,1,4,"BR",9555,31373,17607.4553000154
2019-09-22,201939,9369,9369,9369,9369,1,3,"BR",5853,25247.25,14770.9585372725
2019-09-29,201940,10214,10214,10214,10214,1,3,"BR",5853,25247.25,14770.9585372725
2019-10-06,201941,9648,9648,9648,9648,1,3,"BR",5853,25247.25,14770.9585372725
2019-10-13,201942,9928,9928,9928,9928,1,3,"BR",5853,25247.25,14770.9585372725
2019-10-20,201943,9468,9468,9468,9468,1,3,"BR",5853,25247.25,14770.9585372725
2019-10-27,201944,10137,10137,10137,10137,1,3,"BR",5853,25247.25,14770.9585372725
2019-11-03,201945,10645,10645,10645,10645,1,4,"BR",9555,31373,17607.4553000154
2019-11-10,201946,10552,10552,10552,10552,1,4,"BR",9555,31373,17607.4553000154
2019-11-17,201947,11844,11844,11844,11844,1,4,"BR",9555,31373,17607.4553000154
2019-11-24,201948,12007,12007,12007,12007,1,3,"BR",5853,25247.25,14770.9585372725
2019-12-01,201949,13488,13488,13488,13488,1,3,"BR",5853,25247.25,14770.9585372725
2019-12-08,201950,14688,14688,14688,14688,1,3,"BR",5853,25247.25,14770.9585372725
2019-12-15,201951,13930,13930,13930,13930,1,3,"BR",5853,25247.25,14770.9585372725
2019-12-22,201952,10961,10961,10961,10961,1,4,"BR",9555,31373,17607.4553000154
2019-12-29,202001,14880,14880,14880,14880,1,4,"BR",9555,31373,17607.4553000154
2020-01-05,202002,30642,30642,30642,30642,1,5,"BR",13257,37498.75,20443.9520627583
2020-01-12,202003,40088,40088,40088,40088,2,6,"BR",20311,51909,35395.9251118565
2020-01-19,202004,50585,50585,50585,50585,2,7,"BR",24013,58034.75,38232.4218745994
2020-01-26,202005,56645,56645,56645,56645,2,8,"BR",27715,64160.5,41068.9186373423
