"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","mintemp_mean","meantemp_mean","maxtemp_mean","minumid_mean","meanumid_mean","maxumid_mean","pop","inc_level","receptive","transmission","dengue","sintomas.dengue","uf","lwr","upr","prediction"
2019-04-28,201918,196,196,196,196,23.3246753246753,24.5379748571429,25.987012987013,91.0453967532468,97.1081522077922,100,894470,0.735776493342426,0.813020000670788,0.0216340402696569,0,0,"AC",51.502487562189,459,169.247894357552
2019-05-05,201919,152,152,152,152,23.0389610389611,24.3872538701299,26.3636363636364,88.404855051948,96.8695795324676,100,894470,0.683614878084229,0.753544557112033,0,0,0,"AC",51.502487562189,459,169.247894357552
2019-05-12,201920,155,155,155,155,20.2467532467532,21.4849044935065,22.9740259740259,91.9508255584416,96.4857322337662,99.4440494545454,894470,0.679261462094872,0,0.0259773944346932,0,0,"AC",51.502487562189,459,169.247894357552
2019-05-19,201921,137,137,137,137,21.7272727272727,22.915635012987,24.4675324675325,93.2470372467533,97.4295877662338,100,894470,0.653284067660179,0,0.0216340402696569,0,0,"AC",51.502487562189,459,169.247894357552
2019-05-26,201922,112,112,112,112,22.051948051948,23.3552872987013,25.1038961038961,92.7801248571429,97.6307940779221,100,894470,0.653284067660179,0.169456773284738,0,0,0,"AC",51.502487562189,459,169.247894357552
2019-06-02,201923,93,93,93,93,22,23.4684771428571,25.1818181818182,88.237953064935,94.1141437922078,98.5087818181818,894470,0.631650027390522,0.169456773284738,0,0,0,"AC",51.502487562189,459,169.247894357552
2019-06-09,201924,106,106,106,106,22.3896103896104,24.4171781818182,26.7142857142857,82.4385996233766,91.4008343376624,97.6627782337662,894470,0.653284067660179,0.169456773284738,0,0,0,"AC",51.502487562189,459,169.247894357552
2019-06-16,201925,87,87,87,87,21.5194805194805,23.3636363636364,25.6493506493506,84.0496983376623,92.5290517012987,98.2266205194805,894470,0.610015987120865,0.169456773284738,0,0,0,"AC",51.502487562189,459,169.247894357552
2019-06-23,201926,93,93,93,93,22.5454545454545,24.5804015584415,26.7012987012987,80.5356168051948,89.5560681298701,97.950220051948,894470,0.679261462094872,0.169456773284738,0,0,0,"AC",51.502487562189,459,169.247894357552
2019-06-30,201927,74,74,74,74,22.1298701298701,23.9447462077922,26.2467532467533,82.2775147792208,91.2423526103896,97.9749176623377,894470,0.169456773284738,0.169456773284738,0,0,0,"AC",51.502487562189,459,169.247894357552
