Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Sul),sintomas dengue: (Rio Grande do Sul),tratamento dengue: (Rio Grande do Sul)
2019-03-17,5,2,0
2019-03-24,8,2,1
2019-03-31,9,3,0
2019-04-07,8,3,0
2019-04-14,7,2,0
2019-04-21,9,3,0
2019-04-28,10,3,0
2019-05-05,8,3,0
2019-05-12,8,2,0
2019-05-19,10,4,0
2019-05-26,8,3,0
2019-06-02,7,2,0
2019-06-09,7,2,0
2019-06-16,7,2,0
2019-06-23,6,2,<1
2019-06-30,4,1,0
2019-07-07,3,1,0
2019-07-14,3,1,0
2019-07-21,2,1,0
2019-07-28,2,0,0
2019-08-04,2,1,<1
2019-08-11,2,1,0
2019-08-18,2,<1,0
2019-08-25,3,1,0
2019-09-01,2,0,0
2019-09-08,3,<1,0
2019-09-15,2,1,0
2019-09-22,2,1,0
2019-09-29,2,1,0
2019-10-06,2,<1,0
2019-10-13,3,1,0
2019-10-20,2,1,0
2019-10-27,2,<1,0
2019-11-03,2,1,0
2019-11-10,2,0,0
2019-11-17,3,1,0
2019-11-24,2,<1,0
2019-12-01,3,1,0
2019-12-08,2,1,0
2019-12-15,2,0,0
2019-12-22,3,1,0
2019-12-29,2,1,0
2020-01-05,3,1,0
2020-01-12,4,1,0
2020-01-19,4,1,0
2020-01-26,4,1,0
2020-02-02,4,1,0
2020-02-09,4,1,0
2020-02-16,6,2,0
2020-02-23,7,2,1
2020-03-01,8,3,0
2020-03-08,11,3,0
2020-03-15,13,4,0
2020-03-22,13,3,0
2020-03-29,13,4,0
2020-04-05,10,2,0
2020-04-12,11,3,0
2020-04-19,10,3,0
2020-04-26,9,3,0
2020-05-03,6,1,0
2020-05-10,8,2,0
2020-05-17,6,1,0
2020-05-24,5,1,0
2020-05-31,6,1,0
2020-06-07,5,1,0
2020-06-14,4,1,0
2020-06-21,4,1,0
2020-06-28,3,<1,0
2020-07-05,2,0,0
2020-07-12,2,0,0
2020-07-19,3,<1,0
2020-07-26,2,<1,0
2020-08-02,2,<1,0
2020-08-09,2,<1,0
2020-08-16,2,<1,0
2020-08-23,1,<1,0
2020-08-30,2,0,0
2020-09-06,2,0,0
2020-09-13,2,0,0
2020-09-20,2,1,0
2020-09-27,1,0,0
2020-10-04,2,0,0
2020-10-11,1,<1,0
2020-10-18,2,<1,0
2020-10-25,2,0,0
2020-11-01,2,<1,0
2020-11-08,1,<1,0
2020-11-15,2,1,0
2020-11-22,2,1,0
2020-11-29,3,1,0
2020-12-06,2,1,0
2020-12-13,2,0,0
2020-12-20,1,1,0
2020-12-27,2,1,0
2021-01-03,3,<1,0
2021-01-10,2,<1,0
2021-01-17,3,0,0
2021-01-24,2,1,0
2021-01-31,3,1,0
2021-02-07,4,1,0
