Categoria: Todas as categorias

Semana,dengue: (Pará),sintomas dengue: (Pará),tratamento dengue: (Pará)
2019-03-24,18,3,0
2019-03-31,19,6,3
2019-04-07,16,6,0
2019-04-14,11,0,0
2019-04-21,16,3,0
2019-04-28,17,5,0
2019-05-05,10,3,0
2019-05-12,16,4,0
2019-05-19,14,3,0
2019-05-26,12,3,0
2019-06-02,12,4,0
2019-06-09,7,0,0
2019-06-16,6,0,0
2019-06-23,5,0,0
2019-06-30,6,3,0
2019-07-07,10,3,0
2019-07-14,7,0,0
2019-07-21,5,0,0
2019-07-28,7,0,0
2019-08-04,5,0,0
2019-08-11,10,0,0
2019-08-18,10,0,0
2019-08-25,6,0,0
2019-09-01,7,0,0
2019-09-08,7,0,0
2019-09-15,9,0,0
2019-09-22,6,0,0
2019-09-29,7,3,0
2019-10-06,5,3,0
2019-10-13,5,0,0
2019-10-20,8,0,0
2019-10-27,4,0,0
2019-11-03,10,0,0
2019-11-10,7,0,0
2019-11-17,8,0,0
2019-11-24,7,2,0
2019-12-01,8,3,0
2019-12-08,5,0,0
2019-12-15,7,0,2
2019-12-22,4,0,0
2019-12-29,5,0,0
2020-01-05,9,3,0
2020-01-12,14,4,0
2020-01-19,10,0,0
2020-01-26,12,3,0
2020-02-02,18,7,0
2020-02-09,17,3,0
2020-02-16,23,6,0
2020-02-23,18,8,0
2020-03-01,19,6,0
2020-03-08,27,6,0
2020-03-15,31,8,0
2020-03-22,28,7,0
2020-03-29,16,4,0
2020-04-05,19,5,0
2020-04-12,19,7,0
2020-04-19,21,10,0
2020-04-26,17,6,0
2020-05-03,10,3,0
2020-05-10,16,6,0
2020-05-17,11,3,0
2020-05-24,13,3,0
2020-05-31,13,5,0
2020-06-07,12,3,0
2020-06-14,8,0,0
2020-06-21,7,0,0
2020-06-28,7,2,0
2020-07-05,5,0,0
2020-07-12,6,0,0
2020-07-19,3,0,0
2020-07-26,6,0,0
2020-08-02,3,2,0
2020-08-09,3,0,0
2020-08-16,3,0,0
2020-08-23,3,0,0
2020-08-30,7,0,0
2020-09-06,3,0,0
2020-09-13,4,0,0
2020-09-20,7,0,0
2020-09-27,3,0,0
2020-10-04,4,0,0
2020-10-11,4,0,0
2020-10-18,6,2,0
2020-10-25,6,0,0
2020-11-01,3,0,0
2020-11-08,6,0,0
2020-11-15,5,0,0
2020-11-22,6,0,0
2020-11-29,7,0,0
2020-12-06,6,0,0
2020-12-13,5,0,0
2020-12-20,5,0,0
2020-12-27,5,0,0
2021-01-03,6,0,0
2021-01-10,7,2,0
2021-01-17,7,3,0
2021-01-24,8,4,0
2021-01-31,9,0,0
2021-02-07,13,5,0
2021-02-14,10,2,0
2021-02-21,11,2,0
2021-02-28,13,4,0
2021-03-07,12,3,0
2021-03-14,16,5,0
2021-03-21,11,3,0
