Categoria: Todas as categorias

Semana,dengue: (Rondônia),sintomas dengue: (Rondônia),tratamento dengue: (Rondônia)
2019-03-31,7,0,0
2019-04-07,13,0,0
2019-04-14,13,0,0
2019-04-21,7,0,0
2019-04-28,12,0,0
2019-05-05,0,0,0
2019-05-12,10,0,0
2019-05-19,7,0,0
2019-05-26,0,0,0
2019-06-02,6,0,0
2019-06-09,0,0,0
2019-06-16,9,7,0
2019-06-23,12,0,0
2019-06-30,0,0,0
2019-07-07,0,0,0
2019-07-14,0,0,0
2019-07-21,0,0,0
2019-07-28,8,0,0
2019-08-04,10,0,0
2019-08-11,7,0,0
2019-08-18,13,0,0
2019-08-25,0,0,0
2019-09-01,10,0,0
2019-09-08,12,0,0
2019-09-15,0,0,0
2019-09-22,0,0,0
2019-09-29,8,0,0
2019-10-06,0,0,0
2019-10-13,7,0,0
2019-10-20,6,0,0
2019-10-27,13,9,0
2019-11-03,14,0,0
2019-11-10,18,0,0
2019-11-17,10,0,0
2019-11-24,12,0,0
2019-12-01,13,0,0
2019-12-08,8,0,0
2019-12-15,17,0,0
2019-12-22,14,0,0
2019-12-29,0,0,0
2020-01-05,18,0,0
2020-01-12,15,6,0
2020-01-19,10,0,0
2020-01-26,11,6,0
2020-02-02,13,0,0
2020-02-09,28,8,0
2020-02-16,17,0,0
2020-02-23,19,0,0
2020-03-01,24,6,0
2020-03-08,39,10,0
2020-03-15,41,10,0
2020-03-22,38,16,0
2020-03-29,23,8,0
2020-04-05,19,0,0
2020-04-12,21,6,0
2020-04-19,20,5,0
2020-04-26,19,6,0
2020-05-03,26,7,0
2020-05-10,20,0,0
2020-05-17,22,9,0
2020-05-24,21,9,0
2020-05-31,18,9,0
2020-06-07,22,0,0
2020-06-14,19,6,0
2020-06-21,13,0,0
2020-06-28,11,0,0
2020-07-05,19,6,0
2020-07-12,12,0,0
2020-07-19,13,0,0
2020-07-26,12,0,0
2020-08-02,13,0,0
2020-08-09,8,0,0
2020-08-16,5,0,0
2020-08-23,8,0,0
2020-08-30,8,0,0
2020-09-06,10,0,0
2020-09-13,10,0,0
2020-09-20,9,0,0
2020-09-27,0,0,0
2020-10-04,8,0,0
2020-10-11,7,0,0
2020-10-18,0,0,0
2020-10-25,7,0,0
2020-11-01,6,0,0
2020-11-08,10,0,0
2020-11-15,10,5,0
2020-11-22,10,0,0
2020-11-29,7,0,0
2020-12-06,14,0,0
2020-12-13,8,0,0
2020-12-20,14,7,0
2020-12-27,20,9,0
2021-01-03,14,0,0
2021-01-10,16,7,0
2021-01-17,16,8,0
2021-01-24,21,7,0
2021-01-31,11,0,0
2021-02-07,20,7,0
2021-02-14,11,0,0
2021-02-21,24,8,0
2021-02-28,21,8,0
2021-03-07,32,9,0
2021-03-14,23,8,0
2021-03-21,21,6,0
2021-03-28,24,7,0
2021-04-04,18,11,0
2021-04-11,20,0,0
2021-04-18,15,5,0
2021-04-25,13,0,0
2021-05-02,18,0,0
2021-05-09,13,0,0
2021-05-16,12,0,0
2021-05-23,20,6,0
2021-05-30,12,0,0
2021-06-06,12,0,0
2021-06-13,13,0,0
2021-06-20,13,0,0
2021-06-27,8,0,0
2021-07-04,0,0,0
2021-07-11,7,0,0
2021-07-18,0,0,0
2021-07-25,0,0,0
2021-08-01,7,0,0
2021-08-08,0,0,0
2021-08-15,9,0,0
2021-08-22,0,0,0
2021-08-29,0,7,0
2021-09-05,0,0,0
2021-09-12,11,0,0
2021-09-19,0,0,0
2021-09-26,12,0,0
2021-10-03,0,0,0
2021-10-10,8,0,0
2021-10-17,10,0,0
2021-10-24,6,8,0
2021-10-31,0,0,0
2021-11-07,14,0,0
2021-11-14,6,0,0
2021-11-21,13,0,0
2021-11-28,6,0,0
2021-12-05,0,0,0
2021-12-12,14,0,0
2021-12-19,11,0,0
2021-12-26,14,0,0
2022-01-02,30,7,0
2022-01-09,20,11,0
2022-01-16,35,0,0
2022-01-23,27,5,0
2022-01-30,29,8,0
2022-02-06,27,8,0
2022-02-13,22,6,0
2022-02-20,28,6,0
2022-02-27,31,12,0
2022-03-06,30,7,0
2022-03-13,31,6,0
2022-03-20,39,7,0
2022-03-27,43,9,0
2022-04-03,34,6,0
2022-04-10,40,12,0
2022-04-17,29,7,0
2022-04-24,41,10,0
2022-05-01,30,0,0
2022-05-08,33,8,0
2022-05-15,36,11,0
2022-05-22,29,6,7
2022-05-29,27,0,0
2022-06-05,28,0,0
2022-06-12,30,11,0
2022-06-19,25,8,0
2022-06-26,24,12,0
2022-07-03,22,8,0
2022-07-10,22,8,0
2022-07-17,19,7,0
2022-07-24,15,8,0
2022-07-31,0,0,0
2022-08-07,13,5,0
2022-08-14,7,0,0
2022-08-21,12,0,0
2022-08-28,12,4,0
2022-09-04,5,0,0
2022-09-11,10,0,0
2022-09-18,9,4,0
2022-09-25,7,0,0
2022-10-02,10,4,0
2022-10-09,10,0,0
2022-10-16,15,5,0
2022-10-23,12,0,0
2022-10-30,17,0,0
2022-11-06,14,0,0
2022-11-13,23,7,0
2022-11-20,24,8,0
2022-11-27,32,6,0
2022-12-04,24,9,0
2022-12-11,36,7,0
2022-12-18,40,17,0
2022-12-25,45,11,6
2023-01-01,50,15,0
2023-01-08,47,15,0
2023-01-15,52,12,0
2023-01-22,49,13,0
2023-01-29,47,14,0
2023-02-05,44,13,0
2023-02-12,61,17,0
2023-02-19,46,12,0
2023-02-26,53,19,0
2023-03-05,54,15,0
2023-03-12,56,14,0
2023-03-19,46,11,0
2023-03-26,39,11,0
2023-04-02,38,8,0
2023-04-09,27,10,0
2023-04-16,32,10,0
2023-04-23,20,0,0
2023-04-30,27,7,0
2023-05-07,23,6,0
2023-05-14,21,5,0
2023-05-21,22,0,0
2023-05-28,19,5,0
2023-06-04,13,4,0
2023-06-11,12,0,0
2023-06-18,13,0,0
2023-06-25,13,4,0
2023-07-02,10,0,0
2023-07-09,7,0,0
2023-07-16,8,0,0
2023-07-23,6,0,0
2023-07-30,6,0,0
2023-08-06,7,0,0
2023-08-13,9,0,0
2023-08-20,0,0,0
2023-08-27,10,0,0
2023-09-03,0,0,0
2023-09-10,10,0,0
2023-09-17,0,0,0
2023-09-24,7,0,0
2023-10-01,6,0,0
2023-10-08,6,0,0
2023-10-15,7,0,0
2023-10-22,12,6,0
2023-10-29,6,0,0
2023-11-05,10,0,0
2023-11-12,9,0,0
2023-11-19,7,0,0
2023-11-26,15,4,0
2023-12-03,10,0,0
2023-12-10,11,0,0
2023-12-17,16,8,0
2023-12-24,15,0,0
2023-12-31,20,12,0
2024-01-07,23,0,0
2024-01-14,29,8,0
2024-01-21,32,13,0
2024-01-28,45,11,0
2024-02-04,73,17,0
2024-02-11,96,22,0
2024-02-18,100,19,0
2024-02-25,100,23,0
2024-03-03,90,19,0
2024-03-10,86,17,0
2024-03-17,73,10,1
2024-03-24,57,10,1
2024-03-31,47,10,1
