Categoria: Todas as categorias

Semana,dengue: (Sergipe),sintomas dengue: (Sergipe),tratamento dengue: (Sergipe)
2019-03-31,16,0,0
2019-04-07,0,0,0
2019-04-14,17,0,0
2019-04-21,21,0,0
2019-04-28,20,14,0
2019-05-05,23,0,0
2019-05-12,40,12,0
2019-05-19,40,0,0
2019-05-26,41,9,0
2019-06-02,49,18,0
2019-06-09,38,13,0
2019-06-16,34,14,0
2019-06-23,53,10,0
2019-06-30,50,20,0
2019-07-07,44,9,0
2019-07-14,45,16,0
2019-07-21,58,15,0
2019-07-28,42,17,0
2019-08-04,44,11,0
2019-08-11,34,13,0
2019-08-18,31,10,0
2019-08-25,35,6,0
2019-09-01,25,13,12
2019-09-08,34,0,7
2019-09-15,26,10,0
2019-09-22,24,9,0
2019-09-29,30,10,0
2019-10-06,12,0,0
2019-10-13,10,0,0
2019-10-20,18,6,0
2019-10-27,16,0,0
2019-11-03,24,6,7
2019-11-10,10,0,0
2019-11-17,6,0,0
2019-11-24,8,7,0
2019-12-01,0,0,0
2019-12-08,6,0,0
2019-12-15,8,0,0
2019-12-22,0,0,0
2019-12-29,0,0,0
2020-01-05,9,0,0
2020-01-12,0,0,0
2020-01-19,7,0,0
2020-01-26,10,0,0
2020-02-02,6,0,0
2020-02-09,11,0,0
2020-02-16,14,5,0
2020-02-23,17,0,0
2020-03-01,17,0,0
2020-03-08,19,0,0
2020-03-15,23,0,0
2020-03-22,16,0,0
2020-03-29,16,0,0
2020-04-05,19,0,0
2020-04-12,13,7,0
2020-04-19,12,0,0
2020-04-26,12,5,0
2020-05-03,13,0,0
2020-05-10,13,0,0
2020-05-17,22,9,0
2020-05-24,22,6,0
2020-05-31,25,5,0
2020-06-07,30,9,0
2020-06-14,33,12,0
2020-06-21,33,10,0
2020-06-28,37,14,0
2020-07-05,34,9,0
2020-07-12,25,11,0
2020-07-19,21,5,0
2020-07-26,24,5,0
2020-08-02,19,8,0
2020-08-09,19,0,0
2020-08-16,14,0,0
2020-08-23,8,0,0
2020-08-30,10,0,0
2020-09-06,10,7,0
2020-09-13,9,0,0
2020-09-20,5,0,0
2020-09-27,10,0,0
2020-10-04,5,0,0
2020-10-11,10,0,0
