Categoria: Todas as categorias

Semana,dengue: (Bahia),sintomas dengue: (Bahia),tratamento dengue: (Bahia)
2019-04-14,7,2,0
2019-04-21,11,3,0
2019-04-28,14,3,0
2019-05-05,13,3,0
2019-05-12,13,4,0
2019-05-19,14,4,0
2019-05-26,14,3,0
2019-06-02,14,3,0
2019-06-09,12,3,0
2019-06-16,12,4,0
2019-06-23,9,3,0
2019-06-30,10,3,0
2019-07-07,9,2,0
2019-07-14,9,3,0
2019-07-21,7,2,0
2019-07-28,9,2,0
2019-08-04,7,2,0
2019-08-11,6,2,0
2019-08-18,6,2,0
2019-08-25,6,1,0
2019-09-01,7,2,0
2019-09-08,5,1,0
2019-09-15,6,1,0
2019-09-22,5,1,0
2019-09-29,5,1,0
2019-10-06,4,1,0
2019-10-13,4,1,0
2019-10-20,4,1,0
2019-10-27,4,1,0
2019-11-03,4,1,0
2019-11-10,4,1,0
2019-11-17,3,1,0
2019-11-24,4,1,0
2019-12-01,4,0,0
2019-12-08,3,1,0
2019-12-15,2,1,0
2019-12-22,3,1,0
2019-12-29,2,1,0
2020-01-05,3,1,0
2020-01-12,5,1,0
2020-01-19,5,1,0
2020-01-26,5,1,0
2020-02-02,6,2,0
2020-02-09,7,1,0
2020-02-16,8,2,0
2020-02-23,8,3,0
2020-03-01,11,3,0
2020-03-08,15,4,0
2020-03-15,17,5,0
2020-03-22,13,3,0
2020-03-29,14,4,0
2020-04-05,14,4,0
2020-04-12,17,5,1
2020-04-19,18,5,0
2020-04-26,22,7,1
2020-05-03,23,7,1
2020-05-10,25,8,<1
2020-05-17,26,9,1
2020-05-24,26,9,0
2020-05-31,24,9,<1
2020-06-07,21,7,1
2020-06-14,18,7,0
2020-06-21,15,6,0
2020-06-28,14,5,<1
2020-07-05,14,5,0
2020-07-12,11,4,0
2020-07-19,9,2,0
2020-07-26,7,2,0
2020-08-02,6,1,0
2020-08-09,5,2,0
2020-08-16,5,2,0
2020-08-23,5,2,0
2020-08-30,3,1,0
2020-09-06,3,1,0
2020-09-13,3,1,0
2020-09-20,4,1,0
2020-09-27,3,1,0
2020-10-04,2,<1,0
2020-10-11,2,0,0
2020-10-18,2,<1,0
2020-10-25,3,1,0
2020-11-01,2,0,0
2020-11-08,3,1,0
2020-11-15,3,<1,0
2020-11-22,3,1,0
2020-11-29,3,1,0
2020-12-06,4,1,0
2020-12-13,3,1,0
2020-12-20,2,1,0
2020-12-27,2,1,0
2021-01-03,3,1,0
2021-01-10,2,1,0
2021-01-17,2,1,0
2021-01-24,2,1,0
2021-01-31,2,1,0
2021-02-07,3,1,0
2021-02-14,4,1,0
2021-02-21,5,1,0
2021-02-28,5,1,0
2021-03-07,5,1,0
2021-03-14,7,2,0
2021-03-21,7,2,0
2021-03-28,7,1,0
2021-04-04,6,1,0
2021-04-11,7,1,0
2021-04-18,6,2,0
2021-04-25,6,1,0
2021-05-02,6,2,0
2021-05-09,6,2,0
2021-05-16,6,2,0
2021-05-23,6,2,0
2021-05-30,5,1,0
2021-06-06,5,1,0
2021-06-13,4,1,0
2021-06-20,4,1,0
2021-06-27,3,1,0
2021-07-04,3,1,0
2021-07-11,3,0,0
2021-07-18,3,<1,0
2021-07-25,3,1,0
2021-08-01,2,1,0
2021-08-08,2,0,0
2021-08-15,2,<1,0
2021-08-22,3,<1,0
2021-08-29,2,0,0
2021-09-05,2,0,0
2021-09-12,3,0,0
2021-09-19,3,1,0
2021-09-26,2,0,0
2021-10-03,2,0,0
2021-10-10,2,0,0
2021-10-17,2,0,0
2021-10-24,2,0,0
2021-10-31,2,0,0
2021-11-07,3,0,0
2021-11-14,2,0,0
2021-11-21,2,0,0
2021-11-28,3,1,0
2021-12-05,3,1,0
2021-12-12,3,1,0
2021-12-19,3,0,0
2021-12-26,3,0,0
2022-01-02,4,1,0
2022-01-09,5,2,0
2022-01-16,5,2,0
2022-01-23,4,1,0
2022-01-30,4,1,0
2022-02-06,5,1,0
2022-02-13,4,1,0
2022-02-20,5,1,0
2022-02-27,5,1,0
2022-03-06,5,1,0
2022-03-13,6,1,0
2022-03-20,7,2,0
2022-03-27,7,2,0
2022-04-03,7,2,0
2022-04-10,7,2,0
2022-04-17,8,2,0
2022-04-24,11,3,0
2022-05-01,10,3,0
2022-05-08,10,3,<1
2022-05-15,8,2,0
2022-05-22,8,2,0
2022-05-29,8,2,0
