Categoria: Todas as categorias

Semana,dengue: (Ceará),sintomas dengue: (Ceará),tratamento dengue: (Ceará)
2019-04-14,17,5,0
2019-04-21,20,3,0
2019-04-28,20,7,0
2019-05-05,23,5,0
2019-05-12,18,3,0
2019-05-19,20,5,0
2019-05-26,18,4,0
2019-06-02,17,3,0
2019-06-09,14,3,0
2019-06-16,15,0,0
2019-06-23,10,0,0
2019-06-30,11,0,0
2019-07-07,8,0,0
2019-07-14,8,3,0
2019-07-21,10,3,0
2019-07-28,8,3,0
2019-08-04,7,0,0
2019-08-11,7,0,0
2019-08-18,9,0,2
2019-08-25,9,2,0
2019-09-01,7,0,0
2019-09-08,8,0,0
2019-09-15,10,0,0
2019-09-22,8,0,0
2019-09-29,6,0,0
2019-10-06,9,0,0
2019-10-13,6,0,0
2019-10-20,7,0,0
2019-10-27,4,0,0
2019-11-03,7,0,0
2019-11-10,6,0,0
2019-11-17,7,0,0
2019-11-24,4,0,0
2019-12-01,6,0,0
2019-12-08,4,0,0
2019-12-15,5,0,0
2019-12-22,0,0,0
2019-12-29,5,0,0
2020-01-05,7,0,0
2020-01-12,9,0,0
2020-01-19,10,0,0
2020-01-26,8,0,0
2020-02-02,15,4,0
2020-02-09,22,4,0
2020-02-16,23,5,0
2020-02-23,27,8,0
2020-03-01,31,8,0
2020-03-08,38,7,0
2020-03-15,37,8,0
2020-03-22,31,6,0
2020-03-29,29,7,0
2020-04-05,29,8,0
2020-04-12,32,9,2
2020-04-19,36,10,0
2020-04-26,40,15,0
2020-05-03,46,18,0
2020-05-10,36,12,0
2020-05-17,33,7,0
2020-05-24,29,7,0
2020-05-31,24,7,0
2020-06-07,17,4,0
2020-06-14,21,5,0
2020-06-21,22,6,0
2020-06-28,21,5,0
2020-07-05,16,5,0
2020-07-12,12,4,0
2020-07-19,14,4,0
2020-07-26,9,3,0
2020-08-02,9,2,0
2020-08-09,11,3,0
2020-08-16,9,3,0
2020-08-23,9,3,0
2020-08-30,6,2,0
2020-09-06,7,2,0
2020-09-13,6,0,0
2020-09-20,9,2,0
2020-09-27,8,0,0
2020-10-04,6,0,0
2020-10-11,6,0,0
2020-10-18,6,0,0
2020-10-25,6,0,0
2020-11-01,5,0,0
2020-11-08,7,2,0
2020-11-15,6,0,0
2020-11-22,5,0,0
2020-11-29,4,0,0
2020-12-06,8,0,0
2020-12-13,8,2,0
2020-12-20,2,2,0
2020-12-27,6,0,0
2021-01-03,6,0,0
2021-01-10,6,0,0
2021-01-17,5,2,0
2021-01-24,5,0,0
2021-01-31,11,3,0
2021-02-07,13,3,0
2021-02-14,10,3,0
2021-02-21,13,2,0
2021-02-28,14,4,0
2021-03-07,19,4,0
2021-03-14,19,4,0
