Categoria: Todas as categorias

Semana,sintomas dengue: (Amazonas),dengue: (Amazonas),tratamento dengue: (Amazonas)
2019-04-21,0,8,0
2019-04-28,0,9,0
2019-05-05,0,12,0
2019-05-12,0,11,0
2019-05-19,0,6,0
2019-05-26,6,12,0
2019-06-02,0,10,0
2019-06-09,0,7,0
2019-06-16,0,12,0
2019-06-23,0,6,0
2019-06-30,0,0,0
2019-07-07,0,6,0
2019-07-14,0,7,0
2019-07-21,0,7,0
2019-07-28,0,6,0
2019-08-04,0,9,0
2019-08-11,0,0,0
2019-08-18,0,9,0
2019-08-25,0,6,0
2019-09-01,0,0,0
2019-09-08,0,8,0
2019-09-15,0,0,0
2019-09-22,0,6,0
2019-09-29,0,0,0
2019-10-06,0,8,0
2019-10-13,0,6,0
2019-10-20,0,8,0
2019-10-27,0,9,5
2019-11-03,0,13,0
2019-11-10,0,8,0
2019-11-17,0,10,0
2019-11-24,0,9,0
2019-12-01,0,10,0
2019-12-08,0,6,0
2019-12-15,0,8,0
2019-12-22,0,0,0
2019-12-29,0,14,0
2020-01-05,0,12,0
2020-01-12,0,9,0
2020-01-19,0,6,0
2020-01-26,0,15,0
2020-02-02,0,12,0
2020-02-09,0,15,0
2020-02-16,0,16,0
2020-02-23,0,13,0
2020-03-01,0,15,0
2020-03-08,0,17,0
2020-03-15,6,27,0
2020-03-22,5,20,0
2020-03-29,5,23,0
2020-04-05,9,28,0
2020-04-12,8,28,0
2020-04-19,9,22,0
2020-04-26,7,18,0
2020-05-03,0,9,0
2020-05-10,0,10,0
2020-05-17,0,9,0
2020-05-24,0,11,0
2020-05-31,0,14,0
2020-06-07,0,9,0
2020-06-14,0,11,0
2020-06-21,0,10,0
2020-06-28,0,0,0
2020-07-05,0,12,0
2020-07-12,0,8,0
2020-07-19,0,11,0
2020-07-26,0,8,0
2020-08-02,0,9,0
2020-08-09,0,6,0
2020-08-16,0,0,0
2020-08-23,0,4,0
2020-08-30,0,8,0
2020-09-06,0,6,0
2020-09-13,0,7,0
2020-09-20,0,8,0
2020-09-27,0,4,0
2020-10-04,0,7,0
2020-10-11,0,7,0
2020-10-18,0,10,0
2020-10-25,0,5,0
2020-11-01,0,0,0
2020-11-08,0,8,0
2020-11-15,0,9,0
2020-11-22,0,13,0
2020-11-29,0,12,0
2020-12-06,0,11,0
2020-12-13,0,11,0
2020-12-20,0,11,0
2020-12-27,8,23,0
2021-01-03,10,27,0
2021-01-10,7,16,0
2021-01-17,6,15,0
2021-01-24,6,21,0
