Categoria: Todas as categorias

Semana,sintomas dengue: (Distrito Federal),dengue: (Distrito Federal),tratamento dengue: (Distrito Federal)
2019-04-21,5,14,0
2019-04-28,5,16,0
2019-05-05,5,15,0
2019-05-12,4,16,1
2019-05-19,6,21,1
2019-05-26,6,21,1
2019-06-02,6,19,1
2019-06-09,3,15,0
2019-06-16,3,12,0
2019-06-23,2,9,0
2019-06-30,2,6,0
2019-07-07,1,4,0
2019-07-14,1,4,0
2019-07-21,1,3,0
2019-07-28,1,2,0
2019-08-04,0,2,0
2019-08-11,1,3,0
2019-08-18,1,3,0
2019-08-25,0,1,0
2019-09-01,1,2,0
2019-09-08,1,2,0
2019-09-15,0,2,0
2019-09-22,1,2,0
2019-09-29,1,2,0
2019-10-06,1,2,0
2019-10-13,0,2,0
2019-10-20,1,2,0
2019-10-27,0,2,0
2019-11-03,0,2,0
2019-11-10,1,3,0
2019-11-17,1,2,0
2019-11-24,0,2,0
2019-12-01,1,3,0
2019-12-08,1,3,0
2019-12-15,1,2,0
2019-12-22,1,3,0
2019-12-29,0,2,0
2020-01-05,1,3,0
2020-01-12,1,4,0
2020-01-19,1,6,0
2020-01-26,2,9,0
2020-02-02,2,8,0
2020-02-09,1,6,0
2020-02-16,2,9,0
2020-02-23,3,11,0
2020-03-01,3,12,0
2020-03-08,4,18,<1
2020-03-15,5,16,0
2020-03-22,2,13,0
2020-03-29,3,14,0
2020-04-05,3,13,<1
2020-04-12,3,14,0
2020-04-19,3,12,0
2020-04-26,3,12,0
2020-05-03,3,14,0
2020-05-10,3,12,0
2020-05-17,3,10,0
2020-05-24,3,9,0
2020-05-31,3,9,0
2020-06-07,2,9,0
2020-06-14,2,7,0
2020-06-21,2,7,0
2020-06-28,2,6,0
2020-07-05,2,6,0
2020-07-12,1,5,0
2020-07-19,2,5,0
2020-07-26,2,5,0
2020-08-02,1,3,0
2020-08-09,1,3,0
2020-08-16,1,3,0
2020-08-23,1,2,0
2020-08-30,1,2,0
2020-09-06,1,2,0
2020-09-13,1,2,0
2020-09-20,1,2,0
2020-09-27,0,2,0
2020-10-04,0,2,0
2020-10-11,0,1,0
2020-10-18,0,2,0
2020-10-25,0,2,0
2020-11-01,0,2,0
2020-11-08,0,2,0
2020-11-15,1,3,0
2020-11-22,1,2,0
2020-11-29,1,3,0
2020-12-06,1,3,0
2020-12-13,1,2,0
2020-12-20,1,2,0
2020-12-27,1,2,0
2021-01-03,1,2,0
2021-01-10,1,2,0
2021-01-17,1,2,0
2021-01-24,1,3,0
2021-01-31,0,2,0
2021-02-07,1,3,0
2021-02-14,1,2,0
2021-02-21,1,3,0
2021-02-28,1,4,0
2021-03-07,1,4,0
2021-03-14,1,4,0
2021-03-21,2,5,0
2021-03-28,1,5,0
2021-04-04,1,4,0
2021-04-11,2,5,0
2021-04-18,1,5,0
2021-04-25,1,4,0
2021-05-02,1,4,0
2021-05-09,1,5,0
2021-05-16,1,5,0
2021-05-23,1,8,0
2021-05-30,1,7,0
2021-06-06,1,5,0
2021-06-13,0,3,0
2021-06-20,1,3,0
2021-06-27,0,3,0
2021-07-04,0,2,0
2021-07-11,0,2,0
2021-07-18,0,2,0
2021-07-25,0,2,0
2021-08-01,1,1,0
2021-08-08,0,2,0
2021-08-15,0,1,0
2021-08-22,0,1,0
2021-08-29,0,2,0
2021-09-05,0,1,0
2021-09-12,0,1,0
2021-09-19,0,2,0
2021-09-26,0,2,0
2021-10-03,0,2,0
2021-10-10,0,2,0
2021-10-17,0,2,0
2021-10-24,0,1,0
2021-10-31,0,2,0
2021-11-07,0,1,0
2021-11-14,0,2,0
2021-11-21,1,3,0
2021-11-28,0,3,0
2021-12-05,1,3,0
2021-12-12,1,4,0
2021-12-19,1,5,0
2021-12-26,1,5,0
2022-01-02,2,7,0
2022-01-09,1,6,0
2022-01-16,2,7,0
2022-01-23,3,8,0
2022-01-30,2,7,0
2022-02-06,2,7,0
2022-02-13,2,8,0
2022-02-20,1,7,0
2022-02-27,2,8,0
2022-03-06,2,9,0
2022-03-13,2,9,0
2022-03-20,2,11,<1
2022-03-27,3,13,0
2022-04-03,4,15,<1
2022-04-10,4,16,1
2022-04-17,5,20,1
2022-04-24,5,21,0
2022-05-01,5,19,<1
2022-05-08,3,16,<1
2022-05-15,5,15,0
2022-05-22,4,13,<1
2022-05-29,5,14,0
2022-06-05,5,12,0
2022-06-12,3,10,0
2022-06-19,3,7,0
2022-06-26,1,6,0
2022-07-03,1,4,0
2022-07-10,1,3,0
2022-07-17,1,3,0
2022-07-24,1,2,0
2022-07-31,1,3,0
2022-08-07,<1,2,0
2022-08-14,1,3,0
2022-08-21,1,3,0
2022-08-28,1,3,0
2022-09-04,1,3,0
2022-09-11,1,3,0
2022-09-18,1,3,0
2022-09-25,1,2,0
2022-10-02,<1,2,0
2022-10-09,1,2,0
2022-10-16,1,3,0
2022-10-23,1,2,0
2022-10-30,0,2,0
2022-11-06,1,2,0
2022-11-13,1,2,0
2022-11-20,1,3,0
2022-11-27,1,3,0
2022-12-04,1,4,0
2022-12-11,1,4,0
2022-12-18,1,3,0
2022-12-25,1,4,0
2023-01-01,1,4,0
2023-01-08,1,4,0
2023-01-15,1,4,0
2023-01-22,1,3,0
2023-01-29,1,3,0
2023-02-05,1,4,0
2023-02-12,1,4,0
2023-02-19,1,3,0
2023-02-26,1,5,0
2023-03-05,1,5,0
2023-03-12,1,4,0
2023-03-19,1,5,0
2023-03-26,2,7,0
2023-04-02,1,5,1
2023-04-09,1,6,0
2023-04-16,2,6,0
2023-04-23,2,6,0
2023-04-30,1,6,0
2023-05-07,1,5,0
2023-05-14,1,5,0
2023-05-21,1,4,0
2023-05-28,1,4,0
2023-06-04,1,2,0
2023-06-11,<1,3,0
2023-06-18,1,3,0
2023-06-25,1,3,0
2023-07-02,1,4,0
2023-07-09,1,3,0
2023-07-16,1,2,0
2023-07-23,<1,3,0
2023-07-30,1,2,0
2023-08-06,1,2,0
2023-08-13,0,2,0
2023-08-20,<1,2,0
2023-08-27,0,2,0
2023-09-03,1,2,0
2023-09-10,1,3,0
2023-09-17,1,3,0
2023-09-24,1,3,0
2023-10-01,1,2,0
2023-10-08,1,3,0
2023-10-15,1,3,0
2023-10-22,1,3,0
2023-10-29,1,3,0
2023-11-05,1,4,0
2023-11-12,1,3,0
2023-11-19,1,5,0
2023-11-26,1,6,0
2023-12-03,1,8,<1
2023-12-10,2,11,0
2023-12-17,3,14,0
2023-12-24,4,19,0
2023-12-31,6,25,0
2024-01-07,7,36,0
2024-01-14,11,56,1
2024-01-21,13,82,1
2024-01-28,14,97,1
2024-02-04,17,100,1
2024-02-11,15,96,1
2024-02-18,14,81,1
2024-02-25,12,77,0
2024-03-03,10,69,1
2024-03-10,8,58,0
2024-03-17,9,56,0
2024-03-24,6,42,0
2024-03-31,5,34,0
2024-04-07,4,35,<1
2024-04-14,5,38,<1
2024-04-21,4,27,<1
