Categoria: Todas as categorias

Semana,sintomas dengue: (Goiás),dengue: (Goiás),tratamento dengue: (Goiás)
2019-04-21,9,33,0
2019-04-28,8,32,1
2019-05-05,8,34,1
2019-05-12,8,31,1
2019-05-19,8,32,0
2019-05-26,6,28,1
2019-06-02,6,25,0
2019-06-09,6,21,0
2019-06-16,3,16,0
2019-06-23,4,15,0
2019-06-30,2,11,0
2019-07-07,2,7,0
2019-07-14,1,6,0
2019-07-21,1,5,0
2019-07-28,2,5,0
2019-08-04,1,5,0
2019-08-11,1,5,0
2019-08-18,1,5,0
2019-08-25,1,5,0
2019-09-01,1,5,0
2019-09-08,1,5,0
2019-09-15,2,5,0
2019-09-22,1,5,0
2019-09-29,1,5,0
2019-10-06,1,5,0
2019-10-13,1,5,0
2019-10-20,1,6,0
2019-10-27,1,4,0
2019-11-03,1,5,0
2019-11-10,1,5,0
2019-11-17,1,5,0
2019-11-24,2,5,0
2019-12-01,1,5,0
2019-12-08,2,8,0
2019-12-15,2,7,0
2019-12-22,1,6,0
2019-12-29,2,9,0
2020-01-05,3,8,0
2020-01-12,3,11,0
2020-01-19,2,10,0
2020-01-26,2,11,0
2020-02-02,3,13,0
2020-02-09,3,15,1
2020-02-16,4,16,0
2020-02-23,4,18,0
2020-03-01,5,20,0
2020-03-08,5,23,0
2020-03-15,8,27,0
2020-03-22,5,22,0
2020-03-29,4,20,0
2020-04-05,5,18,0
2020-04-12,4,19,0
2020-04-19,4,16,0
2020-04-26,5,18,0
2020-05-03,4,17,0
2020-05-10,3,13,0
2020-05-17,3,13,0
2020-05-24,2,11,0
2020-05-31,3,12,0
2020-06-07,4,12,0
2020-06-14,3,11,0
2020-06-21,3,10,0
2020-06-28,3,10,0
2020-07-05,3,8,0
2020-07-12,2,8,0
2020-07-19,3,7,0
2020-07-26,3,8,0
2020-08-02,2,5,0
2020-08-09,2,6,0
2020-08-16,2,5,0
2020-08-23,2,5,0
2020-08-30,0,5,0
2020-09-06,1,3,0
2020-09-13,1,4,0
2020-09-20,0,5,1
2020-09-27,1,4,0
2020-10-04,1,3,0
2020-10-11,1,3,0
2020-10-18,0,3,0
2020-10-25,1,4,0
2020-11-01,1,4,0
2020-11-08,0,4,0
2020-11-15,0,4,0
2020-11-22,2,5,0
2020-11-29,2,6,0
2020-12-06,1,4,0
2020-12-13,1,4,0
2020-12-20,2,4,0
2020-12-27,1,6,0
2021-01-03,3,6,0
2021-01-10,2,5,0
2021-01-17,2,7,0
2021-01-24,2,7,0
2021-01-31,2,9,0
2021-02-07,2,8,0
2021-02-14,3,10,0
2021-02-21,3,12,0
2021-02-28,4,11,0
2021-03-07,4,12,0
2021-03-14,4,15,0
2021-03-21,5,16,0
2021-03-28,4,15,0
2021-04-04,3,15,0
2021-04-11,4,18,0
2021-04-18,4,16,0
2021-04-25,3,13,0
2021-05-02,3,12,0
2021-05-09,3,12,1
2021-05-16,2,11,0
2021-05-23,2,12,0
2021-05-30,3,12,0
2021-06-06,2,11,0
2021-06-13,3,9,0
2021-06-20,2,9,0
2021-06-27,2,6,0
2021-07-04,1,5,0
2021-07-11,1,4,0
2021-07-18,1,5,0
2021-07-25,1,5,0
2021-08-01,1,4,0
2021-08-08,1,3,0
2021-08-15,1,4,0
2021-08-22,1,4,0
2021-08-29,0,3,0
2021-09-05,0,3,0
2021-09-12,0,5,0
2021-09-19,0,4,0
2021-09-26,1,5,0
2021-10-03,1,4,0
2021-10-10,0,4,0
2021-10-17,0,4,0
2021-10-24,1,7,0
2021-10-31,2,5,0
2021-11-07,2,6,0
2021-11-14,1,8,0
2021-11-21,2,9,0
2021-11-28,2,10,0
2021-12-05,4,14,0
2021-12-12,4,16,0
2021-12-19,7,24,0
2021-12-26,9,32,1
2022-01-02,12,41,0
2022-01-09,14,38,0
2022-01-16,14,45,0
2022-01-23,13,46,1
2022-01-30,12,44,1
2022-02-06,10,42,1
2022-02-13,10,40,1
2022-02-20,9,38,0
