Categoria: Todas as categorias

Semana,sintomas dengue: (Maranhão),dengue: (Maranhão),tratamento dengue: (Maranhão)
2019-04-21,5,21,0
2019-04-28,0,17,0
2019-05-05,7,18,0
2019-05-12,6,12,0
2019-05-19,4,17,0
2019-05-26,0,16,0
2019-06-02,5,14,0
2019-06-09,0,14,0
2019-06-16,0,9,0
2019-06-23,4,12,0
2019-06-30,0,9,0
2019-07-07,0,8,0
2019-07-14,0,7,0
2019-07-21,0,5,0
2019-07-28,4,7,0
2019-08-04,0,7,0
2019-08-11,0,0,0
2019-08-18,0,4,0
2019-08-25,0,6,0
2019-09-01,0,6,0
2019-09-08,0,8,0
2019-09-15,0,9,0
2019-09-22,0,5,0
2019-09-29,0,6,0
2019-10-06,0,7,0
2019-10-13,0,7,0
2019-10-20,0,8,0
2019-10-27,0,3,0
2019-11-03,0,5,0
2019-11-10,0,4,0
2019-11-17,0,8,0
2019-11-24,0,0,0
2019-12-01,0,5,0
2019-12-08,0,5,0
2019-12-15,0,5,0
2019-12-22,0,0,0
2019-12-29,0,0,0
2020-01-05,0,5,0
2020-01-12,4,8,0
2020-01-19,5,10,0
2020-01-26,0,8,0
2020-02-02,0,9,0
2020-02-09,0,13,0
2020-02-16,5,19,0
2020-02-23,5,15,0
2020-03-01,4,21,0
2020-03-08,7,21,0
2020-03-15,5,24,0
2020-03-22,5,18,0
2020-03-29,5,16,0
2020-04-05,4,14,0
2020-04-12,6,19,0
2020-04-19,5,17,0
2020-04-26,6,16,0
2020-05-03,7,15,0
2020-05-10,4,12,0
2020-05-17,3,8,0
2020-05-24,0,9,0
2020-05-31,0,8,0
2020-06-07,0,6,0
2020-06-14,0,12,0
2020-06-21,0,5,0
2020-06-28,0,4,0
2020-07-05,0,7,0
2020-07-12,0,5,0
2020-07-19,0,4,0
2020-07-26,0,4,0
2020-08-02,0,0,0
2020-08-09,0,0,0
2020-08-16,0,4,0
2020-08-23,0,4,0
2020-08-30,0,3,0
2020-09-06,0,4,0
2020-09-13,0,5,0
2020-09-20,0,6,0
2020-09-27,0,5,0
2020-10-04,0,8,0
2020-10-11,0,4,0
2020-10-18,0,5,0
2020-10-25,0,5,0
2020-11-01,0,4,0
2020-11-08,0,6,0
2020-11-15,0,5,0
2020-11-22,0,4,0
2020-11-29,0,4,0
2020-12-06,0,4,0
2020-12-13,0,0,0
2020-12-20,0,0,0
2020-12-27,0,6,0
2021-01-03,0,6,0
2021-01-10,0,5,0
2021-01-17,0,4,0
2021-01-24,0,5,0
2021-01-31,0,7,0
2021-02-07,0,7,0
2021-02-14,0,4,0
2021-02-21,0,5,0
2021-02-28,0,8,0
2021-03-07,3,10,0
2021-03-14,0,9,0
2021-03-21,0,8,0
2021-03-28,0,7,0
2021-04-04,0,9,0
2021-04-11,0,7,0
2021-04-18,0,6,0
2021-04-25,0,9,0
2021-05-02,0,8,0
2021-05-09,0,7,0
2021-05-16,0,8,0
2021-05-23,0,5,0
2021-05-30,0,5,0
2021-06-06,0,8,0
2021-06-13,0,9,0
2021-06-20,0,9,0
2021-06-27,0,3,0
2021-07-04,0,6,0
2021-07-11,0,0,0
2021-07-18,0,4,0
2021-07-25,0,0,0
2021-08-01,0,4,0
2021-08-08,0,0,0
2021-08-15,0,6,0
2021-08-22,0,6,0
2021-08-29,0,5,0
2021-09-05,0,0,0
2021-09-12,0,4,0
2021-09-19,0,4,0
2021-09-26,0,4,0
2021-10-03,0,3,0
2021-10-10,0,5,0
2021-10-17,0,0,0
2021-10-24,0,0,0
2021-10-31,0,4,0
2021-11-07,0,7,0
