Categoria: Todas as categorias

Semana,sintomas dengue: (Pará),dengue: (Pará),tratamento dengue: (Pará)
2019-04-21,0,16,0
2019-04-28,5,17,0
2019-05-05,5,17,0
2019-05-12,0,15,0
2019-05-19,4,13,0
2019-05-26,0,12,0
2019-06-02,0,12,0
2019-06-09,0,10,0
2019-06-16,0,7,0
2019-06-23,0,7,0
2019-06-30,0,6,0
2019-07-07,0,8,0
2019-07-14,0,6,0
2019-07-21,0,4,0
2019-07-28,0,8,0
2019-08-04,0,8,0
2019-08-11,0,9,0
2019-08-18,0,10,0
2019-08-25,0,7,0
2019-09-01,0,5,0
2019-09-08,0,9,0
2019-09-15,0,9,0
2019-09-22,0,8,0
2019-09-29,0,8,0
2019-10-06,0,6,0
2019-10-13,0,5,0
2019-10-20,0,8,0
2019-10-27,4,6,0
2019-11-03,0,11,0
2019-11-10,0,9,0
2019-11-17,0,9,0
2019-11-24,0,5,0
2019-12-01,0,9,0
2019-12-08,0,8,0
2019-12-15,0,6,0
2019-12-22,7,6,0
2019-12-29,0,0,0
2020-01-05,4,9,0
2020-01-12,4,11,0
2020-01-19,0,13,0
2020-01-26,0,13,0
2020-02-02,5,17,0
2020-02-09,5,18,0
2020-02-16,7,22,0
2020-02-23,9,18,0
2020-03-01,5,21,0
2020-03-08,5,26,0
2020-03-15,9,29,0
2020-03-22,7,28,0
2020-03-29,4,18,0
2020-04-05,0,20,0
2020-04-12,7,20,0
2020-04-19,9,22,0
2020-04-26,6,20,0
2020-05-03,3,11,0
2020-05-10,6,15,0
2020-05-17,4,11,0
2020-05-24,6,13,0
2020-05-31,3,13,0
2020-06-07,3,13,0
2020-06-14,0,7,0
2020-06-21,0,7,0
2020-06-28,3,6,0
2020-07-05,0,5,0
2020-07-12,0,7,0
2020-07-19,0,0,0
2020-07-26,0,4,0
2020-08-02,0,3,0
2020-08-09,0,3,0
2020-08-16,0,3,0
2020-08-23,0,3,0
2020-08-30,0,5,0
2020-09-06,0,5,0
2020-09-13,0,5,0
2020-09-20,0,6,0
2020-09-27,0,4,0
2020-10-04,0,4,0
2020-10-11,0,4,0
2020-10-18,0,4,0
2020-10-25,0,6,0
2020-11-01,0,3,0
2020-11-08,0,5,0
2020-11-15,0,6,0
2020-11-22,0,6,0
2020-11-29,0,5,0
2020-12-06,0,7,0
2020-12-13,0,5,0
2020-12-20,0,4,0
2020-12-27,0,6,0
2021-01-03,0,5,0
2021-01-10,2,6,0
2021-01-17,0,9,0
2021-01-24,3,10,0
2021-01-31,0,10,0
2021-02-07,3,12,0
2021-02-14,0,10,0
2021-02-21,3,10,0
2021-02-28,5,13,0
2021-03-07,3,11,0
2021-03-14,4,16,0
2021-03-21,0,10,4
2021-03-28,0,9,0
2021-04-04,2,10,0
2021-04-11,3,9,0
2021-04-18,0,10,0
2021-04-25,4,9,0
2021-05-02,0,7,0
2021-05-09,0,7,0
2021-05-16,0,11,0
2021-05-23,0,11,0
2021-05-30,3,10,0
2021-06-06,0,8,0
2021-06-13,0,6,0
2021-06-20,0,8,0
2021-06-27,0,4,0
2021-07-04,0,5,0
2021-07-11,0,4,0
2021-07-18,0,5,0
2021-07-25,0,3,0
2021-08-01,0,5,0
2021-08-08,0,6,0
2021-08-15,0,7,0
2021-08-22,0,8,0
2021-08-29,0,4,0
2021-09-05,0,6,0
2021-09-12,0,5,0
2021-09-19,0,4,0
2021-09-26,0,3,0
2021-10-03,0,5,0
2021-10-10,0,4,0
2021-10-17,0,4,0
2021-10-24,0,6,0
2021-10-31,0,5,0
2021-11-07,0,6,0
2021-11-14,0,8,0
2021-11-21,0,7,0
2021-11-28,0,11,0
2021-12-05,3,10,0
2021-12-12,0,10,0
2021-12-19,5,12,0
2021-12-26,4,11,0
2022-01-02,0,15,0
2022-01-09,6,17,0
2022-01-16,7,16,0
2022-01-23,6,17,0
2022-01-30,4,13,0
2022-02-06,0,10,0
2022-02-13,0,10,0
2022-02-20,3,13,0
2022-02-27,2,10,0
2022-03-06,3,12,0
2022-03-13,2,17,0
2022-03-20,3,11,0
2022-03-27,3,14,0
2022-04-03,2,13,0
2022-04-10,2,12,0
2022-04-17,4,14,0
2022-04-24,5,17,0
2022-05-01,5,16,0
2022-05-08,4,18,0
2022-05-15,3,13,0
2022-05-22,2,13,0
2022-05-29,3,11,0
2022-06-05,3,11,0
2022-06-12,2,9,0
2022-06-19,2,9,0
2022-06-26,0,10,0
2022-07-03,3,8,0
2022-07-10,0,6,0
2022-07-17,0,7,0
2022-07-24,0,5,0
2022-07-31,0,5,0
2022-08-07,0,5,0
2022-08-14,0,8,0
2022-08-21,0,6,0
2022-08-28,0,6,0
2022-09-04,0,5,0
2022-09-11,0,6,0
2022-09-18,2,7,0
2022-09-25,0,6,0
2022-10-02,0,7,0
2022-10-09,0,4,0
2022-10-16,2,8,0
2022-10-23,2,7,0
2022-10-30,0,6,0
2022-11-06,0,7,0
2022-11-13,0,8,0
2022-11-20,0,8,0
2022-11-27,0,7,0
2022-12-04,2,9,0
2022-12-11,3,11,0
2022-12-18,2,8,0
2022-12-25,3,9,0
2023-01-01,3,9,0
2023-01-08,3,8,0
2023-01-15,2,8,0
2023-01-22,0,10,0
2023-01-29,2,12,0
2023-02-05,4,12,0
2023-02-12,5,11,0
2023-02-19,4,12,0
2023-02-26,4,15,0
2023-03-05,5,16,0
2023-03-12,6,24,0
2023-03-19,5,20,0
2023-03-26,7,25,0
2023-04-02,7,19,0
2023-04-09,5,17,0
2023-04-16,5,18,0
2023-04-23,4,15,0
2023-04-30,5,14,0
2023-05-07,2,13,0
2023-05-14,5,15,0
2023-05-21,4,15,3
2023-05-28,4,13,0
2023-06-04,0,11,0
2023-06-11,3,14,2
2023-06-18,0,10,0
2023-06-25,3,11,0
2023-07-02,2,10,0
2023-07-09,0,10,0
2023-07-16,0,5,0
2023-07-23,0,6,0
2023-07-30,0,6,0
2023-08-06,0,4,0
2023-08-13,0,6,0
2023-08-20,0,7,0
2023-08-27,0,8,0
2023-09-03,0,10,0
2023-09-10,0,11,0
2023-09-17,0,11,0
2023-09-24,0,6,0
2023-10-01,0,8,0
2023-10-08,0,6,0
2023-10-15,0,9,0
2023-10-22,0,6,0
2023-10-29,2,6,0
2023-11-05,0,6,0
2023-11-12,0,7,0
2023-11-19,2,8,0
2023-11-26,0,6,0
2023-12-03,0,6,0
2023-12-10,2,8,0
2023-12-17,0,9,0
2023-12-24,0,8,0
2023-12-31,5,12,0
2024-01-07,5,15,0
2024-01-14,5,18,0
2024-01-21,7,22,0
2024-01-28,7,28,0
2024-02-04,16,52,0
2024-02-11,18,72,0
2024-02-18,24,94,0
2024-02-25,24,93,0
2024-03-03,26,100,3
2024-03-10,22,89,0
2024-03-17,23,93,0
2024-03-24,20,73,0
2024-03-31,18,70,0
2024-04-07,19,68,1
2024-04-14,16,62,1
2024-04-21,12,49,1
