Categoria: Todas as categorias

Semana,sintomas dengue: (Paraíba),dengue: (Paraíba),tratamento dengue: (Paraíba)
2019-04-21,6,20,0
2019-04-28,7,24,0
2019-05-05,8,17,0
2019-05-12,7,29,0
2019-05-19,7,29,0
2019-05-26,5,24,0
2019-06-02,7,20,0
2019-06-09,0,22,0
2019-06-16,7,18,0
2019-06-23,5,16,0
2019-06-30,6,20,0
2019-07-07,0,14,0
2019-07-14,4,18,0
2019-07-21,0,15,0
2019-07-28,6,17,0
2019-08-04,4,18,0
2019-08-11,0,12,0
2019-08-18,4,13,0
2019-08-25,0,12,0
2019-09-01,4,11,0
2019-09-08,0,12,0
2019-09-15,0,11,0
2019-09-22,0,10,0
2019-09-29,0,9,0
2019-10-06,0,7,0
2019-10-13,0,7,0
2019-10-20,0,9,0
2019-10-27,0,7,0
2019-11-03,0,8,0
2019-11-10,0,7,0
2019-11-17,0,9,0
2019-11-24,0,6,0
2019-12-01,0,6,0
2019-12-08,0,4,0
2019-12-15,0,5,0
2019-12-22,0,6,0
2019-12-29,0,0,0
2020-01-05,0,0,0
2020-01-12,0,7,0
2020-01-19,0,7,0
2020-01-26,0,6,0
2020-02-02,0,8,0
2020-02-09,0,10,0
2020-02-16,0,7,0
2020-02-23,4,13,0
2020-03-01,4,15,0
2020-03-08,0,15,0
2020-03-15,4,23,0
2020-03-22,0,18,0
2020-03-29,0,12,0
2020-04-05,3,13,0
2020-04-12,0,12,0
2020-04-19,3,14,0
2020-04-26,6,16,0
2020-05-03,5,15,0
2020-05-10,8,26,0
2020-05-17,6,23,0
2020-05-24,9,25,0
2020-05-31,6,25,0
2020-06-07,6,24,0
2020-06-14,7,20,0
2020-06-21,3,22,0
2020-06-28,8,28,0
2020-07-05,5,23,0
2020-07-12,7,23,0
2020-07-19,7,22,0
2020-07-26,4,15,0
2020-08-02,0,14,0
2020-08-09,0,8,0
2020-08-16,3,14,0
2020-08-23,4,12,0
2020-08-30,0,6,0
2020-09-06,0,8,0
2020-09-13,0,8,0
2020-09-20,0,8,0
2020-09-27,0,9,0
2020-10-04,0,8,0
2020-10-11,0,6,0
2020-10-18,0,9,0
2020-10-25,0,9,0
2020-11-01,0,6,0
2020-11-08,0,4,0
2020-11-15,0,7,0
2020-11-22,0,5,0
2020-11-29,0,9,0
2020-12-06,0,5,0
2020-12-13,0,7,0
2020-12-20,0,4,0
2020-12-27,0,5,0
2021-01-03,0,10,0
2021-01-10,0,0,0
2021-01-17,0,3,0
2021-01-24,0,0,0
2021-01-31,0,5,0
2021-02-07,0,7,0
2021-02-14,0,5,0
2021-02-21,0,6,0
2021-02-28,0,6,0
2021-03-07,0,9,0
2021-03-14,0,9,0
2021-03-21,0,9,0
2021-03-28,3,11,0
2021-04-04,0,5,0
2021-04-11,4,11,0
2021-04-18,0,9,0
2021-04-25,6,11,0
2021-05-02,0,11,0
2021-05-09,5,20,0
2021-05-16,5,22,0
2021-05-23,6,19,0
2021-05-30,4,18,0
2021-06-06,5,20,0
2021-06-13,6,17,0
2021-06-20,6,19,0
2021-06-27,6,17,0
2021-07-04,3,18,0
2021-07-11,6,24,0
2021-07-18,4,19,0
2021-07-25,5,18,0
2021-08-01,0,16,0
2021-08-08,0,13,0
2021-08-15,5,15,0
2021-08-22,0,14,0
2021-08-29,0,11,0
2021-09-05,0,10,0
2021-09-12,0,9,0
2021-09-19,4,9,0
2021-09-26,0,6,0
2021-10-03,0,8,0
2021-10-10,0,5,0
2021-10-17,0,9,0
2021-10-24,0,8,0
2021-10-31,0,6,0
2021-11-07,0,4,0
2021-11-14,0,8,0
2021-11-21,0,8,0
2021-11-28,0,10,0
2021-12-05,0,0,0
2021-12-12,0,7,0
2021-12-19,0,8,0
2021-12-26,0,6,0
2022-01-02,0,6,0
2022-01-09,0,9,0
2022-01-16,4,9,0
2022-01-23,0,11,0
2022-01-30,0,10,0
2022-02-06,0,10,0
2022-02-13,3,12,0
2022-02-20,3,11,0
2022-02-27,5,14,0
2022-03-06,0,12,0
2022-03-13,4,19,0
2022-03-20,6,19,0
2022-03-27,6,22,0
2022-04-03,10,34,0
2022-04-10,8,34,0
2022-04-17,10,42,0
2022-04-24,14,54,0
2022-05-01,13,49,0
2022-05-08,17,64,0
2022-05-15,22,80,0
2022-05-22,17,70,0
2022-05-29,15,59,0
2022-06-05,19,75,0
2022-06-12,20,71,0
2022-06-19,21,63,0
2022-06-26,18,53,0
2022-07-03,15,47,0
2022-07-10,13,46,0
2022-07-17,10,41,0
2022-07-24,8,32,0
2022-07-31,7,30,0
2022-08-07,6,24,0
2022-08-14,4,21,0
2022-08-21,4,14,0
2022-08-28,5,14,0
2022-09-04,3,12,0
2022-09-11,3,12,0
2022-09-18,5,10,0
2022-09-25,0,6,0
2022-10-02,0,8,0
2022-10-09,0,5,0
2022-10-16,0,7,0
2022-10-23,0,6,0
2022-10-30,0,6,0
2022-11-06,0,8,0
2022-11-13,0,8,0
2022-11-20,0,7,0
2022-11-27,0,4,0
2022-12-04,0,6,0
2022-12-11,0,4,0
2022-12-18,3,5,0
2022-12-25,0,4,0
2023-01-01,0,5,0
2023-01-08,0,4,0
2023-01-15,0,4,0
2023-01-22,0,7,0
2023-01-29,0,5,0
2023-02-05,0,7,0
2023-02-12,0,8,0
2023-02-19,0,4,0
2023-02-26,0,7,0
2023-03-05,0,10,0
2023-03-12,3,12,0
2023-03-19,4,11,0
2023-03-26,3,18,0
2023-04-02,7,19,0
2023-04-09,5,18,0
2023-04-16,5,16,0
2023-04-23,4,15,0
2023-04-30,4,15,0
2023-05-07,5,17,0
2023-05-14,3,14,0
2023-05-21,0,11,3
2023-05-28,0,8,0
2023-06-04,0,11,0
2023-06-11,0,7,0
2023-06-18,0,11,0
2023-06-25,0,6,0
2023-07-02,0,7,0
2023-07-09,3,7,0
2023-07-16,0,6,0
2023-07-23,3,10,0
2023-07-30,0,4,0
2023-08-06,0,4,0
2023-08-13,0,7,0
2023-08-20,0,5,0
2023-08-27,0,6,0
2023-09-03,0,5,0
2023-09-10,0,5,0
2023-09-17,3,6,0
2023-09-24,0,8,0
2023-10-01,0,6,0
2023-10-08,0,5,0
2023-10-15,0,5,0
2023-10-22,0,4,0
2023-10-29,0,0,0
2023-11-05,0,6,0
2023-11-12,0,6,0
2023-11-19,0,7,0
2023-11-26,0,6,0
2023-12-03,0,5,0
2023-12-10,0,4,0
2023-12-17,0,5,0
2023-12-24,0,6,0
2023-12-31,0,6,0
2024-01-07,0,5,0
2024-01-14,0,8,0
2024-01-21,0,15,0
2024-01-28,5,16,0
2024-02-04,6,27,0
2024-02-11,14,54,0
2024-02-18,16,93,0
2024-02-25,16,100,0
2024-03-03,22,100,0
2024-03-10,16,87,0
2024-03-17,19,81,0
2024-03-24,10,48,0
2024-03-31,8,58,0
2024-04-07,10,61,1
2024-04-14,10,52,1
2024-04-21,8,38,0
