Categoria: Todas as categorias

Semana,sintomas dengue: (Pernambuco),dengue: (Pernambuco),tratamento dengue: (Pernambuco)
2019-04-21,5,15,2
2019-04-28,5,22,0
2019-05-05,4,18,0
2019-05-12,7,22,0
2019-05-19,8,24,0
2019-05-26,6,22,0
2019-06-02,4,24,0
2019-06-09,4,15,0
2019-06-16,4,15,0
2019-06-23,4,23,0
2019-06-30,4,16,0
2019-07-07,5,15,0
2019-07-14,4,13,0
2019-07-21,3,12,0
2019-07-28,2,10,0
2019-08-04,3,13,0
2019-08-11,2,12,0
2019-08-18,3,14,0
2019-08-25,3,12,0
2019-09-01,3,13,0
2019-09-08,0,13,0
2019-09-15,4,13,0
2019-09-22,2,10,0
2019-09-29,2,10,0
2019-10-06,2,9,0
2019-10-13,2,8,0
2019-10-20,2,8,0
2019-10-27,0,8,0
2019-11-03,0,7,0
2019-11-10,0,8,0
2019-11-17,0,8,0
2019-11-24,2,6,0
2019-12-01,0,7,0
2019-12-08,0,6,0
2019-12-15,0,5,0
2019-12-22,0,5,0
2019-12-29,0,3,0
2020-01-05,0,5,0
2020-01-12,0,6,0
2020-01-19,3,6,0
2020-01-26,2,9,0
2020-02-02,0,8,0
2020-02-09,0,10,0
2020-02-16,3,9,0
2020-02-23,4,11,0
2020-03-01,3,14,0
2020-03-08,3,18,0
2020-03-15,4,20,0
2020-03-22,3,17,0
2020-03-29,4,17,0
2020-04-05,4,14,0
2020-04-12,6,21,0
2020-04-19,6,18,0
2020-04-26,6,22,0
2020-05-03,7,24,0
2020-05-10,6,23,0
2020-05-17,7,20,0
2020-05-24,6,21,0
2020-05-31,4,20,0
2020-06-07,6,22,0
2020-06-14,5,18,0
2020-06-21,6,21,0
2020-06-28,3,14,0
2020-07-05,4,19,0
2020-07-12,4,15,0
2020-07-19,4,15,0
2020-07-26,3,11,0
2020-08-02,3,10,0
2020-08-09,1,10,0
2020-08-16,4,10,0
2020-08-23,2,8,0
2020-08-30,0,9,0
2020-09-06,0,7,0
2020-09-13,2,8,0
2020-09-20,2,8,0
2020-09-27,2,8,0
2020-10-04,0,7,0
2020-10-11,0,6,0
2020-10-18,0,6,0
2020-10-25,0,5,0
2020-11-01,1,7,0
2020-11-08,2,6,0
2020-11-15,0,3,0
2020-11-22,1,6,0
2020-11-29,1,6,0
2020-12-06,3,7,0
2020-12-13,2,7,0
2020-12-20,0,6,0
2020-12-27,2,5,0
2021-01-03,2,7,0
2021-01-10,1,4,0
2021-01-17,2,7,0
2021-01-24,0,6,0
2021-01-31,2,6,0
2021-02-07,2,7,0
2021-02-14,3,7,0
2021-02-21,2,8,0
2021-02-28,2,9,0
2021-03-07,3,9,0
2021-03-14,3,12,0
2021-03-21,4,15,0
2021-03-28,4,15,0
2021-04-04,5,16,0
2021-04-11,6,20,0
2021-04-18,6,21,0
2021-04-25,7,28,0
2021-05-02,9,28,0
2021-05-09,12,40,0
2021-05-16,16,45,0
2021-05-23,16,57,0
2021-05-30,17,56,2
2021-06-06,12,50,2
2021-06-13,12,43,0
2021-06-20,11,40,0
2021-06-27,11,37,0
2021-07-04,7,32,0
2021-07-11,7,28,0
2021-07-18,6,24,0
2021-07-25,6,20,0
2021-08-01,4,19,0
2021-08-08,4,16,0
2021-08-15,2,14,0
2021-08-22,3,15,0
2021-08-29,3,12,0
2021-09-05,3,8,0
2021-09-12,3,11,0
2021-09-19,3,9,0
2021-09-26,2,6,0
2021-10-03,3,8,0
2021-10-10,2,6,0
2021-10-17,0,7,0
2021-10-24,0,6,0
2021-10-31,2,8,0
2021-11-07,0,7,0
2021-11-14,0,6,0
2021-11-21,0,6,0
2021-11-28,0,6,0
2021-12-05,0,6,0
2021-12-12,2,6,0
2021-12-19,0,5,2
2021-12-26,0,6,0
2022-01-02,0,7,0
2022-01-09,2,6,0
2022-01-16,3,8,0
2022-01-23,3,9,0
2022-01-30,3,9,0
2022-02-06,4,9,0
2022-02-13,3,11,0
2022-02-20,4,14,0
2022-02-27,3,12,0
2022-03-06,3,14,0
2022-03-13,4,17,0
2022-03-20,4,15,0
2022-03-27,4,18,1
2022-04-03,4,17,0
2022-04-10,6,20,0
2022-04-17,7,27,0
2022-04-24,7,27,0
2022-05-01,8,25,0
2022-05-08,9,31,0
2022-05-15,7,27,0
2022-05-22,6,24,0
2022-05-29,6,22,0
2022-06-05,7,20,0
2022-06-12,8,24,0
2022-06-19,8,21,0
2022-06-26,8,17,0
2022-07-03,5,14,0
2022-07-10,4,11,0
2022-07-17,3,11,0
2022-07-24,2,9,0
2022-07-31,2,10,0
2022-08-07,2,9,0
2022-08-14,2,9,0
2022-08-21,3,8,0
2022-08-28,2,8,0
2022-09-04,2,7,0
2022-09-11,1,7,0
2022-09-18,2,8,0
2022-09-25,1,6,0
2022-10-02,1,5,0
2022-10-09,0,5,0
2022-10-16,0,7,0
2022-10-23,1,5,0
2022-10-30,0,5,0
2022-11-06,2,7,0
2022-11-13,2,7,0
2022-11-20,2,6,0
2022-11-27,0,6,0
2022-12-04,1,5,0
2022-12-11,0,6,0
2022-12-18,2,5,0
2022-12-25,2,6,0
2023-01-01,2,7,0
2023-01-08,0,5,0
2023-01-15,2,5,0
2023-01-22,0,4,0
2023-01-29,1,5,0
2023-02-05,2,6,0
2023-02-12,2,7,0
2023-02-19,2,5,0
2023-02-26,2,10,0
2023-03-05,2,9,0
2023-03-12,2,10,0
2023-03-19,4,12,0
2023-03-26,5,18,0
2023-04-02,6,13,0
2023-04-09,5,15,0
2023-04-16,4,14,0
2023-04-23,4,13,0
2023-04-30,2,10,0
2023-05-07,2,10,0
2023-05-14,2,9,0
2023-05-21,2,10,0
2023-05-28,3,9,0
2023-06-04,2,8,0
2023-06-11,3,9,0
2023-06-18,2,6,0
2023-06-25,3,8,0
2023-07-02,0,12,0
2023-07-09,1,9,0
2023-07-16,0,6,0
2023-07-23,0,5,0
2023-07-30,0,6,0
2023-08-06,2,5,0
2023-08-13,0,6,0
2023-08-20,1,7,0
2023-08-27,2,7,0
2023-09-03,0,6,0
2023-09-10,0,6,0
2023-09-17,2,5,0
2023-09-24,2,6,0
2023-10-01,2,5,0
2023-10-08,2,5,0
2023-10-15,2,6,0
2023-10-22,0,6,0
2023-10-29,0,5,0
2023-11-05,1,7,0
2023-11-12,0,4,0
2023-11-19,2,8,0
2023-11-26,0,6,0
2023-12-03,0,6,0
2023-12-10,0,6,0
2023-12-17,2,6,0
2023-12-24,3,7,0
2023-12-31,0,8,0
2024-01-07,3,8,0
2024-01-14,3,6,0
2024-01-21,3,13,0
2024-01-28,5,21,0
2024-02-04,9,34,0
2024-02-11,15,57,0
2024-02-18,22,92,0
2024-02-25,22,100,0
2024-03-03,23,92,2
2024-03-10,20,89,0
2024-03-17,17,90,0
2024-03-24,16,61,0
2024-03-31,16,58,0
2024-04-07,12,69,1
2024-04-14,12,62,1
2024-04-21,10,43,<1
