Categoria: Todas as categorias

Semana,sintomas dengue: (Paraná),dengue: (Paraná),tratamento dengue: (Paraná)
2019-04-21,4,13,1
2019-04-28,4,12,0
2019-05-05,5,13,0
2019-05-12,4,12,0
2019-05-19,3,11,1
2019-05-26,3,9,0
2019-06-02,2,7,0
2019-06-09,2,7,0
2019-06-16,2,7,0
2019-06-23,2,6,0
2019-06-30,1,4,0
2019-07-07,1,3,0
2019-07-14,1,2,0
2019-07-21,1,3,0
2019-07-28,1,3,0
2019-08-04,1,3,0
2019-08-11,<1,3,0
2019-08-18,0,2,0
2019-08-25,1,3,0
2019-09-01,1,3,0
2019-09-08,1,3,0
2019-09-15,<1,3,0
2019-09-22,1,3,0
2019-09-29,1,2,0
2019-10-06,1,2,0
2019-10-13,1,3,0
2019-10-20,1,3,0
2019-10-27,1,4,0
2019-11-03,1,4,0
2019-11-10,1,4,0
2019-11-17,1,4,0
2019-11-24,1,4,0
2019-12-01,1,5,0
2019-12-08,2,4,0
2019-12-15,2,6,0
2019-12-22,2,8,0
2019-12-29,2,7,0
2020-01-05,3,11,0
2020-01-12,4,16,0
2020-01-19,5,20,0
2020-01-26,7,29,0
2020-02-02,8,31,0
2020-02-09,13,53,1
2020-02-16,15,63,1
2020-02-23,15,55,1
2020-03-01,15,64,1
2020-03-08,16,62,1
2020-03-15,16,58,1
2020-03-22,12,47,1
2020-03-29,10,42,1
2020-04-05,8,33,1
2020-04-12,6,26,0
2020-04-19,6,24,0
2020-04-26,5,22,<1
2020-05-03,4,18,<1
2020-05-10,3,15,<1
2020-05-17,3,13,0
2020-05-24,2,9,0
2020-05-31,2,8,0
2020-06-07,2,8,0
2020-06-14,2,8,0
2020-06-21,3,9,0
2020-06-28,1,5,0
2020-07-05,1,5,0
2020-07-12,1,5,0
2020-07-19,2,5,0
2020-07-26,1,4,0
2020-08-02,1,3,0
2020-08-09,1,4,0
2020-08-16,1,3,0
2020-08-23,1,3,0
2020-08-30,1,3,0
2020-09-06,1,4,0
2020-09-13,1,4,0
2020-09-20,1,5,0
2020-09-27,1,3,0
2020-10-04,1,4,0
2020-10-11,1,3,0
2020-10-18,1,4,0
2020-10-25,1,4,0
2020-11-01,1,5,0
2020-11-08,1,4,0
2020-11-15,1,4,0
2020-11-22,1,5,0
2020-11-29,1,4,0
2020-12-06,2,5,0
2020-12-13,1,4,0
2020-12-20,2,4,0
2020-12-27,2,6,0
2021-01-03,2,5,0
2021-01-10,1,6,0
2021-01-17,1,4,0
2021-01-24,2,5,0
2021-01-31,2,7,0
2021-02-07,2,7,0
2021-02-14,2,7,0
2021-02-21,3,8,0
2021-02-28,2,7,0
2021-03-07,3,9,0
2021-03-14,3,11,0
2021-03-21,3,11,0
2021-03-28,2,11,0
2021-04-04,3,12,0
2021-04-11,3,13,0
2021-04-18,2,11,0
2021-04-25,3,10,0
2021-05-02,2,9,0
2021-05-09,2,7,0
2021-05-16,2,7,0
2021-05-23,2,7,0
2021-05-30,1,5,0
2021-06-06,1,5,0
2021-06-13,<1,3,0
2021-06-20,1,3,0
2021-06-27,<1,2,0
2021-07-04,1,3,0
2021-07-11,1,2,0
2021-07-18,0,2,0
2021-07-25,0,1,0
2021-08-01,0,2,0
2021-08-08,<1,2,0
2021-08-15,<1,3,0
2021-08-22,<1,2,0
2021-08-29,0,2,0
2021-09-05,<1,3,0
2021-09-12,1,3,0
2021-09-19,0,2,0
2021-09-26,1,2,0
2021-10-03,1,2,0
2021-10-10,0,2,0
2021-10-17,0,2,0
2021-10-24,1,3,0
2021-10-31,1,2,0
2021-11-07,1,2,0
2021-11-14,0,3,0
2021-11-21,1,3,0
2021-11-28,0,2,0
2021-12-05,<1,2,0
2021-12-12,1,2,0
2021-12-19,0,2,0
2021-12-26,1,2,0
2022-01-02,2,4,0
2022-01-09,2,5,0
2022-01-16,3,6,0
2022-01-23,2,5,0
2022-01-30,2,5,0
2022-02-06,1,4,0
2022-02-13,1,4,0
2022-02-20,2,6,<1
2022-02-27,2,8,0
2022-03-06,3,12,1
2022-03-13,5,17,1
2022-03-20,5,19,<1
2022-03-27,7,26,1
2022-04-03,8,28,1
2022-04-10,8,29,1
2022-04-17,11,39,1
2022-04-24,12,42,1
2022-05-01,11,37,1
2022-05-08,11,39,1
2022-05-15,7,24,<1
2022-05-22,8,22,1
2022-05-29,5,14,<1
2022-06-05,4,12,0
2022-06-12,3,9,0
2022-06-19,3,10,0
2022-06-26,3,8,0
2022-07-03,2,7,0
2022-07-10,2,6,0
2022-07-17,2,5,0
2022-07-24,2,5,0
2022-07-31,2,5,0
2022-08-07,1,4,0
2022-08-14,1,4,0
2022-08-21,1,4,0
2022-08-28,1,3,0
2022-09-04,1,3,0
2022-09-11,1,4,0
2022-09-18,1,4,0
2022-09-25,1,4,0
2022-10-02,1,3,0
2022-10-09,1,3,0
2022-10-16,1,3,0
2022-10-23,1,4,0
2022-10-30,1,3,0
2022-11-06,1,4,0
2022-11-13,1,5,0
2022-11-20,1,5,0
2022-11-27,1,5,0
2022-12-04,1,5,0
2022-12-11,2,5,0
2022-12-18,1,4,0
2022-12-25,2,5,0
2023-01-01,2,4,0
2023-01-08,1,4,0
2023-01-15,1,4,<1
2023-01-22,1,5,0
2023-01-29,2,4,0
2023-02-05,2,6,0
2023-02-12,2,7,0
2023-02-19,2,8,0
2023-02-26,3,11,0
2023-03-05,3,13,0
2023-03-12,5,17,<1
2023-03-19,7,24,1
2023-03-26,9,34,1
2023-04-02,10,34,1
2023-04-09,10,38,1
2023-04-16,9,36,1
2023-04-23,10,35,1
2023-04-30,9,33,1
2023-05-07,8,29,1
2023-05-14,7,27,<1
2023-05-21,7,21,0
2023-05-28,4,13,0
2023-06-04,3,13,0
2023-06-11,2,10,0
2023-06-18,2,9,0
2023-06-25,2,8,0
2023-07-02,2,8,0
2023-07-09,1,5,0
2023-07-16,1,4,0
2023-07-23,1,4,0
2023-07-30,1,4,0
2023-08-06,1,4,0
2023-08-13,1,4,0
2023-08-20,1,4,0
2023-08-27,1,4,0
2023-09-03,<1,3,0
2023-09-10,1,4,0
2023-09-17,1,4,0
2023-09-24,1,4,0
2023-10-01,1,4,0
2023-10-08,1,4,0
2023-10-15,2,5,0
2023-10-22,1,4,0
2023-10-29,1,4,0
2023-11-05,2,6,0
2023-11-12,1,6,0
2023-11-19,1,5,0
2023-11-26,2,6,0
2023-12-03,1,6,0
2023-12-10,2,8,0
2023-12-17,2,8,0
2023-12-24,3,11,0
2023-12-31,4,13,<1
2024-01-07,5,17,0
2024-01-14,5,20,<1
2024-01-21,6,28,0
2024-01-28,7,41,<1
2024-02-04,12,53,1
2024-02-11,14,58,<1
2024-02-18,17,76,1
2024-02-25,21,90,1
2024-03-03,21,80,1
2024-03-10,21,97,1
2024-03-17,20,88,1
2024-03-24,19,83,1
2024-03-31,22,100,1
2024-04-07,18,97,1
2024-04-14,15,83,1
2024-04-21,17,88,1
