Categoria: Todas as categorias

Semana,sintomas dengue: (Rio Grande do Norte),dengue: (Rio Grande do Norte),tratamento dengue: (Rio Grande do Norte)
2019-04-21,0,27,0
2019-04-28,6,29,5
2019-05-05,5,27,0
2019-05-12,12,39,0
2019-05-19,8,31,0
2019-05-26,8,33,0
2019-06-02,6,28,0
2019-06-09,9,29,0
2019-06-16,10,30,0
2019-06-23,6,31,0
2019-06-30,9,30,0
2019-07-07,8,29,0
2019-07-14,6,30,0
2019-07-21,5,28,0
2019-07-28,0,21,0
2019-08-04,0,21,0
2019-08-11,5,19,0
2019-08-18,5,18,0
2019-08-25,0,14,0
2019-09-01,0,8,0
2019-09-08,0,10,0
2019-09-15,0,15,0
2019-09-22,0,9,0
2019-09-29,0,7,0
2019-10-06,4,7,0
2019-10-13,0,8,0
2019-10-20,0,8,0
2019-10-27,0,6,0
2019-11-03,0,6,0
2019-11-10,0,7,0
2019-11-17,0,5,0
2019-11-24,0,7,0
2019-12-01,0,0,0
2019-12-08,0,6,0
2019-12-15,0,0,0
2019-12-22,0,6,0
2019-12-29,0,6,0
2020-01-05,0,9,0
2020-01-12,0,7,0
2020-01-19,0,8,0
2020-01-26,0,10,0
2020-02-02,0,9,0
2020-02-09,0,5,0
2020-02-16,0,11,0
2020-02-23,0,16,0
2020-03-01,0,11,0
2020-03-08,4,24,0
2020-03-15,4,24,0
2020-03-22,5,25,0
2020-03-29,3,13,0
2020-04-05,0,18,0
2020-04-12,0,16,0
2020-04-19,5,14,0
2020-04-26,7,17,3
2020-05-03,4,13,0
2020-05-10,7,21,0
2020-05-17,8,21,0
2020-05-24,6,23,0
2020-05-31,5,18,0
2020-06-07,7,20,0
2020-06-14,6,17,0
2020-06-21,6,16,0
2020-06-28,4,14,0
2020-07-05,5,15,0
2020-07-12,5,15,0
2020-07-19,0,13,0
2020-07-26,0,11,0
2020-08-02,0,8,0
2020-08-09,0,8,0
2020-08-16,0,7,0
2020-08-23,0,7,0
2020-08-30,0,5,0
2020-09-06,0,6,0
2020-09-13,0,5,0
2020-09-20,0,4,0
2020-09-27,0,0,0
2020-10-04,0,6,0
2020-10-11,0,5,0
2020-10-18,0,4,0
2020-10-25,0,5,0
2020-11-01,0,0,0
2020-11-08,0,9,0
2020-11-15,0,5,0
2020-11-22,0,4,0
2020-11-29,0,8,0
2020-12-06,0,4,0
2020-12-13,0,6,0
2020-12-20,0,0,0
2020-12-27,0,6,0
2021-01-03,0,5,0
2021-01-10,0,5,0
2021-01-17,0,6,0
2021-01-24,0,0,0
2021-01-31,0,0,0
2021-02-07,0,4,0
2021-02-14,0,7,0
2021-02-21,0,9,0
2021-02-28,0,4,0
2021-03-07,0,10,0
2021-03-14,0,7,0
2021-03-21,0,8,0
2021-03-28,0,8,0
2021-04-04,0,8,0
2021-04-11,0,8,0
2021-04-18,4,10,0
2021-04-25,4,9,0
2021-05-02,0,9,0
2021-05-09,0,9,0
2021-05-16,0,8,0
2021-05-23,0,13,0
2021-05-30,0,6,0
2021-06-06,0,8,0
2021-06-13,0,12,0
2021-06-20,0,8,0
2021-06-27,0,9,0
2021-07-04,0,6,0
2021-07-11,0,9,0
2021-07-18,0,7,0
2021-07-25,0,5,0
2021-08-01,0,9,0
2021-08-08,0,7,0
2021-08-15,0,4,0
2021-08-22,0,4,0
2021-08-29,0,5,0
2021-09-05,0,5,0
2021-09-12,0,4,0
2021-09-19,0,0,0
2021-09-26,0,8,0
2021-10-03,0,6,0
2021-10-10,0,0,0
2021-10-17,0,11,0
2021-10-24,0,6,0
2021-10-31,0,0,0
2021-11-07,0,7,0
2021-11-14,0,5,0
2021-11-21,0,5,0
2021-11-28,0,6,0
2021-12-05,0,5,0
2021-12-12,0,4,0
2021-12-19,0,0,0
2021-12-26,0,0,0
2022-01-02,6,9,0
