Categoria: Todas as categorias

Semana,sintomas dengue: (Rio Grande do Sul),dengue: (Rio Grande do Sul),tratamento dengue: (Rio Grande do Sul)
2019-04-21,3,10,0
2019-04-28,3,10,0
2019-05-05,3,8,0
2019-05-12,3,8,0
2019-05-19,4,10,0
2019-05-26,3,8,0
2019-06-02,2,7,0
2019-06-09,3,8,0
2019-06-16,2,7,0
2019-06-23,2,6,0
2019-06-30,1,4,0
2019-07-07,1,3,0
2019-07-14,1,3,0
2019-07-21,1,2,0
2019-07-28,1,2,0
2019-08-04,1,2,0
2019-08-11,1,2,0
2019-08-18,1,2,0
2019-08-25,1,2,0
2019-09-01,0,2,0
2019-09-08,1,3,0
2019-09-15,0,2,0
2019-09-22,1,3,0
2019-09-29,0,2,0
2019-10-06,1,2,0
2019-10-13,1,3,0
2019-10-20,1,3,0
2019-10-27,0,2,0
2019-11-03,1,2,0
2019-11-10,0,3,0
2019-11-17,1,3,0
2019-11-24,0,2,0
2019-12-01,1,2,0
2019-12-08,1,2,0
2019-12-15,1,2,0
2019-12-22,1,3,0
2019-12-29,1,2,0
2020-01-05,1,3,0
2020-01-12,0,4,0
2020-01-19,1,3,0
2020-01-26,1,4,0
2020-02-02,1,4,0
2020-02-09,1,5,0
2020-02-16,2,6,0
2020-02-23,2,8,0
2020-03-01,3,8,0
2020-03-08,3,12,0
2020-03-15,4,14,0
2020-03-22,3,13,0
2020-03-29,3,13,0
2020-04-05,2,10,0
2020-04-12,2,11,0
2020-04-19,3,10,0
2020-04-26,3,10,0
2020-05-03,2,6,0
2020-05-10,2,8,0
2020-05-17,1,6,0
2020-05-24,1,6,0
2020-05-31,1,6,0
2020-06-07,1,5,<1
2020-06-14,1,5,0
2020-06-21,1,4,0
2020-06-28,0,3,0
2020-07-05,0,2,0
2020-07-12,1,2,0
2020-07-19,<1,2,0
2020-07-26,0,2,0
2020-08-02,0,2,0
2020-08-09,0,2,0
2020-08-16,0,2,0
2020-08-23,0,2,0
2020-08-30,0,2,0
2020-09-06,0,2,0
2020-09-13,1,2,0
2020-09-20,0,2,0
2020-09-27,0,1,0
2020-10-04,0,2,0
2020-10-11,0,1,0
2020-10-18,0,2,0
2020-10-25,0,1,0
2020-11-01,0,2,0
2020-11-08,0,1,0
2020-11-15,1,2,0
2020-11-22,1,2,0
2020-11-29,1,2,0
2020-12-06,0,2,0
2020-12-13,0,2,0
2020-12-20,0,2,0
2020-12-27,1,2,0
2021-01-03,1,3,0
2021-01-10,0,2,0
2021-01-17,1,3,0
2021-01-24,1,2,0
2021-01-31,1,3,0
