Categoria: Todas as categorias

Semana,dengue: (Amazonas)
2019-04-21,8
2019-04-28,9
2019-05-05,12
2019-05-12,11
2019-05-19,6
2019-05-26,12
2019-06-02,10
2019-06-09,7
2019-06-16,12
2019-06-23,6
2019-06-30,0
2019-07-07,6
2019-07-14,7
2019-07-21,7
2019-07-28,6
2019-08-04,9
2019-08-11,0
2019-08-18,9
2019-08-25,6
2019-09-01,0
2019-09-08,8
2019-09-15,0
2019-09-22,6
2019-09-29,0
2019-10-06,8
2019-10-13,7
2019-10-20,8
2019-10-27,9
2019-11-03,13
2019-11-10,8
2019-11-17,10
2019-11-24,9
2019-12-01,10
2019-12-08,6
2019-12-15,8
2019-12-22,0
2019-12-29,14
2020-01-05,12
2020-01-12,9
2020-01-19,6
2020-01-26,15
2020-02-02,12
2020-02-09,15
2020-02-16,16
2020-02-23,13
2020-03-01,15
2020-03-08,17
2020-03-15,27
2020-03-22,20
2020-03-29,23
2020-04-05,28
2020-04-12,28
2020-04-19,22
2020-04-26,18
2020-05-03,9
2020-05-10,10
2020-05-17,9
2020-05-24,12
2020-05-31,14
2020-06-07,9
2020-06-14,11
2020-06-21,10
2020-06-28,0
2020-07-05,12
2020-07-12,8
2020-07-19,11
2020-07-26,8
2020-08-02,9
2020-08-09,6
2020-08-16,0
2020-08-23,5
2020-08-30,8
2020-09-06,6
2020-09-13,7
2020-09-20,8
2020-09-27,4
2020-10-04,8
2020-10-11,7
2020-10-18,10
2020-10-25,5
2020-11-01,0
2020-11-08,8
2020-11-15,9
2020-11-22,13
2020-11-29,12
2020-12-06,11
2020-12-13,11
2020-12-20,11
2020-12-27,23
2021-01-03,27
2021-01-10,16
2021-01-17,15
2021-01-24,21
2021-01-31,15
2021-02-07,14
2021-02-14,17
2021-02-21,22
2021-02-28,24
2021-03-07,13
2021-03-14,18
2021-03-21,24
2021-03-28,17
2021-04-04,19
2021-04-11,19
2021-04-18,23
2021-04-25,19
2021-05-02,19
2021-05-09,15
2021-05-16,20
2021-05-23,18
2021-05-30,13
2021-06-06,14
2021-06-13,14
2021-06-20,15
2021-06-27,10
2021-07-04,13
2021-07-11,13
2021-07-18,8
2021-07-25,9
2021-08-01,11
2021-08-08,9
2021-08-15,15
2021-08-22,8
2021-08-29,10
2021-09-05,9
2021-09-12,9
2021-09-19,7
2021-09-26,9
2021-10-03,5
2021-10-10,0
2021-10-17,5
2021-10-24,5
2021-10-31,0
2021-11-07,6
2021-11-14,7
2021-11-21,8
2021-11-28,8
2021-12-05,7
2021-12-12,9
2021-12-19,8
2021-12-26,0
2022-01-02,10
2022-01-09,13
2022-01-16,8
2022-01-23,10
2022-01-30,8
2022-02-06,7
2022-02-13,11
2022-02-20,12
2022-02-27,10
2022-03-06,10
2022-03-13,15
2022-03-20,18
2022-03-27,14
2022-04-03,15
2022-04-10,15
2022-04-17,16
2022-04-24,15
2022-05-01,15
2022-05-08,16
2022-05-15,18
2022-05-22,18
2022-05-29,16
2022-06-05,15
2022-06-12,15
2022-06-19,10
2022-06-26,6
2022-07-03,9
2022-07-10,6
2022-07-17,12
2022-07-24,11
2022-07-31,10
2022-08-07,9
2022-08-14,11
2022-08-21,8
2022-08-28,6
2022-09-04,6
2022-09-11,6
2022-09-18,8
2022-09-25,7
2022-10-02,5
2022-10-09,8
2022-10-16,10
2022-10-23,10
2022-10-30,8
2022-11-06,13
2022-11-13,7
2022-11-20,11
2022-11-27,12
2022-12-04,9
2022-12-11,10
2022-12-18,8
2022-12-25,9
2023-01-01,9
2023-01-08,5
2023-01-15,10
2023-01-22,6
2023-01-29,9
2023-02-05,13
2023-02-12,16
2023-02-19,17
2023-02-26,16
2023-03-05,16
2023-03-12,15
2023-03-19,17
2023-03-26,18
2023-04-02,12
2023-04-09,17
2023-04-16,15
2023-04-23,14
2023-04-30,13
2023-05-07,18
2023-05-14,17
2023-05-21,17
2023-05-28,12
2023-06-04,11
2023-06-11,10
2023-06-18,10
2023-06-25,9
2023-07-02,12
2023-07-09,11
2023-07-16,7
2023-07-23,7
2023-07-30,8
2023-08-06,10
2023-08-13,8
2023-08-20,7
2023-08-27,8
2023-09-03,0
2023-09-10,6
2023-09-17,9
2023-09-24,9
2023-10-01,9
2023-10-08,5
2023-10-15,6
2023-10-22,8
2023-10-29,7
2023-11-05,5
2023-11-12,10
2023-11-19,10
2023-11-26,10
2023-12-03,13
2023-12-10,18
2023-12-17,28
2023-12-24,55
2023-12-31,88
2024-01-07,84
2024-01-14,91
2024-01-21,86
2024-01-28,64
2024-02-04,73
2024-02-11,75
2024-02-18,100
2024-02-25,92
2024-03-03,81
2024-03-10,66
2024-03-17,61
2024-03-24,45
2024-03-31,44
2024-04-07,40
2024-04-14,43
2024-04-21,30
