Categoria: Todas as categorias

Semana,sintomas dengue: (Brasil)
2019-04-21,27
2019-04-28,26
2019-05-05,25
2019-05-12,24
2019-05-19,23
2019-05-26,21
2019-06-02,17
2019-06-09,16
2019-06-16,14
2019-06-23,13
2019-06-30,10
2019-07-07,6
2019-07-14,6
2019-07-21,6
2019-07-28,5
2019-08-04,5
2019-08-11,4
2019-08-18,4
2019-08-25,4
2019-09-01,4
2019-09-08,4
2019-09-15,4
2019-09-22,3
2019-09-29,4
2019-10-06,3
2019-10-13,4
2019-10-20,4
2019-10-27,3
2019-11-03,4
2019-11-10,4
2019-11-17,4
2019-11-24,4
2019-12-01,4
2019-12-08,4
2019-12-15,5
2019-12-22,6
2019-12-29,5
2020-01-05,6
2020-01-12,8
2020-01-19,8
2020-01-26,9
2020-02-02,10
2020-02-09,13
2020-02-16,18
2020-02-23,19
2020-03-01,19
2020-03-08,19
2020-03-15,23
2020-03-22,18
2020-03-29,15
2020-04-05,13
2020-04-12,14
2020-04-19,13
2020-04-26,14
2020-05-03,13
2020-05-10,11
2020-05-17,11
2020-05-24,10
2020-05-31,9
2020-06-07,9
2020-06-14,9
2020-06-21,9
2020-06-28,6
2020-07-05,7
2020-07-12,6
2020-07-19,6
2020-07-26,5
2020-08-02,4
2020-08-09,4
2020-08-16,4
2020-08-23,3
2020-08-30,3
2020-09-06,3
2020-09-13,3
2020-09-20,2
2020-09-27,2
2020-10-04,2
2020-10-11,2
2020-10-18,2
2020-10-25,2
2020-11-01,2
2020-11-08,3
2020-11-15,3
2020-11-22,3
2020-11-29,4
2020-12-06,4
2020-12-13,4
2020-12-20,4
2020-12-27,5
2021-01-03,6
2021-01-10,5
2021-01-17,5
2021-01-24,6
2021-01-31,5
2021-02-07,6
2021-02-14,7
2021-02-21,8
2021-02-28,9
2021-03-07,10
2021-03-14,10
2021-03-21,11
2021-03-28,11
2021-04-04,11
2021-04-11,11
2021-04-18,10
2021-04-25,9
2021-05-02,9
2021-05-09,9
2021-05-16,9
2021-05-23,9
2021-05-30,8
2021-06-06,7
2021-06-13,6
2021-06-20,5
2021-06-27,4
2021-07-04,4
2021-07-11,4
2021-07-18,3
2021-07-25,3
2021-08-01,2
2021-08-08,2
2021-08-15,3
2021-08-22,2
2021-08-29,2
2021-09-05,2
2021-09-12,2
2021-09-19,2
2021-09-26,2
2021-10-03,2
2021-10-10,2
2021-10-17,2
2021-10-24,2
2021-10-31,2
2021-11-07,2
2021-11-14,2
2021-11-21,3
2021-11-28,3
2021-12-05,3
2021-12-12,4
2021-12-19,4
2021-12-26,6
2022-01-02,9
2022-01-09,11
2022-01-16,12
2022-01-23,9
2022-01-30,7
2022-02-06,7
2022-02-13,7
2022-02-20,7
2022-02-27,9
2022-03-06,10
2022-03-13,12
2022-03-20,14
2022-03-27,17
2022-04-03,21
2022-04-10,26
2022-04-17,32
2022-04-24,34
2022-05-01,32
2022-05-08,34
2022-05-15,24
2022-05-22,23
2022-05-29,20
2022-06-05,19
2022-06-12,16
2022-06-19,15
2022-06-26,15
2022-07-03,12
2022-07-10,10
2022-07-17,8
2022-07-24,7
2022-07-31,6
2022-08-07,5
2022-08-14,5
2022-08-21,4
2022-08-28,4
2022-09-04,4
2022-09-11,4
2022-09-18,4
2022-09-25,4
2022-10-02,3
2022-10-09,4
2022-10-16,4
2022-10-23,5
2022-10-30,3
2022-11-06,4
2022-11-13,6
2022-11-20,5
2022-11-27,5
2022-12-04,6
2022-12-11,6
2022-12-18,6
2022-12-25,8
2023-01-01,7
2023-01-08,7
2023-01-15,8
2023-01-22,8
2023-01-29,9
2023-02-05,9
2023-02-12,12
2023-02-19,14
2023-02-26,16
2023-03-05,18
2023-03-12,23
2023-03-19,27
2023-03-26,35
2023-04-02,32
2023-04-09,32
2023-04-16,29
2023-04-23,29
2023-04-30,28
2023-05-07,26
2023-05-14,23
2023-05-21,21
2023-05-28,17
2023-06-04,13
2023-06-11,11
2023-06-18,9
2023-06-25,9
2023-07-02,8
2023-07-09,6
2023-07-16,5
2023-07-23,5
2023-07-30,4
2023-08-06,4
2023-08-13,4
2023-08-20,4
2023-08-27,4
2023-09-03,4
2023-09-10,4
2023-09-17,4
2023-09-24,4
2023-10-01,5
2023-10-08,4
2023-10-15,5
2023-10-22,5
2023-10-29,4
2023-11-05,5
2023-11-12,5
2023-11-19,6
2023-11-26,7
2023-12-03,7
2023-12-10,9
2023-12-17,8
2023-12-24,11
2023-12-31,13
2024-01-07,15
2024-01-14,19
2024-01-21,25
2024-01-28,37
2024-02-04,64
2024-02-11,81
2024-02-18,89
2024-02-25,100
2024-03-03,93
2024-03-10,83
2024-03-17,80
2024-03-24,72
2024-03-31,74
2024-04-07,73
2024-04-14,67
2024-04-21,62
