Categoria: Todas as categorias

Semana,sintomas dengue: (Distrito Federal)
2019-04-21,29
2019-04-28,32
2019-05-05,30
2019-05-12,26
2019-05-19,38
2019-05-26,35
2019-06-02,33
2019-06-09,19
2019-06-16,19
2019-06-23,14
2019-06-30,14
2019-07-07,6
2019-07-14,7
2019-07-21,7
2019-07-28,6
2019-08-04,0
2019-08-11,4
2019-08-18,4
2019-08-25,0
2019-09-01,3
2019-09-08,4
2019-09-15,0
2019-09-22,4
2019-09-29,4
2019-10-06,3
2019-10-13,0
2019-10-20,5
2019-10-27,0
2019-11-03,0
2019-11-10,5
2019-11-17,3
2019-11-24,0
2019-12-01,4
2019-12-08,4
2019-12-15,4
2019-12-22,6
2019-12-29,0
2020-01-05,4
2020-01-12,8
2020-01-19,8
2020-01-26,11
2020-02-02,12
2020-02-09,8
2020-02-16,14
2020-02-23,16
2020-03-01,16
2020-03-08,24
2020-03-15,27
2020-03-22,14
2020-03-29,21
2020-04-05,18
2020-04-12,19
2020-04-19,16
2020-04-26,17
2020-05-03,18
2020-05-10,17
2020-05-17,18
2020-05-24,18
2020-05-31,18
2020-06-07,14
2020-06-14,13
2020-06-21,11
2020-06-28,11
2020-07-05,12
2020-07-12,9
2020-07-19,12
2020-07-26,9
2020-08-02,4
2020-08-09,6
2020-08-16,7
2020-08-23,5
2020-08-30,3
2020-09-06,5
2020-09-13,3
2020-09-20,4
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,5
2020-11-22,3
2020-11-29,6
2020-12-06,8
2020-12-13,3
2020-12-20,4
2020-12-27,4
2021-01-03,5
2021-01-10,5
2021-01-17,6
2021-01-24,5
2021-01-31,0
2021-02-07,4
2021-02-14,4
2021-02-21,4
2021-02-28,5
2021-03-07,8
2021-03-14,7
2021-03-21,9
2021-03-28,9
2021-04-04,7
2021-04-11,11
2021-04-18,6
2021-04-25,6
2021-05-02,5
2021-05-09,8
2021-05-16,5
2021-05-23,6
2021-05-30,7
2021-06-06,6
2021-06-13,0
2021-06-20,4
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,3
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,5
2021-11-28,0
2021-12-05,5
2021-12-12,7
2021-12-19,8
2021-12-26,9
2022-01-02,12
2022-01-09,9
2022-01-16,13
2022-01-23,16
2022-01-30,13
2022-02-06,10
2022-02-13,11
2022-02-20,9
2022-02-27,11
2022-03-06,12
2022-03-13,13
2022-03-20,15
2022-03-27,19
2022-04-03,22
2022-04-10,24
2022-04-17,30
2022-04-24,32
2022-05-01,29
2022-05-08,21
2022-05-15,29
2022-05-22,22
2022-05-29,28
2022-06-05,30
2022-06-12,19
2022-06-19,16
2022-06-26,8
2022-07-03,6
2022-07-10,5
2022-07-17,7
2022-07-24,4
2022-07-31,4
2022-08-07,3
2022-08-14,4
2022-08-21,3
2022-08-28,4
2022-09-04,6
2022-09-11,3
2022-09-18,4
2022-09-25,6
2022-10-02,3
2022-10-09,4
2022-10-16,3
2022-10-23,4
2022-10-30,0
2022-11-06,5
2022-11-13,5
2022-11-20,6
2022-11-27,6
2022-12-04,7
2022-12-11,8
2022-12-18,7
2022-12-25,8
2023-01-01,9
2023-01-08,8
2023-01-15,8
2023-01-22,5
2023-01-29,6
2023-02-05,8
2023-02-12,6
2023-02-19,4
2023-02-26,6
2023-03-05,8
2023-03-12,8
2023-03-19,9
2023-03-26,13
2023-04-02,7
2023-04-09,9
2023-04-16,12
2023-04-23,10
2023-04-30,8
2023-05-07,9
2023-05-14,8
2023-05-21,6
2023-05-28,5
2023-06-04,4
2023-06-11,3
2023-06-18,4
2023-06-25,3
2023-07-02,3
2023-07-09,5
2023-07-16,4
2023-07-23,3
2023-07-30,5
2023-08-06,4
2023-08-13,0
2023-08-20,3
2023-08-27,0
2023-09-03,4
2023-09-10,3
2023-09-17,4
2023-09-24,5
2023-10-01,4
2023-10-08,4
2023-10-15,3
2023-10-22,5
2023-10-29,4
2023-11-05,4
2023-11-12,3
2023-11-19,8
2023-11-26,7
2023-12-03,9
2023-12-10,12
2023-12-17,18
2023-12-24,22
2023-12-31,34
2024-01-07,42
2024-01-14,65
2024-01-21,80
2024-01-28,86
2024-02-04,100
2024-02-11,90
2024-02-18,85
2024-02-25,74
2024-03-03,60
2024-03-10,50
2024-03-17,53
2024-03-24,35
2024-03-31,33
2024-04-07,25
2024-04-14,28
2024-04-21,26
