Categoria: Todas as categorias

Semana,dengue: (Espírito Santo)
2019-04-21,21
2019-04-28,22
2019-05-05,24
2019-05-12,22
2019-05-19,23
2019-05-26,33
2019-06-02,31
2019-06-09,27
2019-06-16,25
2019-06-23,24
2019-06-30,23
2019-07-07,15
2019-07-14,12
2019-07-21,12
2019-07-28,12
2019-08-04,6
2019-08-11,8
2019-08-18,7
2019-08-25,6
2019-09-01,6
2019-09-08,5
2019-09-15,7
2019-09-22,5
2019-09-29,6
2019-10-06,5
2019-10-13,4
2019-10-20,4
2019-10-27,3
2019-11-03,5
2019-11-10,6
2019-11-17,5
2019-11-24,5
2019-12-01,4
2019-12-08,5
2019-12-15,5
2019-12-22,8
2019-12-29,9
2020-01-05,9
2020-01-12,11
2020-01-19,9
2020-01-26,11
2020-02-02,12
2020-02-09,14
2020-02-16,17
2020-02-23,19
2020-03-01,20
2020-03-08,22
2020-03-15,25
2020-03-22,20
2020-03-29,23
2020-04-05,16
2020-04-12,21
2020-04-19,16
2020-04-26,16
2020-05-03,16
2020-05-10,13
2020-05-17,12
2020-05-24,10
2020-05-31,9
2020-06-07,10
2020-06-14,7
2020-06-21,5
2020-06-28,7
2020-07-05,7
2020-07-12,5
2020-07-19,4
2020-07-26,3
2020-08-02,5
2020-08-09,4
2020-08-16,5
2020-08-23,3
2020-08-30,3
2020-09-06,3
2020-09-13,4
2020-09-20,3
2020-09-27,5
2020-10-04,4
2020-10-11,2
2020-10-18,4
2020-10-25,4
2020-11-01,2
2020-11-08,4
2020-11-15,4
2020-11-22,4
2020-11-29,5
2020-12-06,5
2020-12-13,5
2020-12-20,3
2020-12-27,4
2021-01-03,4
2021-01-10,3
2021-01-17,4
2021-01-24,3
2021-01-31,3
2021-02-07,3
2021-02-14,2
2021-02-21,4
2021-02-28,5
2021-03-07,4
2021-03-14,6
2021-03-21,6
2021-03-28,5
2021-04-04,6
2021-04-11,5
2021-04-18,5
2021-04-25,4
2021-05-02,5
2021-05-09,5
2021-05-16,5
2021-05-23,6
2021-05-30,4
2021-06-06,4
2021-06-13,4
2021-06-20,4
2021-06-27,5
2021-07-04,3
2021-07-11,2
2021-07-18,3
2021-07-25,4
2021-08-01,2
2021-08-08,2
2021-08-15,1
2021-08-22,4
2021-08-29,2
2021-09-05,4
2021-09-12,0
2021-09-19,3
2021-09-26,2
2021-10-03,4
2021-10-10,2
2021-10-17,2
2021-10-24,3
2021-10-31,2
2021-11-07,2
2021-11-14,4
2021-11-21,5
2021-11-28,4
2021-12-05,2
2021-12-12,2
2021-12-19,0
2021-12-26,0
2022-01-02,4
2022-01-09,4
2022-01-16,5
2022-01-23,4
2022-01-30,3
2022-02-06,3
2022-02-13,3
2022-02-20,4
2022-02-27,2
2022-03-06,2
2022-03-13,4
2022-03-20,4
2022-03-27,6
2022-04-03,6
2022-04-10,5
2022-04-17,6
2022-04-24,9
2022-05-01,9
2022-05-08,9
2022-05-15,8
2022-05-22,6
2022-05-29,8
2022-06-05,8
2022-06-12,6
2022-06-19,7
2022-06-26,7
2022-07-03,5
2022-07-10,5
2022-07-17,4
2022-07-24,6
2022-07-31,4
2022-08-07,5
2022-08-14,3
2022-08-21,3
2022-08-28,4
2022-09-04,3
2022-09-11,3
2022-09-18,3
2022-09-25,3
2022-10-02,3
2022-10-09,3
2022-10-16,3
2022-10-23,4
2022-10-30,4
2022-11-06,5
2022-11-13,5
2022-11-20,4
2022-11-27,3
2022-12-04,5
2022-12-11,7
2022-12-18,9
2022-12-25,10
2023-01-01,11
2023-01-08,15
2023-01-15,19
2023-01-22,19
2023-01-29,23
2023-02-05,25
2023-02-12,30
2023-02-19,37
2023-02-26,40
2023-03-05,46
2023-03-12,53
2023-03-19,53
2023-03-26,58
2023-04-02,47
2023-04-09,45
2023-04-16,39
2023-04-23,39
2023-04-30,34
2023-05-07,31
2023-05-14,33
2023-05-21,28
2023-05-28,26
2023-06-04,22
2023-06-11,22
2023-06-18,20
2023-06-25,18
2023-07-02,18
2023-07-09,11
2023-07-16,9
2023-07-23,9
2023-07-30,9
2023-08-06,6
2023-08-13,8
2023-08-20,7
2023-08-27,7
2023-09-03,6
2023-09-10,8
2023-09-17,7
2023-09-24,7
2023-10-01,7
2023-10-08,5
2023-10-15,6
2023-10-22,8
2023-10-29,5
2023-11-05,8
2023-11-12,7
2023-11-19,8
2023-11-26,7
2023-12-03,7
2023-12-10,9
2023-12-17,7
2023-12-24,8
2023-12-31,11
2024-01-07,14
2024-01-14,13
2024-01-21,21
2024-01-28,31
2024-02-04,49
2024-02-11,63
2024-02-18,89
2024-02-25,100
2024-03-03,92
2024-03-10,85
2024-03-17,82
2024-03-24,62
2024-03-31,65
2024-04-07,57
2024-04-14,48
2024-04-21,37
