Categoria: Todas as categorias

Semana,sintomas dengue: (Espírito Santo)
2019-04-21,23
2019-04-28,30
2019-05-05,30
2019-05-12,32
2019-05-19,25
2019-05-26,33
2019-06-02,39
2019-06-09,33
2019-06-16,37
2019-06-23,26
2019-06-30,28
2019-07-07,20
2019-07-14,18
2019-07-21,17
2019-07-28,16
2019-08-04,10
2019-08-11,12
2019-08-18,12
2019-08-25,11
2019-09-01,0
2019-09-08,0
2019-09-15,8
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,11
2019-10-20,7
2019-10-27,0
2019-11-03,8
2019-11-10,0
2019-11-17,0
2019-11-24,8
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,23
2019-12-29,11
2020-01-05,10
2020-01-12,14
2020-01-19,7
2020-01-26,15
2020-02-02,13
2020-02-09,18
2020-02-16,27
2020-02-23,24
2020-03-01,24
2020-03-08,23
2020-03-15,30
2020-03-22,20
2020-03-29,25
2020-04-05,19
2020-04-12,16
2020-04-19,19
2020-04-26,22
2020-05-03,16
2020-05-10,21
2020-05-17,15
2020-05-24,15
2020-05-31,15
2020-06-07,15
2020-06-14,0
2020-06-21,7
2020-06-28,7
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,10
2020-11-15,7
2020-11-22,0
2020-11-29,7
2020-12-06,0
2020-12-13,0
2020-12-20,8
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,15
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,7
2021-03-21,7
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,6
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,8
2021-06-27,0
2021-07-04,0
2021-07-11,9
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,9
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,7
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,5
2022-04-03,7
2022-04-10,7
2022-04-17,6
2022-04-24,7
2022-05-01,13
2022-05-08,8
2022-05-15,0
2022-05-22,0
2022-05-29,11
2022-06-05,7
2022-06-12,11
2022-06-19,0
2022-06-26,8
2022-07-03,7
2022-07-10,6
2022-07-17,7
2022-07-24,8
2022-07-31,7
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,5
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,6
2022-11-27,9
2022-12-04,7
2022-12-11,11
2022-12-18,12
2022-12-25,16
2023-01-01,14
2023-01-08,19
2023-01-15,23
2023-01-22,28
2023-01-29,33
2023-02-05,27
2023-02-12,46
2023-02-19,53
2023-02-26,52
2023-03-05,60
2023-03-12,80
2023-03-19,72
2023-03-26,80
2023-04-02,70
2023-04-09,68
2023-04-16,66
2023-04-23,61
2023-04-30,53
2023-05-07,45
2023-05-14,44
2023-05-21,40
2023-05-28,33
2023-06-04,33
2023-06-11,20
2023-06-18,15
2023-06-25,23
2023-07-02,19
2023-07-09,11
2023-07-16,12
2023-07-23,13
2023-07-30,8
2023-08-06,10
2023-08-13,10
2023-08-20,10
2023-08-27,7
2023-09-03,0
2023-09-10,10
2023-09-17,8
2023-09-24,9
2023-10-01,10
2023-10-08,8
2023-10-15,9
2023-10-22,0
2023-10-29,0
2023-11-05,8
2023-11-12,9
2023-11-19,9
2023-11-26,7
2023-12-03,8
2023-12-10,15
2023-12-17,0
2023-12-24,10
2023-12-31,9
2024-01-07,17
2024-01-14,14
2024-01-21,21
2024-01-28,27
2024-02-04,53
2024-02-11,86
2024-02-18,82
2024-02-25,100
2024-03-03,93
2024-03-10,68
2024-03-17,84
2024-03-24,50
2024-03-31,63
2024-04-07,48
2024-04-14,41
2024-04-21,38
