Categoria: Todas as categorias

Semana,dengue: (Maranhão)
2019-04-21,21
2019-04-28,17
2019-05-05,18
2019-05-12,12
2019-05-19,17
2019-05-26,16
2019-06-02,14
2019-06-09,14
2019-06-16,9
2019-06-23,12
2019-06-30,9
2019-07-07,8
2019-07-14,7
2019-07-21,5
2019-07-28,7
2019-08-04,7
2019-08-11,0
2019-08-18,4
2019-08-25,6
2019-09-01,6
2019-09-08,8
2019-09-15,9
2019-09-22,5
2019-09-29,6
2019-10-06,7
2019-10-13,7
2019-10-20,8
2019-10-27,3
2019-11-03,5
2019-11-10,4
2019-11-17,8
2019-11-24,0
2019-12-01,5
2019-12-08,5
2019-12-15,5
2019-12-22,0
2019-12-29,0
2020-01-05,5
2020-01-12,8
2020-01-19,10
2020-01-26,8
2020-02-02,9
2020-02-09,13
2020-02-16,19
2020-02-23,15
2020-03-01,21
2020-03-08,21
2020-03-15,24
2020-03-22,18
2020-03-29,16
2020-04-05,14
2020-04-12,19
2020-04-19,17
2020-04-26,16
2020-05-03,15
2020-05-10,12
2020-05-17,8
2020-05-24,9
2020-05-31,8
2020-06-07,6
2020-06-14,12
2020-06-21,5
2020-06-28,4
2020-07-05,7
2020-07-12,5
2020-07-19,4
2020-07-26,4
2020-08-02,0
2020-08-09,0
2020-08-16,4
2020-08-23,4
2020-08-30,3
2020-09-06,4
2020-09-13,5
2020-09-20,6
2020-09-27,5
2020-10-04,8
2020-10-11,4
2020-10-18,5
2020-10-25,5
2020-11-01,4
2020-11-08,6
2020-11-15,5
2020-11-22,4
2020-11-29,4
2020-12-06,4
2020-12-13,0
2020-12-20,0
2020-12-27,6
2021-01-03,6
2021-01-10,5
2021-01-17,4
2021-01-24,5
2021-01-31,7
2021-02-07,7
2021-02-14,4
2021-02-21,5
2021-02-28,8
2021-03-07,10
2021-03-14,9
2021-03-21,8
2021-03-28,7
2021-04-04,9
2021-04-11,7
2021-04-18,6
2021-04-25,9
2021-05-02,8
2021-05-09,7
2021-05-16,8
2021-05-23,5
2021-05-30,5
2021-06-06,8
2021-06-13,9
2021-06-20,9
2021-06-27,3
2021-07-04,6
2021-07-11,0
2021-07-18,4
2021-07-25,0
2021-08-01,4
2021-08-08,0
2021-08-15,6
2021-08-22,6
2021-08-29,5
2021-09-05,0
2021-09-12,4
2021-09-19,4
2021-09-26,4
2021-10-03,3
2021-10-10,5
2021-10-17,0
2021-10-24,0
2021-10-31,4
2021-11-07,7
2021-11-14,7
2021-11-21,5
2021-11-28,6
2021-12-05,5
2021-12-12,5
2021-12-19,6
2021-12-26,6
2022-01-02,8
2022-01-09,15
2022-01-16,15
2022-01-23,11
2022-01-30,7
2022-02-06,10
2022-02-13,11
2022-02-20,14
2022-02-27,15
2022-03-06,13
2022-03-13,16
2022-03-20,15
2022-03-27,23
2022-04-03,22
2022-04-10,20
2022-04-17,28
2022-04-24,29
2022-05-01,29
2022-05-08,29
2022-05-15,30
2022-05-22,26
2022-05-29,27
2022-06-05,24
2022-06-12,19
2022-06-19,21
2022-06-26,18
2022-07-03,21
2022-07-10,14
2022-07-17,13
2022-07-24,9
2022-07-31,9
2022-08-07,9
2022-08-14,6
2022-08-21,11
2022-08-28,11
2022-09-04,7
2022-09-11,10
2022-09-18,8
2022-09-25,8
2022-10-02,8
2022-10-09,8
2022-10-16,9
2022-10-23,6
2022-10-30,3
2022-11-06,7
2022-11-13,7
2022-11-20,9
2022-11-27,6
2022-12-04,8
2022-12-11,7
2022-12-18,6
2022-12-25,9
2023-01-01,9
2023-01-08,9
2023-01-15,10
2023-01-22,14
2023-01-29,13
2023-02-05,16
2023-02-12,21
2023-02-19,19
2023-02-26,24
2023-03-05,31
2023-03-12,31
2023-03-19,33
2023-03-26,39
2023-04-02,27
2023-04-09,30
2023-04-16,22
2023-04-23,24
2023-04-30,22
2023-05-07,24
2023-05-14,22
2023-05-21,17
2023-05-28,16
2023-06-04,13
2023-06-11,15
2023-06-18,15
2023-06-25,15
2023-07-02,19
2023-07-09,10
2023-07-16,9
2023-07-23,8
2023-07-30,8
2023-08-06,7
2023-08-13,6
2023-08-20,7
2023-08-27,5
2023-09-03,6
2023-09-10,4
2023-09-17,6
2023-09-24,6
2023-10-01,0
2023-10-08,6
2023-10-15,5
2023-10-22,6
2023-10-29,4
2023-11-05,5
2023-11-12,3
2023-11-19,5
2023-11-26,7
2023-12-03,6
2023-12-10,6
2023-12-17,5
2023-12-24,7
2023-12-31,4
2024-01-07,7
2024-01-14,10
2024-01-21,13
2024-01-28,20
2024-02-04,32
2024-02-11,57
2024-02-18,96
2024-02-25,100
2024-03-03,91
2024-03-10,86
2024-03-17,96
2024-03-24,75
2024-03-31,73
2024-04-07,67
2024-04-14,62
2024-04-21,42
