Categoria: Todas as categorias

Semana,sintomas dengue: (Maranhão)
2019-04-21,19
2019-04-28,0
2019-05-05,26
2019-05-12,24
2019-05-19,17
2019-05-26,0
2019-06-02,20
2019-06-09,0
2019-06-16,0
2019-06-23,17
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,17
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,14
2020-01-19,19
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,19
2020-02-23,19
2020-03-01,16
2020-03-08,28
2020-03-15,20
2020-03-22,21
2020-03-29,18
2020-04-05,17
2020-04-12,23
2020-04-19,21
2020-04-26,25
2020-05-03,28
2020-05-10,17
2020-05-17,13
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,12
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,21
2022-01-16,14
2022-01-23,12
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,13
2022-02-27,15
2022-03-06,10
2022-03-13,11
2022-03-20,18
2022-03-27,23
2022-04-03,18
2022-04-10,30
2022-04-17,35
2022-04-24,27
2022-05-01,32
2022-05-08,26
2022-05-15,32
2022-05-22,31
2022-05-29,26
2022-06-05,22
2022-06-12,25
2022-06-19,26
2022-06-26,22
2022-07-03,23
2022-07-10,20
2022-07-17,10
2022-07-24,10
2022-07-31,15
2022-08-07,11
2022-08-14,0
2022-08-21,13
2022-08-28,0
2022-09-04,0
2022-09-11,12
2022-09-18,0
2022-09-25,9
2022-10-02,0
2022-10-09,9
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,12
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,10
2023-01-08,9
2023-01-15,11
2023-01-22,17
2023-01-29,14
2023-02-05,14
2023-02-12,28
2023-02-19,21
2023-02-26,27
2023-03-05,35
2023-03-12,44
2023-03-19,37
2023-03-26,46
2023-04-02,39
2023-04-09,33
2023-04-16,28
2023-04-23,19
2023-04-30,33
2023-05-07,28
2023-05-14,28
2023-05-21,20
2023-05-28,14
2023-06-04,10
2023-06-11,14
2023-06-18,15
2023-06-25,13
2023-07-02,16
2023-07-09,0
2023-07-16,11
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,13
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,11
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,12
2024-01-21,15
2024-01-28,28
2024-02-04,33
2024-02-11,59
2024-02-18,83
2024-02-25,100
2024-03-03,75
2024-03-10,81
2024-03-17,84
2024-03-24,92
2024-03-31,70
2024-04-07,55
2024-04-14,51
2024-04-21,36
