Categoria: Todas as categorias

Semana,dengue: (Mato Grosso)
2019-04-21,21
2019-04-28,28
2019-05-05,29
2019-05-12,26
2019-05-19,25
2019-05-26,22
2019-06-02,19
2019-06-09,20
2019-06-16,19
2019-06-23,19
2019-06-30,12
2019-07-07,10
2019-07-14,6
2019-07-21,0
2019-07-28,8
2019-08-04,0
2019-08-11,10
2019-08-18,8
2019-08-25,11
2019-09-01,7
2019-09-08,9
2019-09-15,8
2019-09-22,6
2019-09-29,7
2019-10-06,7
2019-10-13,8
2019-10-20,10
2019-10-27,7
2019-11-03,15
2019-11-10,13
2019-11-17,10
2019-11-24,16
2019-12-01,11
2019-12-08,15
2019-12-15,15
2019-12-22,16
2019-12-29,22
2020-01-05,28
2020-01-12,40
2020-01-19,41
2020-01-26,34
2020-02-02,45
2020-02-09,44
2020-02-16,46
2020-02-23,39
2020-03-01,46
2020-03-08,65
2020-03-15,82
2020-03-22,56
2020-03-29,46
2020-04-05,40
2020-04-12,38
2020-04-19,36
2020-04-26,35
2020-05-03,32
2020-05-10,29
2020-05-17,25
2020-05-24,28
2020-05-31,29
2020-06-07,29
2020-06-14,33
2020-06-21,31
2020-06-28,28
2020-07-05,22
2020-07-12,20
2020-07-19,20
2020-07-26,17
2020-08-02,12
2020-08-09,14
2020-08-16,15
2020-08-23,11
2020-08-30,8
2020-09-06,7
2020-09-13,6
2020-09-20,14
2020-09-27,9
2020-10-04,5
2020-10-11,6
2020-10-18,8
2020-10-25,7
2020-11-01,9
2020-11-08,8
2020-11-15,5
2020-11-22,10
2020-11-29,12
2020-12-06,10
2020-12-13,13
2020-12-20,11
2020-12-27,16
2021-01-03,15
2021-01-10,17
2021-01-17,21
2021-01-24,16
2021-01-31,20
2021-02-07,19
2021-02-14,17
2021-02-21,21
2021-02-28,27
2021-03-07,31
2021-03-14,29
2021-03-21,29
2021-03-28,26
2021-04-04,28
2021-04-11,26
2021-04-18,22
2021-04-25,19
2021-05-02,19
2021-05-09,20
2021-05-16,25
2021-05-23,23
2021-05-30,22
2021-06-06,17
2021-06-13,15
2021-06-20,15
2021-06-27,8
2021-07-04,11
2021-07-11,13
2021-07-18,6
2021-07-25,9
2021-08-01,8
2021-08-08,12
2021-08-15,6
2021-08-22,10
2021-08-29,12
2021-09-05,9
2021-09-12,6
2021-09-19,8
2021-09-26,6
2021-10-03,6
2021-10-10,11
2021-10-17,10
2021-10-24,9
2021-10-31,5
2021-11-07,10
2021-11-14,13
2021-11-21,17
2021-11-28,19
2021-12-05,21
2021-12-12,33
2021-12-19,37
2021-12-26,36
2022-01-02,50
2022-01-09,37
2022-01-16,51
2022-01-23,52
2022-01-30,40
2022-02-06,32
2022-02-13,34
2022-02-20,32
2022-02-27,31
2022-03-06,30
2022-03-13,32
2022-03-20,36
2022-03-27,38
2022-04-03,42
2022-04-10,40
2022-04-17,46
2022-04-24,42
2022-05-01,38
2022-05-08,39
2022-05-15,34
2022-05-22,29
2022-05-29,25
2022-06-05,28
2022-06-12,23
2022-06-19,25
2022-06-26,28
2022-07-03,19
2022-07-10,20
2022-07-17,16
2022-07-24,12
2022-07-31,11
2022-08-07,7
2022-08-14,8
2022-08-21,11
2022-08-28,9
2022-09-04,9
2022-09-11,10
2022-09-18,9
2022-09-25,10
2022-10-02,11
2022-10-09,10
2022-10-16,9
2022-10-23,14
2022-10-30,10
2022-11-06,10
2022-11-13,15
2022-11-20,13
2022-11-27,12
2022-12-04,12
2022-12-11,19
2022-12-18,14
2022-12-25,23
2023-01-01,24
2023-01-08,20
2023-01-15,25
2023-01-22,20
2023-01-29,25
2023-02-05,27
2023-02-12,31
2023-02-19,37
2023-02-26,40
2023-03-05,33
2023-03-12,43
2023-03-19,36
2023-03-26,66
2023-04-02,56
2023-04-09,56
2023-04-16,50
2023-04-23,49
2023-04-30,45
2023-05-07,36
2023-05-14,36
2023-05-21,35
2023-05-28,30
2023-06-04,25
2023-06-11,19
2023-06-18,19
2023-06-25,14
2023-07-02,21
2023-07-09,15
2023-07-16,13
2023-07-23,10
2023-07-30,14
2023-08-06,11
2023-08-13,12
2023-08-20,10
2023-08-27,10
2023-09-03,10
2023-09-10,9
2023-09-17,9
2023-09-24,8
2023-10-01,13
2023-10-08,9
2023-10-15,10
2023-10-22,9
2023-10-29,11
2023-11-05,10
2023-11-12,13
2023-11-19,12
2023-11-26,15
2023-12-03,14
2023-12-10,14
2023-12-17,17
2023-12-24,14
2023-12-31,23
2024-01-07,29
2024-01-14,30
2024-01-21,38
2024-01-28,53
2024-02-04,62
2024-02-11,92
2024-02-18,90
2024-02-25,100
2024-03-03,83
2024-03-10,76
2024-03-17,73
2024-03-24,72
2024-03-31,81
2024-04-07,80
2024-04-14,94
2024-04-21,83
