Categoria: Todas as categorias

Semana,dengue: (Paraíba)
2019-04-21,20
2019-04-28,24
2019-05-05,17
2019-05-12,29
2019-05-19,29
2019-05-26,24
2019-06-02,20
2019-06-09,22
2019-06-16,18
2019-06-23,16
2019-06-30,20
2019-07-07,14
2019-07-14,18
2019-07-21,15
2019-07-28,17
2019-08-04,18
2019-08-11,12
2019-08-18,13
2019-08-25,12
2019-09-01,11
2019-09-08,12
2019-09-15,11
2019-09-22,10
2019-09-29,9
2019-10-06,7
2019-10-13,7
2019-10-20,9
2019-10-27,7
2019-11-03,8
2019-11-10,7
2019-11-17,9
2019-11-24,6
2019-12-01,6
2019-12-08,4
2019-12-15,5
2019-12-22,6
2019-12-29,0
2020-01-05,0
2020-01-12,7
2020-01-19,7
2020-01-26,6
2020-02-02,8
2020-02-09,10
2020-02-16,7
2020-02-23,13
2020-03-01,15
2020-03-08,15
2020-03-15,23
2020-03-22,18
2020-03-29,12
2020-04-05,13
2020-04-12,12
2020-04-19,14
2020-04-26,16
2020-05-03,15
2020-05-10,26
2020-05-17,23
2020-05-24,25
2020-05-31,25
2020-06-07,24
2020-06-14,20
2020-06-21,22
2020-06-28,28
2020-07-05,23
2020-07-12,23
2020-07-19,22
2020-07-26,15
2020-08-02,14
2020-08-09,8
2020-08-16,14
2020-08-23,12
2020-08-30,6
2020-09-06,8
2020-09-13,8
2020-09-20,8
2020-09-27,9
2020-10-04,8
2020-10-11,6
2020-10-18,9
2020-10-25,9
2020-11-01,6
2020-11-08,4
2020-11-15,7
2020-11-22,5
2020-11-29,9
2020-12-06,5
2020-12-13,7
2020-12-20,4
2020-12-27,5
2021-01-03,10
2021-01-10,0
2021-01-17,3
2021-01-24,0
2021-01-31,5
2021-02-07,7
2021-02-14,5
2021-02-21,6
2021-02-28,6
2021-03-07,9
2021-03-14,9
2021-03-21,9
2021-03-28,11
2021-04-04,5
2021-04-11,11
2021-04-18,9
2021-04-25,11
2021-05-02,11
2021-05-09,20
2021-05-16,22
2021-05-23,19
2021-05-30,18
2021-06-06,20
2021-06-13,17
2021-06-20,19
2021-06-27,17
2021-07-04,18
2021-07-11,24
2021-07-18,19
2021-07-25,18
2021-08-01,16
2021-08-08,13
2021-08-15,15
2021-08-22,14
2021-08-29,11
2021-09-05,10
2021-09-12,9
2021-09-19,9
2021-09-26,6
2021-10-03,8
2021-10-10,5
2021-10-17,9
2021-10-24,8
2021-10-31,6
2021-11-07,4
2021-11-14,8
2021-11-21,8
2021-11-28,10
2021-12-05,0
2021-12-12,7
2021-12-19,8
2021-12-26,6
2022-01-02,6
2022-01-09,9
2022-01-16,9
2022-01-23,11
2022-01-30,10
2022-02-06,10
2022-02-13,12
2022-02-20,11
2022-02-27,14
2022-03-06,12
2022-03-13,19
2022-03-20,19
2022-03-27,22
2022-04-03,34
2022-04-10,34
2022-04-17,42
2022-04-24,54
2022-05-01,49
2022-05-08,64
2022-05-15,80
2022-05-22,70
2022-05-29,59
2022-06-05,75
2022-06-12,71
2022-06-19,63
2022-06-26,53
2022-07-03,47
2022-07-10,46
2022-07-17,41
2022-07-24,32
2022-07-31,30
2022-08-07,24
2022-08-14,21
2022-08-21,14
2022-08-28,14
2022-09-04,12
2022-09-11,12
2022-09-18,10
2022-09-25,6
2022-10-02,8
2022-10-09,5
2022-10-16,7
2022-10-23,6
2022-10-30,6
2022-11-06,8
2022-11-13,8
2022-11-20,7
2022-11-27,4
2022-12-04,6
2022-12-11,4
2022-12-18,5
2022-12-25,4
2023-01-01,5
2023-01-08,4
2023-01-15,4
2023-01-22,7
2023-01-29,5
2023-02-05,7
2023-02-12,8
2023-02-19,4
2023-02-26,7
2023-03-05,10
2023-03-12,12
2023-03-19,11
2023-03-26,18
2023-04-02,19
2023-04-09,18
2023-04-16,16
2023-04-23,15
2023-04-30,15
2023-05-07,17
2023-05-14,14
2023-05-21,11
2023-05-28,8
2023-06-04,11
2023-06-11,7
2023-06-18,11
2023-06-25,6
2023-07-02,7
2023-07-09,7
2023-07-16,6
2023-07-23,10
2023-07-30,4
2023-08-06,4
2023-08-13,7
2023-08-20,5
2023-08-27,6
2023-09-03,5
2023-09-10,5
2023-09-17,6
2023-09-24,8
2023-10-01,6
2023-10-08,5
2023-10-15,5
2023-10-22,4
2023-10-29,0
2023-11-05,6
2023-11-12,6
2023-11-19,7
2023-11-26,6
2023-12-03,5
2023-12-10,4
2023-12-17,5
2023-12-24,6
2023-12-31,6
2024-01-07,5
2024-01-14,8
2024-01-21,15
2024-01-28,16
2024-02-04,27
2024-02-11,54
2024-02-18,93
2024-02-25,100
2024-03-03,100
2024-03-10,87
2024-03-17,81
2024-03-24,48
2024-03-31,58
2024-04-07,61
2024-04-14,52
2024-04-21,38
