Categoria: Todas as categorias

Semana,dengue: (Piauí)
2019-04-21,17
2019-04-28,19
2019-05-05,9
2019-05-12,14
2019-05-19,18
2019-05-26,13
2019-06-02,12
2019-06-09,18
2019-06-16,8
2019-06-23,8
2019-06-30,10
2019-07-07,6
2019-07-14,0
2019-07-21,8
2019-07-28,7
2019-08-04,0
2019-08-11,4
2019-08-18,0
2019-08-25,4
2019-09-01,5
2019-09-08,4
2019-09-15,4
2019-09-22,4
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,5
2019-11-17,0
2019-11-24,5
2019-12-01,3
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,4
2020-01-19,0
2020-01-26,4
2020-02-02,5
2020-02-09,7
2020-02-16,8
2020-02-23,8
2020-03-01,9
2020-03-08,11
2020-03-15,15
2020-03-22,15
2020-03-29,8
2020-04-05,9
2020-04-12,6
2020-04-19,9
2020-04-26,10
2020-05-03,11
2020-05-10,8
2020-05-17,8
2020-05-24,9
2020-05-31,10
2020-06-07,8
2020-06-14,8
2020-06-21,11
2020-06-28,6
2020-07-05,5
2020-07-12,4
2020-07-19,0
2020-07-26,3
2020-08-02,3
2020-08-09,0
2020-08-16,4
2020-08-23,3
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,3
2020-11-08,4
2020-11-15,0
2020-11-22,4
2020-11-29,4
2020-12-06,4
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,3
2021-01-31,4
2021-02-07,4
2021-02-14,4
2021-02-21,3
2021-02-28,0
2021-03-07,8
2021-03-14,6
2021-03-21,5
2021-03-28,6
2021-04-04,9
2021-04-11,5
2021-04-18,7
2021-04-25,8
2021-05-02,7
2021-05-09,9
2021-05-16,10
2021-05-23,8
2021-05-30,8
2021-06-06,10
2021-06-13,11
2021-06-20,10
2021-06-27,7
2021-07-04,7
2021-07-11,5
2021-07-18,4
2021-07-25,6
2021-08-01,3
2021-08-08,5
2021-08-15,7
2021-08-22,7
2021-08-29,4
2021-09-05,4
2021-09-12,5
2021-09-19,0
2021-09-26,0
2021-10-03,4
2021-10-10,4
2021-10-17,3
2021-10-24,0
2021-10-31,0
2021-11-07,3
2021-11-14,4
2021-11-21,0
2021-11-28,0
2021-12-05,4
2021-12-12,4
2021-12-19,5
2021-12-26,6
2022-01-02,8
2022-01-09,10
2022-01-16,9
2022-01-23,8
2022-01-30,11
2022-02-06,14
2022-02-13,18
2022-02-20,20
2022-02-27,26
2022-03-06,27
2022-03-13,35
2022-03-20,43
2022-03-27,63
2022-04-03,67
2022-04-10,75
2022-04-17,100
2022-04-24,100
2022-05-01,87
2022-05-08,70
2022-05-15,68
2022-05-22,50
2022-05-29,44
2022-06-05,43
2022-06-12,35
2022-06-19,25
2022-06-26,30
2022-07-03,23
2022-07-10,16
2022-07-17,11
2022-07-24,9
2022-07-31,7
2022-08-07,8
2022-08-14,6
2022-08-21,5
2022-08-28,4
2022-09-04,4
2022-09-11,3
2022-09-18,0
2022-09-25,4
2022-10-02,5
2022-10-09,3
2022-10-16,4
2022-10-23,4
2022-10-30,5
2022-11-06,5
2022-11-13,5
2022-11-20,4
2022-11-27,3
2022-12-04,3
2022-12-11,5
2022-12-18,4
2022-12-25,3
2023-01-01,4
2023-01-08,4
2023-01-15,7
2023-01-22,6
2023-01-29,7
2023-02-05,7
2023-02-12,8
2023-02-19,11
2023-02-26,14
2023-03-05,13
2023-03-12,13
2023-03-19,17
2023-03-26,19
2023-04-02,19
2023-04-09,21
2023-04-16,20
2023-04-23,19
2023-04-30,14
2023-05-07,19
2023-05-14,15
2023-05-21,10
2023-05-28,12
2023-06-04,9
2023-06-11,11
2023-06-18,8
2023-06-25,8
2023-07-02,6
2023-07-09,5
2023-07-16,3
2023-07-23,5
2023-07-30,3
2023-08-06,4
2023-08-13,4
2023-08-20,0
2023-08-27,4
2023-09-03,4
2023-09-10,4
2023-09-17,4
2023-09-24,0
2023-10-01,3
2023-10-08,3
2023-10-15,3
2023-10-22,0
2023-10-29,0
2023-11-05,3
2023-11-12,0
2023-11-19,3
2023-11-26,5
2023-12-03,3
2023-12-10,0
2023-12-17,3
2023-12-24,4
2023-12-31,4
2024-01-07,6
2024-01-14,5
2024-01-21,9
2024-01-28,16
2024-02-04,24
2024-02-11,28
2024-02-18,43
2024-02-25,46
2024-03-03,43
2024-03-10,53
2024-03-17,45
2024-03-24,36
2024-03-31,42
2024-04-07,41
2024-04-14,36
2024-04-21,25
