Categoria: Todas as categorias

Semana,sintomas dengue: (Piauí)
2019-04-21,0
2019-04-28,14
2019-05-05,0
2019-05-12,15
2019-05-19,17
2019-05-26,12
2019-06-02,15
2019-06-09,20
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,11
2020-02-09,0
2020-02-16,15
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,13
2020-03-22,16
2020-03-29,10
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,10
2020-05-03,12
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,13
2020-06-07,0
2020-06-14,13
2020-06-21,13
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,10
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,13
2021-04-04,12
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,10
2021-05-23,0
2021-05-30,9
2021-06-06,10
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,13
2022-01-23,0
2022-01-30,13
2022-02-06,25
2022-02-13,17
2022-02-20,20
2022-02-27,26
2022-03-06,24
2022-03-13,38
2022-03-20,48
2022-03-27,55
2022-04-03,72
2022-04-10,70
2022-04-17,100
2022-04-24,89
2022-05-01,85
2022-05-08,68
2022-05-15,66
2022-05-22,49
2022-05-29,48
2022-06-05,41
2022-06-12,37
2022-06-19,28
2022-06-26,30
2022-07-03,33
2022-07-10,17
2022-07-17,11
2022-07-24,0
2022-07-31,10
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,11
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,8
2023-02-26,13
2023-03-05,9
2023-03-12,10
2023-03-19,18
2023-03-26,20
2023-04-02,24
2023-04-09,26
2023-04-16,26
2023-04-23,17
2023-04-30,15
2023-05-07,16
2023-05-14,12
2023-05-21,9
2023-05-28,8
2023-06-04,10
2023-06-11,8
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,10
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,11
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,0
2024-02-04,22
2024-02-11,15
2024-02-18,27
2024-02-25,37
2024-03-03,32
2024-03-10,42
2024-03-17,36
2024-03-24,27
2024-03-31,31
2024-04-07,27
2024-04-14,26
2024-04-21,24
