Categoria: Todas as categorias

Semana,sintomas dengue: (Paraná)
2019-04-21,17
2019-04-28,16
2019-05-05,22
2019-05-12,17
2019-05-19,15
2019-05-26,13
2019-06-02,10
2019-06-09,11
2019-06-16,10
2019-06-23,8
2019-06-30,6
2019-07-07,4
2019-07-14,2
2019-07-21,4
2019-07-28,3
2019-08-04,3
2019-08-11,2
2019-08-18,0
2019-08-25,4
2019-09-01,4
2019-09-08,3
2019-09-15,2
2019-09-22,4
2019-09-29,3
2019-10-06,3
2019-10-13,4
2019-10-20,4
2019-10-27,6
2019-11-03,4
2019-11-10,4
2019-11-17,5
2019-11-24,6
2019-12-01,6
2019-12-08,7
2019-12-15,8
2019-12-22,11
2019-12-29,11
2020-01-05,13
2020-01-12,20
2020-01-19,25
2020-01-26,33
2020-02-02,36
2020-02-09,58
2020-02-16,71
2020-02-23,69
2020-03-01,70
2020-03-08,75
2020-03-15,75
2020-03-22,53
2020-03-29,45
2020-04-05,36
2020-04-12,30
2020-04-19,26
2020-04-26,25
2020-05-03,17
2020-05-10,14
2020-05-17,16
2020-05-24,10
2020-05-31,8
2020-06-07,9
2020-06-14,9
2020-06-21,13
2020-06-28,6
2020-07-05,6
2020-07-12,6
2020-07-19,8
2020-07-26,3
2020-08-02,5
2020-08-09,4
2020-08-16,3
2020-08-23,3
2020-08-30,3
2020-09-06,3
2020-09-13,5
2020-09-20,2
2020-09-27,3
2020-10-04,3
2020-10-11,3
2020-10-18,4
2020-10-25,5
2020-11-01,5
2020-11-08,4
2020-11-15,4
2020-11-22,6
2020-11-29,5
2020-12-06,7
2020-12-13,5
2020-12-20,7
2020-12-27,10
2021-01-03,8
2021-01-10,7
2021-01-17,6
2021-01-24,8
2021-01-31,10
2021-02-07,11
2021-02-14,10
2021-02-21,12
2021-02-28,9
2021-03-07,14
2021-03-14,15
2021-03-21,13
2021-03-28,11
2021-04-04,14
2021-04-11,12
2021-04-18,11
2021-04-25,12
2021-05-02,9
2021-05-09,7
2021-05-16,10
2021-05-23,8
2021-05-30,6
2021-06-06,6
2021-06-13,2
2021-06-20,3
2021-06-27,2
2021-07-04,4
2021-07-11,3
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,2
2021-08-15,2
2021-08-22,2
2021-08-29,0
2021-09-05,2
2021-09-12,3
2021-09-19,0
2021-09-26,2
2021-10-03,2
2021-10-10,0
2021-10-17,0
2021-10-24,3
2021-10-31,3
2021-11-07,3
2021-11-14,0
2021-11-21,3
2021-11-28,0
2021-12-05,2
2021-12-12,2
2021-12-19,0
2021-12-26,4
2022-01-02,7
2022-01-09,7
2022-01-16,12
2022-01-23,9
2022-01-30,8
2022-02-06,6
2022-02-13,6
2022-02-20,8
2022-02-27,11
2022-03-06,15
2022-03-13,23
2022-03-20,24
2022-03-27,32
2022-04-03,35
2022-04-10,38
2022-04-17,51
2022-04-24,56
2022-05-01,49
2022-05-08,51
2022-05-15,33
2022-05-22,35
2022-05-29,22
2022-06-05,19
2022-06-12,15
2022-06-19,15
2022-06-26,13
2022-07-03,11
2022-07-10,9
2022-07-17,10
2022-07-24,9
2022-07-31,7
2022-08-07,5
2022-08-14,4
2022-08-21,5
2022-08-28,5
2022-09-04,3
2022-09-11,5
2022-09-18,4
2022-09-25,3
2022-10-02,4
2022-10-09,3
2022-10-16,4
2022-10-23,7
2022-10-30,5
2022-11-06,5
2022-11-13,6
2022-11-20,7
2022-11-27,7
2022-12-04,7
2022-12-11,7
2022-12-18,6
2022-12-25,8
2023-01-01,7
2023-01-08,4
2023-01-15,5
2023-01-22,6
2023-01-29,7
2023-02-05,7
2023-02-12,9
2023-02-19,11
2023-02-26,12
2023-03-05,15
2023-03-12,22
2023-03-19,34
2023-03-26,40
2023-04-02,45
2023-04-09,45
2023-04-16,40
2023-04-23,44
2023-04-30,42
2023-05-07,37
2023-05-14,32
2023-05-21,30
2023-05-28,17
2023-06-04,15
2023-06-11,11
2023-06-18,10
2023-06-25,8
2023-07-02,7
2023-07-09,5
2023-07-16,4
2023-07-23,4
2023-07-30,6
2023-08-06,3
2023-08-13,5
2023-08-20,6
2023-08-27,4
2023-09-03,2
2023-09-10,4
2023-09-17,5
2023-09-24,5
2023-10-01,6
2023-10-08,4
2023-10-15,7
2023-10-22,5
2023-10-29,4
2023-11-05,7
2023-11-12,5
2023-11-19,5
2023-11-26,7
2023-12-03,7
2023-12-10,9
2023-12-17,10
2023-12-24,14
2023-12-31,16
2024-01-07,22
2024-01-14,21
2024-01-21,27
2024-01-28,34
2024-02-04,54
2024-02-11,65
2024-02-18,76
2024-02-25,96
2024-03-03,94
2024-03-10,94
2024-03-17,91
2024-03-24,85
2024-03-31,100
2024-04-07,80
2024-04-14,70
2024-04-21,74
