Categoria: Todas as categorias

Semana,sintomas dengue: (Rio de Janeiro)
2019-04-21,16
2019-04-28,15
2019-05-05,12
2019-05-12,12
2019-05-19,11
2019-05-26,11
2019-06-02,9
2019-06-09,7
2019-06-16,7
2019-06-23,8
2019-06-30,6
2019-07-07,4
2019-07-14,2
2019-07-21,2
2019-07-28,2
2019-08-04,2
2019-08-11,2
2019-08-18,2
2019-08-25,3
2019-09-01,1
2019-09-08,3
2019-09-15,2
2019-09-22,2
2019-09-29,1
2019-10-06,1
2019-10-13,2
2019-10-20,2
2019-10-27,2
2019-11-03,2
2019-11-10,2
2019-11-17,2
2019-11-24,1
2019-12-01,3
2019-12-08,3
2019-12-15,2
2019-12-22,3
2019-12-29,3
2020-01-05,3
2020-01-12,3
2020-01-19,2
2020-01-26,3
2020-02-02,3
2020-02-09,4
2020-02-16,6
2020-02-23,5
2020-03-01,4
2020-03-08,5
2020-03-15,7
2020-03-22,5
2020-03-29,4
2020-04-05,3
2020-04-12,5
2020-04-19,6
2020-04-26,6
2020-05-03,4
2020-05-10,3
2020-05-17,2
2020-05-24,1
2020-05-31,2
2020-06-07,1
2020-06-14,3
2020-06-21,1
2020-06-28,0
2020-07-05,2
2020-07-12,1
2020-07-19,1
2020-07-26,1
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,1
2020-09-06,2
2020-09-13,2
2020-09-20,1
2020-09-27,0
2020-10-04,2
2020-10-11,2
2020-10-18,2
2020-10-25,0
2020-11-01,1
2020-11-08,2
2020-11-15,2
2020-11-22,2
2020-11-29,3
2020-12-06,2
2020-12-13,3
2020-12-20,2
2020-12-27,2
2021-01-03,2
2021-01-10,3
2021-01-17,2
2021-01-24,1
2021-01-31,2
2021-02-07,1
2021-02-14,2
2021-02-21,1
2021-02-28,3
2021-03-07,2
2021-03-14,3
2021-03-21,3
2021-03-28,4
2021-04-04,3
2021-04-11,3
2021-04-18,3
2021-04-25,2
2021-05-02,2
2021-05-09,2
2021-05-16,2
2021-05-23,3
2021-05-30,2
2021-06-06,2
2021-06-13,1
2021-06-20,2
2021-06-27,1
2021-07-04,1
2021-07-11,0
2021-07-18,1
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,1
2021-08-22,1
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,1
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,1
2021-11-21,0
2021-11-28,2
2021-12-05,2
2021-12-12,2
2021-12-19,0
2021-12-26,0
2022-01-02,3
2022-01-09,3
2022-01-16,3
2022-01-23,2
2022-01-30,2
2022-02-06,1
2022-02-13,1
2022-02-20,2
2022-02-27,3
2022-03-06,2
2022-03-13,2
2022-03-20,2
2022-03-27,2
2022-04-03,4
2022-04-10,4
2022-04-17,5
2022-04-24,6
2022-05-01,8
2022-05-08,10
2022-05-15,10
2022-05-22,7
2022-05-29,6
2022-06-05,5
2022-06-12,5
2022-06-19,5
2022-06-26,4
2022-07-03,4
2022-07-10,3
2022-07-17,2
2022-07-24,3
2022-07-31,1
2022-08-07,1
2022-08-14,2
2022-08-21,2
2022-08-28,1
2022-09-04,1
2022-09-11,1
2022-09-18,2
2022-09-25,1
2022-10-02,1
2022-10-09,3
2022-10-16,2
2022-10-23,4
2022-10-30,3
2022-11-06,3
2022-11-13,3
2022-11-20,2
2022-11-27,2
2022-12-04,3
2022-12-11,3
2022-12-18,2
2022-12-25,4
2023-01-01,3
2023-01-08,3
2023-01-15,5
2023-01-22,4
2023-01-29,5
2023-02-05,5
2023-02-12,6
2023-02-19,7
2023-02-26,8
2023-03-05,11
2023-03-12,12
2023-03-19,13
2023-03-26,17
2023-04-02,14
2023-04-09,12
2023-04-16,12
2023-04-23,12
2023-04-30,13
2023-05-07,11
2023-05-14,11
2023-05-21,10
2023-05-28,8
2023-06-04,7
2023-06-11,7
2023-06-18,6
2023-06-25,7
2023-07-02,5
2023-07-09,5
2023-07-16,4
2023-07-23,5
2023-07-30,3
2023-08-06,3
2023-08-13,3
2023-08-20,3
2023-08-27,2
2023-09-03,4
2023-09-10,3
2023-09-17,3
2023-09-24,5
2023-10-01,4
2023-10-08,6
2023-10-15,6
2023-10-22,5
2023-10-29,4
2023-11-05,5
2023-11-12,5
2023-11-19,6
2023-11-26,8
2023-12-03,9
2023-12-10,12
2023-12-17,9
2023-12-24,12
2023-12-31,14
2024-01-07,17
2024-01-14,20
2024-01-21,23
2024-01-28,37
2024-02-04,71
2024-02-11,94
2024-02-18,100
2024-02-25,87
2024-03-03,69
2024-03-10,59
2024-03-17,51
2024-03-24,36
2024-03-31,36
2024-04-07,37
2024-04-14,27
2024-04-21,23
