Categoria: Todas as categorias

Semana,dengue: (Rondônia)
2019-04-21,9
2019-04-28,10
2019-05-05,0
2019-05-12,0
2019-05-19,0
2019-05-26,0
2019-06-02,0
2019-06-09,0
2019-06-16,10
2019-06-23,13
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,11
2019-08-04,9
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,11
2019-11-03,14
2019-11-10,14
2019-11-17,8
2019-11-24,14
2019-12-01,10
2019-12-08,0
2019-12-15,13
2019-12-22,12
2019-12-29,13
2020-01-05,13
2020-01-12,18
2020-01-19,16
2020-01-26,11
2020-02-02,16
2020-02-09,26
2020-02-16,19
2020-02-23,21
2020-03-01,27
2020-03-08,33
2020-03-15,41
2020-03-22,39
2020-03-29,21
2020-04-05,20
2020-04-12,17
2020-04-19,14
2020-04-26,16
2020-05-03,25
2020-05-10,17
2020-05-17,24
2020-05-24,22
2020-05-31,19
2020-06-07,22
2020-06-14,18
2020-06-21,16
2020-06-28,13
2020-07-05,18
2020-07-12,7
2020-07-19,10
2020-07-26,8
2020-08-02,10
2020-08-09,11
2020-08-16,9
2020-08-23,8
2020-08-30,8
2020-09-06,8
2020-09-13,7
2020-09-20,0
2020-09-27,9
2020-10-04,7
2020-10-11,0
2020-10-18,11
2020-10-25,0
2020-11-01,0
2020-11-08,7
2020-11-15,11
2020-11-22,12
2020-11-29,7
2020-12-06,15
2020-12-13,12
2020-12-20,12
2020-12-27,14
2021-01-03,16
2021-01-10,13
2021-01-17,15
2021-01-24,19
2021-01-31,15
2021-02-07,20
2021-02-14,14
2021-02-21,22
2021-02-28,20
2021-03-07,29
2021-03-14,23
2021-03-21,22
2021-03-28,21
2021-04-04,20
2021-04-11,19
2021-04-18,14
2021-04-25,13
2021-05-02,13
2021-05-09,11
2021-05-16,13
2021-05-23,17
2021-05-30,11
2021-06-06,10
2021-06-13,12
2021-06-20,12
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,7
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,10
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,14
2021-11-14,0
2021-11-21,11
2021-11-28,0
2021-12-05,0
2021-12-12,12
2021-12-19,14
2021-12-26,15
2022-01-02,21
2022-01-09,21
2022-01-16,31
2022-01-23,26
2022-01-30,24
2022-02-06,28
2022-02-13,25
2022-02-20,21
2022-02-27,28
2022-03-06,25
2022-03-13,31
2022-03-20,41
2022-03-27,40
2022-04-03,33
2022-04-10,39
2022-04-17,30
2022-04-24,40
2022-05-01,29
2022-05-08,33
2022-05-15,36
2022-05-22,32
2022-05-29,25
2022-06-05,28
2022-06-12,28
2022-06-19,25
2022-06-26,27
2022-07-03,20
2022-07-10,20
2022-07-17,17
2022-07-24,15
2022-07-31,11
2022-08-07,10
2022-08-14,9
2022-08-21,11
2022-08-28,13
2022-09-04,0
2022-09-11,7
2022-09-18,6
2022-09-25,6
2022-10-02,9
2022-10-09,14
2022-10-16,14
2022-10-23,9
2022-10-30,16
2022-11-06,15
2022-11-13,22
2022-11-20,19
2022-11-27,30
2022-12-04,23
2022-12-11,33
2022-12-18,38
2022-12-25,41
2023-01-01,46
2023-01-08,47
2023-01-15,48
2023-01-22,46
2023-01-29,44
2023-02-05,42
2023-02-12,56
2023-02-19,43
2023-02-26,54
2023-03-05,51
2023-03-12,54
2023-03-19,49
2023-03-26,40
2023-04-02,37
2023-04-09,27
2023-04-16,31
2023-04-23,22
2023-04-30,23
2023-05-07,18
2023-05-14,19
2023-05-21,16
2023-05-28,17
2023-06-04,12
2023-06-11,13
2023-06-18,11
2023-06-25,9
2023-07-02,12
2023-07-09,7
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,10
2023-08-20,0
2023-08-27,7
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,9
2023-10-01,0
2023-10-08,0
2023-10-15,8
2023-10-22,12
2023-10-29,0
2023-11-05,7
2023-11-12,7
2023-11-19,0
2023-11-26,12
2023-12-03,12
2023-12-10,12
2023-12-17,19
2023-12-24,20
2023-12-31,19
2024-01-07,23
2024-01-14,29
2024-01-21,33
2024-01-28,45
2024-02-04,70
2024-02-11,88
2024-02-18,100
2024-02-25,98
2024-03-03,86
2024-03-10,80
2024-03-17,65
2024-03-24,59
2024-03-31,56
2024-04-07,44
2024-04-14,41
2024-04-21,34
