Categoria: Todas as categorias

Semana,sintomas dengue: (São Paulo)
2019-04-21,28
2019-04-28,28
2019-05-05,27
2019-05-12,28
2019-05-19,25
2019-05-26,22
2019-06-02,16
2019-06-09,16
2019-06-16,15
2019-06-23,14
2019-06-30,9
2019-07-07,4
2019-07-14,4
2019-07-21,5
2019-07-28,4
2019-08-04,3
2019-08-11,4
2019-08-18,3
2019-08-25,3
2019-09-01,3
2019-09-08,4
2019-09-15,4
2019-09-22,3
2019-09-29,4
2019-10-06,3
2019-10-13,3
2019-10-20,4
2019-10-27,3
2019-11-03,4
2019-11-10,3
2019-11-17,4
2019-11-24,3
2019-12-01,4
2019-12-08,3
2019-12-15,4
2019-12-22,5
2019-12-29,6
2020-01-05,6
2020-01-12,7
2020-01-19,9
2020-01-26,9
2020-02-02,11
2020-02-09,13
2020-02-16,16
2020-02-23,15
2020-03-01,14
2020-03-08,17
2020-03-15,19
2020-03-22,14
2020-03-29,12
2020-04-05,9
2020-04-12,9
2020-04-19,9
2020-04-26,9
2020-05-03,7
2020-05-10,6
2020-05-17,6
2020-05-24,5
2020-05-31,4
2020-06-07,5
2020-06-14,5
2020-06-21,5
2020-06-28,3
2020-07-05,4
2020-07-12,3
2020-07-19,3
2020-07-26,3
2020-08-02,3
2020-08-09,3
2020-08-16,2
2020-08-23,1
2020-08-30,2
2020-09-06,2
2020-09-13,2
2020-09-20,2
2020-09-27,2
2020-10-04,2
2020-10-11,2
2020-10-18,2
2020-10-25,2
2020-11-01,2
2020-11-08,2
2020-11-15,2
2020-11-22,2
2020-11-29,3
2020-12-06,3
2020-12-13,3
2020-12-20,4
2020-12-27,5
2021-01-03,6
2021-01-10,6
2021-01-17,6
2021-01-24,6
2021-01-31,6
2021-02-07,7
2021-02-14,8
2021-02-21,9
2021-02-28,11
2021-03-07,12
2021-03-14,13
2021-03-21,14
2021-03-28,16
2021-04-04,14
2021-04-11,13
2021-04-18,12
2021-04-25,11
2021-05-02,10
2021-05-09,10
2021-05-16,8
2021-05-23,8
2021-05-30,7
2021-06-06,6
2021-06-13,4
2021-06-20,4
2021-06-27,3
2021-07-04,2
2021-07-11,2
2021-07-18,2
2021-07-25,2
2021-08-01,1
2021-08-08,1
2021-08-15,2
2021-08-22,2
2021-08-29,2
2021-09-05,1
2021-09-12,2
2021-09-19,2
2021-09-26,2
2021-10-03,2
2021-10-10,2
2021-10-17,1
2021-10-24,1
2021-10-31,2
2021-11-07,2
2021-11-14,2
2021-11-21,2
2021-11-28,2
2021-12-05,2
2021-12-12,3
2021-12-19,3
2021-12-26,3
2022-01-02,8
2022-01-09,9
2022-01-16,10
2022-01-23,7
2022-01-30,5
2022-02-06,5
2022-02-13,5
2022-02-20,5
2022-02-27,6
2022-03-06,7
2022-03-13,9
2022-03-20,11
2022-03-27,14
2022-04-03,18
2022-04-10,21
2022-04-17,22
2022-04-24,29
2022-05-01,27
2022-05-08,29
2022-05-15,20
2022-05-22,20
2022-05-29,18
2022-06-05,15
2022-06-12,12
2022-06-19,11
2022-06-26,10
2022-07-03,8
2022-07-10,7
2022-07-17,6
2022-07-24,4
2022-07-31,5
2022-08-07,3
2022-08-14,4
2022-08-21,3
2022-08-28,4
2022-09-04,3
2022-09-11,3
2022-09-18,4
2022-09-25,3
2022-10-02,3
2022-10-09,4
2022-10-16,4
2022-10-23,4
2022-10-30,3
2022-11-06,3
2022-11-13,4
2022-11-20,4
2022-11-27,4
2022-12-04,4
2022-12-11,5
2022-12-18,5
2022-12-25,7
2023-01-01,6
2023-01-08,5
2023-01-15,7
2023-01-22,7
2023-01-29,7
2023-02-05,8
2023-02-12,10
2023-02-19,12
2023-02-26,13
2023-03-05,16
2023-03-12,18
2023-03-19,22
2023-03-26,27
2023-04-02,22
2023-04-09,24
2023-04-16,20
2023-04-23,20
2023-04-30,21
2023-05-07,20
2023-05-14,17
2023-05-21,16
2023-05-28,9
2023-06-04,9
2023-06-11,7
2023-06-18,6
2023-06-25,6
2023-07-02,5
2023-07-09,4
2023-07-16,3
2023-07-23,4
2023-07-30,3
2023-08-06,3
2023-08-13,3
2023-08-20,4
2023-08-27,3
2023-09-03,3
2023-09-10,3
2023-09-17,4
2023-09-24,4
2023-10-01,4
2023-10-08,4
2023-10-15,5
2023-10-22,5
2023-10-29,4
2023-11-05,4
2023-11-12,4
2023-11-19,5
2023-11-26,5
2023-12-03,5
2023-12-10,6
2023-12-17,6
2023-12-24,7
2023-12-31,9
2024-01-07,11
2024-01-14,13
2024-01-21,17
2024-01-28,33
2024-02-04,63
2024-02-11,77
2024-02-18,81
2024-02-25,87
2024-03-03,85
2024-03-10,84
2024-03-17,80
2024-03-24,81
2024-03-31,92
2024-04-07,100
2024-04-14,92
2024-04-21,94
