Categoria: Todas as categorias

Semana,dengue: (Goiás),sintomas dengue: (Goiás),tratamento dengue: (Goiás)
2019-04-28,32,8,1
2019-05-05,34,8,0
2019-05-12,31,8,0
2019-05-19,32,8,0
2019-05-26,27,6,0
2019-06-02,26,6,0
2019-06-09,21,6,0
2019-06-16,17,3,0
2019-06-23,14,4,0
2019-06-30,11,2,0
2019-07-07,7,1,0
2019-07-14,7,1,0
2019-07-21,5,1,0
2019-07-28,5,2,0
2019-08-04,5,1,0
2019-08-11,5,2,0
2019-08-18,5,1,0
2019-08-25,5,1,0
2019-09-01,5,1,0
2019-09-08,5,1,0
2019-09-15,5,2,0
2019-09-22,5,1,0
2019-09-29,5,1,0
2019-10-06,5,1,0
2019-10-13,5,1,0
2019-10-20,5,2,0
2019-10-27,4,1,0
2019-11-03,5,1,0
2019-11-10,5,1,0
2019-11-17,5,1,0
2019-11-24,6,2,0
2019-12-01,6,2,0
2019-12-08,8,2,0
2019-12-15,7,2,0
2019-12-22,7,2,0
2019-12-29,8,2,0
2020-01-05,7,2,0
2020-01-12,11,3,0
2020-01-19,10,3,0
2020-01-26,11,2,0
2020-02-02,13,3,0
2020-02-09,15,3,0
2020-02-16,15,4,0
2020-02-23,18,4,0
2020-03-01,20,4,0
2020-03-08,23,5,0
2020-03-15,27,7,0
2020-03-22,22,5,0
2020-03-29,20,4,0
2020-04-05,18,4,0
2020-04-12,19,4,0
2020-04-19,16,4,0
2020-04-26,17,4,0
2020-05-03,15,4,1
2020-05-10,13,3,0
2020-05-17,13,4,0
2020-05-24,10,3,0
2020-05-31,12,3,0
2020-06-07,13,4,0
2020-06-14,11,2,0
2020-06-21,10,3,0
2020-06-28,10,3,0
2020-07-05,9,3,0
2020-07-12,8,2,0
2020-07-19,7,2,0
2020-07-26,7,3,0
2020-08-02,5,2,0
2020-08-09,5,2,0
2020-08-16,5,1,0
2020-08-23,5,2,0
2020-08-30,4,1,1
2020-09-06,3,1,0
2020-09-13,4,1,0
2020-09-20,4,0,0
2020-09-27,5,0,0
2020-10-04,3,1,0
