Categoria: Todas as categorias

Semana,dengue: (Alagoas)
2019-04-28,15
2019-05-05,23
2019-05-12,41
2019-05-19,54
2019-05-26,48
2019-06-02,44
2019-06-09,28
2019-06-16,29
2019-06-23,37
2019-06-30,25
2019-07-07,28
2019-07-14,35
2019-07-21,35
2019-07-28,28
2019-08-04,27
2019-08-11,29
2019-08-18,26
2019-08-25,23
2019-09-01,24
2019-09-08,23
2019-09-15,19
2019-09-22,14
2019-09-29,10
2019-10-06,8
2019-10-13,12
2019-10-20,10
2019-10-27,10
2019-11-03,7
2019-11-10,9
2019-11-17,6
2019-11-24,8
2019-12-01,8
2019-12-08,7
2019-12-15,8
2019-12-22,7
2019-12-29,0
2020-01-05,5
2020-01-12,6
2020-01-19,0
2020-01-26,5
2020-02-02,8
2020-02-09,9
2020-02-16,13
2020-02-23,9
2020-03-01,5
2020-03-08,12
2020-03-15,18
2020-03-22,13
2020-03-29,15
2020-04-05,16
2020-04-12,17
2020-04-19,15
2020-04-26,24
2020-05-03,21
2020-05-10,27
2020-05-17,24
2020-05-24,26
2020-05-31,28
2020-06-07,19
2020-06-14,15
2020-06-21,15
2020-06-28,12
2020-07-05,15
2020-07-12,13
2020-07-19,13
2020-07-26,9
2020-08-02,12
2020-08-09,8
2020-08-16,10
2020-08-23,10
2020-08-30,8
2020-09-06,7
2020-09-13,6
2020-09-20,5
2020-09-27,5
2020-10-04,5
2020-10-11,6
2020-10-18,6
2020-10-25,4
2020-11-01,8
2020-11-08,6
2020-11-15,4
2020-11-22,6
2020-11-29,6
2020-12-06,5
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,5
2021-01-10,0
2021-01-17,6
2021-01-24,0
2021-01-31,0
2021-02-07,4
2021-02-14,0
2021-02-21,0
2021-02-28,5
2021-03-07,6
2021-03-14,6
2021-03-21,7
2021-03-28,7
2021-04-04,6
2021-04-11,7
2021-04-18,7
2021-04-25,9
2021-05-02,9
2021-05-09,15
2021-05-16,14
2021-05-23,15
2021-05-30,19
2021-06-06,16
2021-06-13,19
2021-06-20,12
2021-06-27,14
2021-07-04,19
2021-07-11,20
2021-07-18,22
2021-07-25,22
2021-08-01,23
2021-08-08,20
2021-08-15,23
2021-08-22,17
2021-08-29,21
2021-09-05,15
2021-09-12,12
2021-09-19,18
2021-09-26,15
2021-10-03,13
2021-10-10,5
2021-10-17,11
2021-10-24,15
2021-10-31,9
2021-11-07,11
2021-11-14,8
2021-11-21,10
2021-11-28,5
2021-12-05,0
2021-12-12,8
2021-12-19,6
2021-12-26,7
2022-01-02,15
2022-01-09,11
2022-01-16,9
2022-01-23,6
2022-01-30,8
2022-02-06,7
2022-02-13,7
2022-02-20,7
2022-02-27,6
2022-03-06,7
2022-03-13,10
2022-03-20,16
2022-03-27,16
2022-04-03,21
2022-04-10,19
2022-04-17,28
2022-04-24,45
2022-05-01,49
2022-05-08,86
2022-05-15,91
2022-05-22,93
2022-05-29,94
2022-06-05,84
2022-06-12,84
2022-06-19,100
2022-06-26,86
2022-07-03,68
2022-07-10,64
2022-07-17,59
2022-07-24,43
2022-07-31,33
2022-08-07,31
2022-08-14,29
2022-08-21,24
2022-08-28,18
2022-09-04,13
2022-09-11,16
2022-09-18,15
2022-09-25,12
2022-10-02,9
2022-10-09,8
2022-10-16,10
2022-10-23,10
2022-10-30,6
2022-11-06,9
2022-11-13,8
2022-11-20,8
2022-11-27,9
2022-12-04,6
2022-12-11,9
2022-12-18,7
2022-12-25,6
2023-01-01,8
2023-01-08,5
2023-01-15,11
2023-01-22,4
2023-01-29,0
2023-02-05,0
2023-02-12,7
2023-02-19,5
2023-02-26,8
2023-03-05,8
2023-03-12,8
2023-03-19,14
2023-03-26,14
2023-04-02,14
2023-04-09,15
2023-04-16,10
2023-04-23,12
2023-04-30,13
2023-05-07,12
2023-05-14,14
2023-05-21,14
2023-05-28,18
2023-06-04,11
2023-06-11,14
2023-06-18,12
2023-06-25,10
2023-07-02,17
2023-07-09,14
2023-07-16,12
2023-07-23,10
2023-07-30,9
2023-08-06,9
2023-08-13,8
2023-08-20,5
2023-08-27,8
2023-09-03,8
2023-09-10,9
2023-09-17,7
2023-09-24,6
2023-10-01,6
2023-10-08,6
2023-10-15,9
2023-10-22,6
2023-10-29,7
2023-11-05,7
2023-11-12,8
2023-11-19,10
2023-11-26,6
2023-12-03,6
2023-12-10,8
2023-12-17,7
2023-12-24,0
2023-12-31,8
2024-01-07,6
2024-01-14,6
2024-01-21,9
2024-01-28,21
2024-02-04,21
2024-02-11,37
2024-02-18,91
2024-02-25,85
2024-03-03,85
2024-03-10,96
2024-03-17,90
2024-03-24,57
2024-03-31,63
2024-04-07,72
2024-04-14,57
2024-04-21,63
2024-04-28,45
