Categoria: Todas as categorias

Semana,sintomas dengue: (Bahia)
2019-04-28,17
2019-05-05,15
2019-05-12,19
2019-05-19,19
2019-05-26,17
2019-06-02,16
2019-06-09,16
2019-06-16,19
2019-06-23,14
2019-06-30,16
2019-07-07,11
2019-07-14,13
2019-07-21,9
2019-07-28,8
2019-08-04,9
2019-08-11,10
2019-08-18,5
2019-08-25,6
2019-09-01,9
2019-09-08,6
2019-09-15,6
2019-09-22,7
2019-09-29,5
2019-10-06,4
2019-10-13,4
2019-10-20,4
2019-10-27,4
2019-11-03,5
2019-11-10,7
2019-11-17,5
2019-11-24,0
2019-12-01,3
2019-12-08,4
2019-12-15,3
2019-12-22,5
2019-12-29,3
2020-01-05,5
2020-01-12,7
2020-01-19,6
2020-01-26,5
2020-02-02,8
2020-02-09,8
2020-02-16,12
2020-02-23,10
2020-03-01,15
2020-03-08,17
2020-03-15,26
2020-03-22,16
2020-03-29,20
2020-04-05,21
2020-04-12,25
2020-04-19,28
2020-04-26,33
2020-05-03,33
2020-05-10,38
2020-05-17,44
2020-05-24,44
2020-05-31,43
2020-06-07,35
2020-06-14,34
2020-06-21,29
2020-06-28,22
2020-07-05,23
2020-07-12,17
2020-07-19,12
2020-07-26,9
2020-08-02,8
2020-08-09,8
2020-08-16,9
2020-08-23,7
2020-08-30,5
2020-09-06,5
2020-09-13,4
2020-09-20,4
2020-09-27,4
2020-10-04,2
2020-10-11,0
2020-10-18,2
2020-10-25,3
2020-11-01,2
2020-11-08,3
2020-11-15,3
2020-11-22,6
2020-11-29,4
2020-12-06,7
2020-12-13,4
2020-12-20,4
2020-12-27,5
2021-01-03,5
2021-01-10,2
2021-01-17,5
2021-01-24,4
2021-01-31,4
2021-02-07,4
2021-02-14,5
2021-02-21,6
2021-02-28,7
2021-03-07,7
2021-03-14,9
2021-03-21,7
2021-03-28,6
2021-04-04,7
2021-04-11,7
2021-04-18,7
2021-04-25,7
2021-05-02,8
2021-05-09,7
2021-05-16,9
2021-05-23,7
2021-05-30,7
2021-06-06,6
2021-06-13,7
2021-06-20,6
2021-06-27,3
2021-07-04,3
2021-07-11,2
2021-07-18,3
2021-07-25,3
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,3
2021-09-12,3
2021-09-19,2
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,2
2021-12-05,3
2021-12-12,4
2021-12-19,0
2021-12-26,4
2022-01-02,5
2022-01-09,10
2022-01-16,11
2022-01-23,3
2022-01-30,6
2022-02-06,7
2022-02-13,5
2022-02-20,5
2022-02-27,6
2022-03-06,5
2022-03-13,6
2022-03-20,9
2022-03-27,8
2022-04-03,9
2022-04-10,8
2022-04-17,8
2022-04-24,15
2022-05-01,14
2022-05-08,13
2022-05-15,12
2022-05-22,11
2022-05-29,10
2022-06-05,10
2022-06-12,10
2022-06-19,9
2022-06-26,8
2022-07-03,9
2022-07-10,7
2022-07-17,6
2022-07-24,4
2022-07-31,4
2022-08-07,4
2022-08-14,5
2022-08-21,4
2022-08-28,4
2022-09-04,3
2022-09-11,5
2022-09-18,4
2022-09-25,4
2022-10-02,2
2022-10-09,2
2022-10-16,3
2022-10-23,3
2022-10-30,4
2022-11-06,4
2022-11-13,6
2022-11-20,4
2022-11-27,4
2022-12-04,6
2022-12-11,5
2022-12-18,8
2022-12-25,7
2023-01-01,7
2023-01-08,5
2023-01-15,6
2023-01-22,9
2023-01-29,8
2023-02-05,6
2023-02-12,6
2023-02-19,7
2023-02-26,11
2023-03-05,10
2023-03-12,11
2023-03-19,12
2023-03-26,17
2023-04-02,14
2023-04-09,15
2023-04-16,15
2023-04-23,13
2023-04-30,11
2023-05-07,13
2023-05-14,11
2023-05-21,13
2023-05-28,10
2023-06-04,9
2023-06-11,12
2023-06-18,12
2023-06-25,12
2023-07-02,12
2023-07-09,14
2023-07-16,10
2023-07-23,11
2023-07-30,8
2023-08-06,11
2023-08-13,6
2023-08-20,8
2023-08-27,5
2023-09-03,4
2023-09-10,5
2023-09-17,6
2023-09-24,6
2023-10-01,4
2023-10-08,4
2023-10-15,5
2023-10-22,4
2023-10-29,3
2023-11-05,3
2023-11-12,5
2023-11-19,6
2023-11-26,6
2023-12-03,3
2023-12-10,6
2023-12-17,0
2023-12-24,3
2023-12-31,6
2024-01-07,4
2024-01-14,8
2024-01-21,9
2024-01-28,16
2024-02-04,29
2024-02-11,66
2024-02-18,83
2024-02-25,100
2024-03-03,98
2024-03-10,85
2024-03-17,75
2024-03-24,56
2024-03-31,63
2024-04-07,47
2024-04-14,45
2024-04-21,42
2024-04-28,32
