Categoria: Todas as categorias

Semana,sintomas dengue: (Ceará)
2019-04-28,32
2019-05-05,23
2019-05-12,17
2019-05-19,31
2019-05-26,21
2019-06-02,14
2019-06-09,17
2019-06-16,0
2019-06-23,12
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,15
2019-07-28,13
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,10
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,17
2020-02-09,23
2020-02-16,28
2020-02-23,34
2020-03-01,36
2020-03-08,36
2020-03-15,44
2020-03-22,30
2020-03-29,31
2020-04-05,34
2020-04-12,39
2020-04-19,46
2020-04-26,60
2020-05-03,84
2020-05-10,56
2020-05-17,33
2020-05-24,34
2020-05-31,30
2020-06-07,23
2020-06-14,25
2020-06-21,26
2020-06-28,27
2020-07-05,22
2020-07-12,17
2020-07-19,16
2020-07-26,10
2020-08-02,9
2020-08-09,10
2020-08-16,8
2020-08-23,10
2020-08-30,16
2020-09-06,8
2020-09-13,0
2020-09-20,0
2020-09-27,8
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,10
2021-01-10,0
2021-01-17,10
2021-01-24,10
2021-01-31,0
2021-02-07,13
2021-02-14,17
2021-02-21,0
2021-02-28,25
2021-03-07,18
2021-03-14,23
2021-03-21,24
2021-03-28,33
2021-04-04,25
2021-04-11,27
2021-04-18,36
2021-04-25,40
2021-05-02,35
2021-05-09,51
2021-05-16,55
2021-05-23,53
2021-05-30,57
2021-06-06,55
2021-06-13,53
2021-06-20,54
2021-06-27,37
2021-07-04,41
2021-07-11,28
2021-07-18,29
2021-07-25,24
2021-08-01,19
2021-08-08,24
2021-08-15,20
2021-08-22,21
2021-08-29,17
2021-09-05,11
2021-09-12,11
2021-09-19,14
2021-09-26,0
2021-10-03,0
2021-10-10,12
2021-10-17,10
2021-10-24,10
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,15
2021-12-12,9
2021-12-19,0
2021-12-26,0
2022-01-02,13
2022-01-09,22
2022-01-16,33
2022-01-23,17
2022-01-30,16
2022-02-06,16
2022-02-13,21
2022-02-20,15
2022-02-27,31
2022-03-06,24
2022-03-13,28
2022-03-20,37
2022-03-27,38
2022-04-03,46
2022-04-10,43
2022-04-17,69
2022-04-24,68
2022-05-01,71
2022-05-08,65
2022-05-15,78
2022-05-22,78
2022-05-29,81
2022-06-05,67
2022-06-12,80
2022-06-19,74
2022-06-26,66
2022-07-03,61
2022-07-10,43
2022-07-17,33
2022-07-24,36
2022-07-31,31
2022-08-07,26
2022-08-14,23
2022-08-21,16
2022-08-28,21
2022-09-04,15
2022-09-11,17
2022-09-18,10
2022-09-25,12
2022-10-02,9
2022-10-09,12
2022-10-16,10
2022-10-23,8
2022-10-30,10
2022-11-06,7
2022-11-13,7
2022-11-20,14
2022-11-27,7
2022-12-04,14
2022-12-11,7
2022-12-18,0
2022-12-25,9
2023-01-01,9
2023-01-08,0
2023-01-15,0
2023-01-22,11
2023-01-29,9
2023-02-05,9
2023-02-12,15
2023-02-19,19
2023-02-26,24
2023-03-05,31
2023-03-12,37
2023-03-19,39
2023-03-26,43
2023-04-02,37
2023-04-09,36
2023-04-16,30
2023-04-23,22
2023-04-30,24
2023-05-07,23
2023-05-14,25
2023-05-21,17
2023-05-28,16
2023-06-04,12
2023-06-11,14
2023-06-18,17
2023-06-25,9
2023-07-02,17
2023-07-09,8
2023-07-16,11
2023-07-23,18
2023-07-30,8
2023-08-06,0
2023-08-13,0
2023-08-20,11
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,8
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,10
2023-11-19,10
2023-11-26,8
2023-12-03,8
2023-12-10,8
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,11
2024-01-14,10
2024-01-21,14
2024-01-28,20
2024-02-04,28
2024-02-11,67
2024-02-18,90
2024-02-25,90
2024-03-03,100
2024-03-10,87
2024-03-17,84
2024-03-24,64
2024-03-31,84
2024-04-07,71
2024-04-14,65
2024-04-21,55
2024-04-28,43
