Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul)
2019-04-28,76
2019-05-05,70
2019-05-12,64
2019-05-19,59
2019-05-26,41
2019-06-02,33
2019-06-09,34
2019-06-16,30
2019-06-23,25
2019-06-30,22
2019-07-07,12
2019-07-14,10
2019-07-21,13
2019-07-28,10
2019-08-04,8
2019-08-11,11
2019-08-18,12
2019-08-25,11
2019-09-01,4
2019-09-08,8
2019-09-15,9
2019-09-22,13
2019-09-29,10
2019-10-06,7
2019-10-13,7
2019-10-20,8
2019-10-27,7
2019-11-03,5
2019-11-10,13
2019-11-17,13
2019-11-24,10
2019-12-01,14
2019-12-08,16
2019-12-15,15
2019-12-22,17
2019-12-29,22
2020-01-05,35
2020-01-12,43
2020-01-19,63
2020-01-26,63
2020-02-02,67
2020-02-09,76
2020-02-16,77
2020-02-23,87
2020-03-01,90
2020-03-08,100
2020-03-15,91
2020-03-22,84
2020-03-29,69
2020-04-05,65
2020-04-12,54
2020-04-19,47
2020-04-26,47
2020-05-03,32
2020-05-10,21
2020-05-17,31
2020-05-24,22
2020-05-31,17
2020-06-07,21
2020-06-14,20
2020-06-21,21
2020-06-28,15
2020-07-05,16
2020-07-12,15
2020-07-19,16
2020-07-26,15
2020-08-02,12
2020-08-09,13
2020-08-16,12
2020-08-23,7
2020-08-30,8
2020-09-06,11
2020-09-13,8
2020-09-20,13
2020-09-27,7
2020-10-04,7
2020-10-11,6
2020-10-18,9
2020-10-25,7
2020-11-01,11
2020-11-08,9
2020-11-15,12
2020-11-22,12
2020-11-29,11
2020-12-06,13
2020-12-13,12
2020-12-20,15
2020-12-27,15
2021-01-03,14
2021-01-10,13
2021-01-17,14
2021-01-24,18
2021-01-31,23
2021-02-07,27
2021-02-14,27
2021-02-21,22
2021-02-28,29
2021-03-07,28
2021-03-14,30
2021-03-21,31
2021-03-28,30
2021-04-04,27
2021-04-11,22
2021-04-18,22
2021-04-25,26
2021-05-02,20
2021-05-09,23
2021-05-16,19
2021-05-23,17
2021-05-30,20
2021-06-06,13
2021-06-13,15
2021-06-20,16
2021-06-27,6
2021-07-04,6
2021-07-11,6
2021-07-18,6
2021-07-25,6
2021-08-01,4
2021-08-08,6
2021-08-15,6
2021-08-22,7
2021-08-29,7
2021-09-05,5
2021-09-12,7
2021-09-19,9
2021-09-26,9
2021-10-03,6
2021-10-10,0
2021-10-17,5
2021-10-24,6
2021-10-31,5
2021-11-07,8
2021-11-14,8
2021-11-21,6
2021-11-28,7
2021-12-05,10
2021-12-12,11
2021-12-19,9
2021-12-26,6
2022-01-02,8
2022-01-09,17
2022-01-16,20
2022-01-23,17
2022-01-30,8
2022-02-06,17
2022-02-13,11
2022-02-20,11
2022-02-27,16
2022-03-06,12
2022-03-13,21
2022-03-20,20
2022-03-27,22
2022-04-03,31
2022-04-10,32
2022-04-17,42
2022-04-24,58
2022-05-01,51
2022-05-08,60
2022-05-15,36
2022-05-22,44
2022-05-29,33
2022-06-05,36
2022-06-12,30
2022-06-19,26
2022-06-26,25
2022-07-03,24
2022-07-10,21
2022-07-17,18
2022-07-24,14
2022-07-31,12
2022-08-07,12
2022-08-14,12
2022-08-21,11
2022-08-28,11
2022-09-04,10
2022-09-11,12
2022-09-18,9
2022-09-25,9
2022-10-02,9
2022-10-09,11
2022-10-16,13
2022-10-23,16
2022-10-30,10
2022-11-06,17
2022-11-13,17
2022-11-20,17
2022-11-27,21
2022-12-04,20
2022-12-11,22
2022-12-18,23
2022-12-25,22
2023-01-01,20
2023-01-08,27
2023-01-15,19
2023-01-22,25
2023-01-29,30
2023-02-05,35
2023-02-12,45
2023-02-19,47
2023-02-26,51
2023-03-05,58
2023-03-12,62
2023-03-19,77
2023-03-26,95
2023-04-02,86
2023-04-09,90
2023-04-16,87
2023-04-23,90
2023-04-30,71
2023-05-07,70
2023-05-14,53
2023-05-21,55
2023-05-28,36
2023-06-04,25
2023-06-11,22
2023-06-18,24
2023-06-25,15
2023-07-02,23
2023-07-09,13
2023-07-16,11
2023-07-23,11
2023-07-30,9
2023-08-06,9
2023-08-13,12
2023-08-20,8
2023-08-27,10
2023-09-03,10
2023-09-10,6
2023-09-17,12
2023-09-24,9
2023-10-01,11
2023-10-08,7
2023-10-15,15
2023-10-22,9
2023-10-29,12
2023-11-05,13
2023-11-12,11
2023-11-19,12
2023-11-26,13
2023-12-03,10
2023-12-10,11
2023-12-17,13
2023-12-24,10
2023-12-31,21
2024-01-07,18
2024-01-14,21
2024-01-21,30
2024-01-28,36
2024-02-04,46
2024-02-11,68
2024-02-18,75
2024-02-25,82
2024-03-03,72
2024-03-10,69
2024-03-17,71
2024-03-24,57
2024-03-31,75
2024-04-07,81
2024-04-14,69
2024-04-21,77
2024-04-28,62
