Categoria: Todas as categorias

Semana,sintomas dengue: (Mato Grosso do Sul)
2019-04-28,78
2019-05-05,66
2019-05-12,56
2019-05-19,41
2019-05-26,42
2019-06-02,22
2019-06-09,27
2019-06-16,37
2019-06-23,27
2019-06-30,26
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,16
2019-12-15,32
2019-12-22,23
2019-12-29,0
2020-01-05,32
2020-01-12,44
2020-01-19,48
2020-01-26,54
2020-02-02,56
2020-02-09,63
2020-02-16,65
2020-02-23,89
2020-03-01,76
2020-03-08,86
2020-03-15,85
2020-03-22,62
2020-03-29,61
2020-04-05,58
2020-04-12,28
2020-04-19,30
2020-04-26,38
2020-05-03,23
2020-05-10,17
2020-05-17,24
2020-05-24,0
2020-05-31,15
2020-06-07,15
2020-06-14,12
2020-06-21,16
2020-06-28,22
2020-07-05,18
2020-07-12,15
2020-07-19,15
2020-07-26,17
2020-08-02,13
2020-08-09,13
2020-08-16,13
2020-08-23,0
2020-08-30,0
2020-09-06,18
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,13
2020-10-25,0
2020-11-01,19
2020-11-08,0
2020-11-15,13
2020-11-22,0
2020-11-29,21
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,15
2021-01-10,17
2021-01-17,19
2021-01-24,18
2021-01-31,22
2021-02-07,43
2021-02-14,28
2021-02-21,31
2021-02-28,47
2021-03-07,42
2021-03-14,28
2021-03-21,34
2021-03-28,43
2021-04-04,38
2021-04-11,22
2021-04-18,17
2021-04-25,21
2021-05-02,19
2021-05-09,16
2021-05-16,25
2021-05-23,17
2021-05-30,19
2021-06-06,14
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,16
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,28
2022-01-16,29
2022-01-23,23
2022-01-30,0
2022-02-06,26
2022-02-13,0
2022-02-20,0
2022-02-27,17
2022-03-06,0
2022-03-13,24
2022-03-20,15
2022-03-27,25
2022-04-03,24
2022-04-10,29
2022-04-17,43
2022-04-24,50
2022-05-01,52
2022-05-08,56
2022-05-15,30
2022-05-22,44
2022-05-29,25
2022-06-05,39
2022-06-12,39
2022-06-19,27
2022-06-26,30
2022-07-03,31
2022-07-10,31
2022-07-17,28
2022-07-24,18
2022-07-31,17
2022-08-07,12
2022-08-14,16
2022-08-21,13
2022-08-28,13
2022-09-04,12
2022-09-11,12
2022-09-18,13
2022-09-25,13
2022-10-02,0
2022-10-09,14
2022-10-16,12
2022-10-23,26
2022-10-30,14
2022-11-06,24
2022-11-13,24
2022-11-20,20
2022-11-27,25
2022-12-04,24
2022-12-11,27
2022-12-18,27
2022-12-25,23
2023-01-01,26
2023-01-08,29
2023-01-15,21
2023-01-22,30
2023-01-29,33
2023-02-05,29
2023-02-12,49
2023-02-19,48
2023-02-26,44
2023-03-05,57
2023-03-12,67
2023-03-19,70
2023-03-26,100
2023-04-02,82
2023-04-09,92
2023-04-16,93
2023-04-23,61
2023-04-30,68
2023-05-07,60
2023-05-14,45
2023-05-21,56
2023-05-28,38
2023-06-04,19
2023-06-11,24
2023-06-18,12
2023-06-25,19
2023-07-02,13
2023-07-09,12
2023-07-16,16
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,17
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,13
2023-10-22,12
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,25
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,25
2024-01-21,25
2024-01-28,21
2024-02-04,21
2024-02-11,45
2024-02-18,53
2024-02-25,49
2024-03-03,45
2024-03-10,62
2024-03-17,44
2024-03-24,47
2024-03-31,45
2024-04-07,27
2024-04-14,36
2024-04-21,54
2024-04-28,52
