Categoria: Todas as categorias

Semana,sintomas dengue: (Mato Grosso)
2019-04-28,0
2019-05-05,27
2019-05-12,29
2019-05-19,35
2019-05-26,0
2019-06-02,34
2019-06-09,29
2019-06-16,32
2019-06-23,25
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,21
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,18
2019-12-08,24
2019-12-15,0
2019-12-22,0
2019-12-29,35
2020-01-05,33
2020-01-12,48
2020-01-19,36
2020-01-26,35
2020-02-02,44
2020-02-09,46
2020-02-16,59
2020-02-23,46
2020-03-01,54
2020-03-08,61
2020-03-15,91
2020-03-22,65
2020-03-29,47
2020-04-05,26
2020-04-12,35
2020-04-19,28
2020-04-26,33
2020-05-03,25
2020-05-10,30
2020-05-17,21
2020-05-24,33
2020-05-31,46
2020-06-07,51
2020-06-14,39
2020-06-21,44
2020-06-28,34
2020-07-05,42
2020-07-12,16
2020-07-19,39
2020-07-26,24
2020-08-02,21
2020-08-09,19
2020-08-16,15
2020-08-23,17
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,19
2020-11-29,19
2020-12-06,0
2020-12-13,27
2020-12-20,27
2020-12-27,29
2021-01-03,36
2021-01-10,23
2021-01-17,18
2021-01-24,29
2021-01-31,28
2021-02-07,27
2021-02-14,33
2021-02-21,31
2021-02-28,32
2021-03-07,51
2021-03-14,34
2021-03-21,44
2021-03-28,34
2021-04-04,38
2021-04-11,36
2021-04-18,28
2021-04-25,26
2021-05-02,18
2021-05-09,20
2021-05-16,21
2021-05-23,28
2021-05-30,17
2021-06-06,17
2021-06-13,19
2021-06-20,18
2021-06-27,0
2021-07-04,14
2021-07-11,15
2021-07-18,0
2021-07-25,0
2021-08-01,21
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,17
2021-12-05,19
2021-12-12,42
2021-12-19,47
2021-12-26,60
2022-01-02,62
2022-01-09,60
2022-01-16,71
2022-01-23,64
2022-01-30,44
2022-02-06,47
2022-02-13,34
2022-02-20,36
2022-02-27,28
2022-03-06,25
2022-03-13,39
2022-03-20,37
2022-03-27,41
2022-04-03,47
2022-04-10,40
2022-04-17,49
2022-04-24,38
2022-05-01,37
2022-05-08,47
2022-05-15,37
2022-05-22,39
2022-05-29,35
2022-06-05,27
2022-06-12,28
2022-06-19,37
2022-06-26,33
2022-07-03,34
2022-07-10,22
2022-07-17,22
2022-07-24,20
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,16
2022-08-28,14
2022-09-04,13
2022-09-11,0
2022-09-18,0
2022-09-25,12
2022-10-02,0
2022-10-09,0
2022-10-16,18
2022-10-23,19
2022-10-30,0
2022-11-06,15
2022-11-13,23
2022-11-20,0
2022-11-27,0
2022-12-04,20
2022-12-11,26
2022-12-18,18
2022-12-25,23
2023-01-01,28
2023-01-08,16
2023-01-15,21
2023-01-22,18
2023-01-29,22
2023-02-05,31
2023-02-12,40
2023-02-19,47
2023-02-26,47
2023-03-05,45
2023-03-12,41
2023-03-19,41
2023-03-26,84
2023-04-02,85
2023-04-09,67
2023-04-16,68
2023-04-23,57
2023-04-30,50
2023-05-07,39
2023-05-14,45
2023-05-21,42
2023-05-28,33
2023-06-04,27
2023-06-11,13
2023-06-18,16
2023-06-25,0
2023-07-02,16
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,17
2023-08-06,0
2023-08-13,24
2023-08-20,0
2023-08-27,18
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,13
2023-10-01,14
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,18
2023-11-19,0
2023-11-26,15
2023-12-03,0
2023-12-10,19
2023-12-17,19
2023-12-24,33
2023-12-31,25
2024-01-07,35
2024-01-14,37
2024-01-21,53
2024-01-28,47
2024-02-04,57
2024-02-11,91
2024-02-18,99
2024-02-25,78
2024-03-03,76
2024-03-10,74
2024-03-17,70
2024-03-24,68
2024-03-31,88
2024-04-07,80
2024-04-14,75
2024-04-21,100
2024-04-28,79
