Categoria: Todas as categorias

Semana,sintomas dengue: (Paraíba)
2019-04-28,32
2019-05-05,29
2019-05-12,31
2019-05-19,30
2019-05-26,0
2019-06-02,17
2019-06-09,16
2019-06-16,0
2019-06-23,18
2019-06-30,22
2019-07-07,0
2019-07-14,18
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,22
2019-08-18,0
2019-08-25,0
2019-09-01,18
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,16
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,18
2020-03-22,0
2020-03-29,0
2020-04-05,12
2020-04-12,12
2020-04-19,17
2020-04-26,22
2020-05-03,21
2020-05-10,32
2020-05-17,29
2020-05-24,31
2020-05-31,26
2020-06-07,34
2020-06-14,38
2020-06-21,19
2020-06-28,25
2020-07-05,24
2020-07-12,25
2020-07-19,33
2020-07-26,17
2020-08-02,25
2020-08-09,0
2020-08-16,14
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,16
2021-05-02,0
2021-05-09,23
2021-05-16,22
2021-05-23,27
2021-05-30,26
2021-06-06,18
2021-06-13,24
2021-06-20,22
2021-06-27,31
2021-07-04,16
2021-07-11,20
2021-07-18,23
2021-07-25,21
2021-08-01,13
2021-08-08,0
2021-08-15,19
2021-08-22,13
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,15
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,16
2022-01-30,0
2022-02-06,0
2022-02-13,10
2022-02-20,15
2022-02-27,19
2022-03-06,13
2022-03-13,14
2022-03-20,20
2022-03-27,26
2022-04-03,41
2022-04-10,32
2022-04-17,45
2022-04-24,63
2022-05-01,44
2022-05-08,72
2022-05-15,94
2022-05-22,73
2022-05-29,68
2022-06-05,80
2022-06-12,83
2022-06-19,88
2022-06-26,67
2022-07-03,73
2022-07-10,60
2022-07-17,43
2022-07-24,37
2022-07-31,35
2022-08-07,14
2022-08-14,13
2022-08-21,18
2022-08-28,20
2022-09-04,19
2022-09-11,15
2022-09-18,12
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,13
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,11
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,13
2023-03-19,23
2023-03-26,11
2023-04-02,27
2023-04-09,16
2023-04-16,17
2023-04-23,20
2023-04-30,16
2023-05-07,20
2023-05-14,14
2023-05-21,0
2023-05-28,0
2023-06-04,11
2023-06-11,0
2023-06-18,18
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,13
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,13
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,15
2024-01-28,17
2024-02-04,29
2024-02-11,57
2024-02-18,74
2024-02-25,79
2024-03-03,100
2024-03-10,66
2024-03-17,80
2024-03-24,50
2024-03-31,43
2024-04-07,59
2024-04-14,37
2024-04-21,37
2024-04-28,25
