Categoria: Todas as categorias

Semana,sintomas dengue: (Pernambuco)
2019-04-28,25
2019-05-05,17
2019-05-12,32
2019-05-19,33
2019-05-26,25
2019-06-02,19
2019-06-09,19
2019-06-16,20
2019-06-23,19
2019-06-30,19
2019-07-07,19
2019-07-14,12
2019-07-21,14
2019-07-28,8
2019-08-04,13
2019-08-11,0
2019-08-18,13
2019-08-25,0
2019-09-01,11
2019-09-08,13
2019-09-15,20
2019-09-22,11
2019-09-29,8
2019-10-06,9
2019-10-13,8
2019-10-20,7
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,9
2019-12-08,0
2019-12-15,0
2019-12-22,9
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,11
2020-01-26,7
2020-02-02,0
2020-02-09,0
2020-02-16,8
2020-02-23,15
2020-03-01,13
2020-03-08,14
2020-03-15,17
2020-03-22,15
2020-03-29,18
2020-04-05,14
2020-04-12,23
2020-04-19,27
2020-04-26,32
2020-05-03,32
2020-05-10,27
2020-05-17,31
2020-05-24,29
2020-05-31,18
2020-06-07,22
2020-06-14,17
2020-06-21,22
2020-06-28,14
2020-07-05,17
2020-07-12,19
2020-07-19,18
2020-07-26,10
2020-08-02,13
2020-08-09,8
2020-08-16,15
2020-08-23,8
2020-08-30,0
2020-09-06,7
2020-09-13,9
2020-09-20,10
2020-09-27,8
2020-10-04,0
2020-10-11,0
2020-10-18,6
2020-10-25,0
2020-11-01,9
2020-11-08,0
2020-11-15,0
2020-11-22,7
2020-11-29,8
2020-12-06,13
2020-12-13,10
2020-12-20,0
2020-12-27,9
2021-01-03,9
2021-01-10,0
2021-01-17,7
2021-01-24,0
2021-01-31,7
2021-02-07,0
2021-02-14,0
2021-02-21,10
2021-02-28,0
2021-03-07,11
2021-03-14,12
2021-03-21,16
2021-03-28,18
2021-04-04,22
2021-04-11,25
2021-04-18,27
2021-04-25,35
2021-05-02,41
2021-05-09,52
2021-05-16,65
2021-05-23,68
2021-05-30,74
2021-06-06,53
2021-06-13,56
2021-06-20,46
2021-06-27,46
2021-07-04,35
2021-07-11,30
2021-07-18,25
2021-07-25,24
2021-08-01,19
2021-08-08,16
2021-08-15,16
2021-08-22,17
2021-08-29,14
2021-09-05,12
2021-09-12,10
2021-09-19,8
2021-09-26,8
2021-10-03,8
2021-10-10,0
2021-10-17,9
2021-10-24,0
2021-10-31,9
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,8
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,11
2022-01-16,11
2022-01-23,17
2022-01-30,11
2022-02-06,14
2022-02-13,13
2022-02-20,15
2022-02-27,17
2022-03-06,13
2022-03-13,19
2022-03-20,16
2022-03-27,19
2022-04-03,16
2022-04-10,28
2022-04-17,31
2022-04-24,33
2022-05-01,32
2022-05-08,37
2022-05-15,30
2022-05-22,28
2022-05-29,25
2022-06-05,28
2022-06-12,33
2022-06-19,35
2022-06-26,35
2022-07-03,19
2022-07-10,16
2022-07-17,13
2022-07-24,9
2022-07-31,13
2022-08-07,7
2022-08-14,9
2022-08-21,11
2022-08-28,0
2022-09-04,6
2022-09-11,6
2022-09-18,5
2022-09-25,7
2022-10-02,6
2022-10-09,0
2022-10-16,6
2022-10-23,5
2022-10-30,6
2022-11-06,9
2022-11-13,12
2022-11-20,5
2022-11-27,7
2022-12-04,6
2022-12-11,0
2022-12-18,11
2022-12-25,8
2023-01-01,10
2023-01-08,0
2023-01-15,6
2023-01-22,0
2023-01-29,6
2023-02-05,11
2023-02-12,0
2023-02-19,8
2023-02-26,10
2023-03-05,10
2023-03-12,11
2023-03-19,19
2023-03-26,20
2023-04-02,22
2023-04-09,18
2023-04-16,16
2023-04-23,14
2023-04-30,12
2023-05-07,11
2023-05-14,9
2023-05-21,9
2023-05-28,13
2023-06-04,9
2023-06-11,9
2023-06-18,18
2023-06-25,11
2023-07-02,5
2023-07-09,6
2023-07-16,8
2023-07-23,0
2023-07-30,0
2023-08-06,10
2023-08-13,8
2023-08-20,7
2023-08-27,7
2023-09-03,7
2023-09-10,0
2023-09-17,9
2023-09-24,6
2023-10-01,6
2023-10-08,7
2023-10-15,6
2023-10-22,6
2023-10-29,0
2023-11-05,8
2023-11-12,0
2023-11-19,9
2023-11-26,0
2023-12-03,7
2023-12-10,6
2023-12-17,7
2023-12-24,9
2023-12-31,7
2024-01-07,10
2024-01-14,11
2024-01-21,15
2024-01-28,15
2024-02-04,44
2024-02-11,66
2024-02-18,95
2024-02-25,93
2024-03-03,100
2024-03-10,93
2024-03-17,74
2024-03-24,66
2024-03-31,68
2024-04-07,64
2024-04-14,45
2024-04-21,55
2024-04-28,38
