Categoria: Todas as categorias

Semana,sintomas dengue: (Rio Grande do Sul)
2019-04-28,11
2019-05-05,8
2019-05-12,8
2019-05-19,12
2019-05-26,10
2019-06-02,7
2019-06-09,9
2019-06-16,7
2019-06-23,6
2019-06-30,5
2019-07-07,3
2019-07-14,3
2019-07-21,2
2019-07-28,3
2019-08-04,3
2019-08-11,0
2019-08-18,2
2019-08-25,3
2019-09-01,0
2019-09-08,2
2019-09-15,0
2019-09-22,2
2019-09-29,2
2019-10-06,3
2019-10-13,0
2019-10-20,2
2019-10-27,0
2019-11-03,2
2019-11-10,0
2019-11-17,3
2019-11-24,0
2019-12-01,2
2019-12-08,2
2019-12-15,0
2019-12-22,2
2019-12-29,0
2020-01-05,3
2020-01-12,3
2020-01-19,5
2020-01-26,2
2020-02-02,2
2020-02-09,5
2020-02-16,6
2020-02-23,6
2020-03-01,9
2020-03-08,10
2020-03-15,15
2020-03-22,10
2020-03-29,11
2020-04-05,6
2020-04-12,8
2020-04-19,9
2020-04-26,7
2020-05-03,6
2020-05-10,5
2020-05-17,4
2020-05-24,3
2020-05-31,4
2020-06-07,4
2020-06-14,3
2020-06-21,3
2020-06-28,2
2020-07-05,0
2020-07-12,0
2020-07-19,2
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,2
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,3
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,2
2020-11-15,2
2020-11-22,2
2020-11-29,2
2020-12-06,2
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,3
2021-01-17,2
2021-01-24,2
2021-01-31,0
2021-02-07,4
2021-02-14,4
2021-02-21,4
2021-02-28,4
2021-03-07,4
2021-03-14,4
2021-03-21,6
2021-03-28,6
2021-04-04,12
2021-04-11,11
2021-04-18,11
2021-04-25,7
2021-05-02,7
2021-05-09,6
2021-05-16,5
2021-05-23,3
2021-05-30,2
2021-06-06,4
2021-06-13,0
2021-06-20,2
2021-06-27,0
2021-07-04,0
2021-07-11,2
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,2
2021-11-14,0
2021-11-21,2
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,4
2022-01-09,3
2022-01-16,4
2022-01-23,3
2022-01-30,4
2022-02-06,2
2022-02-13,4
2022-02-20,3
2022-02-27,9
2022-03-06,16
2022-03-13,28
2022-03-20,47
2022-03-27,50
2022-04-03,55
2022-04-10,63
2022-04-17,95
2022-04-24,91
2022-05-01,72
2022-05-08,75
2022-05-15,52
2022-05-22,51
2022-05-29,29
2022-06-05,22
2022-06-12,17
2022-06-19,12
2022-06-26,11
2022-07-03,11
2022-07-10,9
2022-07-17,7
2022-07-24,8
2022-07-31,6
2022-08-07,4
2022-08-14,4
2022-08-21,5
2022-08-28,4
2022-09-04,2
2022-09-11,3
2022-09-18,2
2022-09-25,3
2022-10-02,2
2022-10-09,2
2022-10-16,3
2022-10-23,2
2022-10-30,2
2022-11-06,2
2022-11-13,5
2022-11-20,4
2022-11-27,4
2022-12-04,4
2022-12-11,4
2022-12-18,5
2022-12-25,10
2023-01-01,5
2023-01-08,4
2023-01-15,4
2023-01-22,5
2023-01-29,4
2023-02-05,5
2023-02-12,6
2023-02-19,6
2023-02-26,10
2023-03-05,14
2023-03-12,20
2023-03-19,25
2023-03-26,31
2023-04-02,34
2023-04-09,42
2023-04-16,40
2023-04-23,51
2023-04-30,48
2023-05-07,41
2023-05-14,48
2023-05-21,49
2023-05-28,30
2023-06-04,28
2023-06-11,14
2023-06-18,11
2023-06-25,12
2023-07-02,12
2023-07-09,6
2023-07-16,6
2023-07-23,5
2023-07-30,4
2023-08-06,4
2023-08-13,3
2023-08-20,4
2023-08-27,3
2023-09-03,3
2023-09-10,3
2023-09-17,4
2023-09-24,3
2023-10-01,3
2023-10-08,3
2023-10-15,4
2023-10-22,5
2023-10-29,3
2023-11-05,3
2023-11-12,4
2023-11-19,5
2023-11-26,6
2023-12-03,4
2023-12-10,5
2023-12-17,5
2023-12-24,6
2023-12-31,6
2024-01-07,8
2024-01-14,9
2024-01-21,13
2024-01-28,17
2024-02-04,46
2024-02-11,54
2024-02-18,83
2024-02-25,85
2024-03-03,94
2024-03-10,100
2024-03-17,82
2024-03-24,79
2024-03-31,83
2024-04-07,75
2024-04-14,77
2024-04-21,81
2024-04-28,64
