Categoria: Todas as categorias

Semana,sintomas dengue: (Santa Catarina)
2019-04-28,10
2019-05-05,12
2019-05-12,8
2019-05-19,10
2019-05-26,8
2019-06-02,6
2019-06-09,8
2019-06-16,9
2019-06-23,8
2019-06-30,5
2019-07-07,3
2019-07-14,3
2019-07-21,4
2019-07-28,0
2019-08-04,3
2019-08-11,3
2019-08-18,0
2019-08-25,3
2019-09-01,3
2019-09-08,2
2019-09-15,4
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,3
2019-10-20,0
2019-10-27,0
2019-11-03,4
2019-11-10,4
2019-11-17,0
2019-11-24,3
2019-12-01,3
2019-12-08,0
2019-12-15,0
2019-12-22,4
2019-12-29,5
2020-01-05,3
2020-01-12,6
2020-01-19,6
2020-01-26,6
2020-02-02,3
2020-02-09,7
2020-02-16,11
2020-02-23,10
2020-03-01,9
2020-03-08,14
2020-03-15,15
2020-03-22,15
2020-03-29,13
2020-04-05,10
2020-04-12,11
2020-04-19,14
2020-04-26,18
2020-05-03,13
2020-05-10,15
2020-05-17,14
2020-05-24,10
2020-05-31,7
2020-06-07,7
2020-06-14,9
2020-06-21,12
2020-06-28,6
2020-07-05,7
2020-07-12,7
2020-07-19,8
2020-07-26,4
2020-08-02,4
2020-08-09,2
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,3
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,2
2020-11-08,0
2020-11-15,3
2020-11-22,3
2020-11-29,5
2020-12-06,4
2020-12-13,5
2020-12-20,3
2020-12-27,4
2021-01-03,5
2021-01-10,5
2021-01-17,3
2021-01-24,4
2021-01-31,5
2021-02-07,3
2021-02-14,7
2021-02-21,5
2021-02-28,4
2021-03-07,7
2021-03-14,7
2021-03-21,7
2021-03-28,11
2021-04-04,13
2021-04-11,13
2021-04-18,11
2021-04-25,16
2021-05-02,13
2021-05-09,13
2021-05-16,9
2021-05-23,11
2021-05-30,12
2021-06-06,9
2021-06-13,7
2021-06-20,4
2021-06-27,2
2021-07-04,3
2021-07-11,2
2021-07-18,0
2021-07-25,4
2021-08-01,0
2021-08-08,0
2021-08-15,3
2021-08-22,3
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,3
2021-12-12,0
2021-12-19,4
2021-12-26,0
2022-01-02,8
2022-01-09,7
2022-01-16,7
2022-01-23,5
2022-01-30,4
2022-02-06,2
2022-02-13,3
2022-02-20,5
2022-02-27,8
2022-03-06,13
2022-03-13,23
2022-03-20,29
2022-03-27,34
2022-04-03,41
2022-04-10,56
2022-04-17,61
2022-04-24,62
2022-05-01,48
2022-05-08,55
2022-05-15,46
2022-05-22,48
2022-05-29,33
2022-06-05,28
2022-06-12,22
2022-06-19,21
2022-06-26,19
2022-07-03,15
2022-07-10,13
2022-07-17,11
2022-07-24,11
2022-07-31,6
2022-08-07,3
2022-08-14,4
2022-08-21,9
2022-08-28,4
2022-09-04,5
2022-09-11,3
2022-09-18,0
2022-09-25,3
2022-10-02,3
2022-10-09,3
2022-10-16,3
2022-10-23,4
2022-10-30,0
2022-11-06,4
2022-11-13,6
2022-11-20,5
2022-11-27,5
2022-12-04,7
2022-12-11,6
2022-12-18,4
2022-12-25,5
2023-01-01,6
2023-01-08,5
2023-01-15,5
2023-01-22,4
2023-01-29,5
2023-02-05,7
2023-02-12,5
2023-02-19,8
2023-02-26,13
2023-03-05,22
2023-03-12,46
2023-03-19,61
2023-03-26,78
2023-04-02,82
2023-04-09,79
2023-04-16,69
2023-04-23,79
2023-04-30,75
2023-05-07,69
2023-05-14,58
2023-05-21,51
2023-05-28,35
2023-06-04,32
2023-06-11,23
2023-06-18,18
2023-06-25,18
2023-07-02,14
2023-07-09,9
2023-07-16,6
2023-07-23,8
2023-07-30,6
2023-08-06,5
2023-08-13,5
2023-08-20,8
2023-08-27,4
2023-09-03,5
2023-09-10,5
2023-09-17,5
2023-09-24,8
2023-10-01,5
2023-10-08,3
2023-10-15,4
2023-10-22,6
2023-10-29,5
2023-11-05,7
2023-11-12,3
2023-11-19,5
2023-11-26,8
2023-12-03,6
2023-12-10,7
2023-12-17,8
2023-12-24,10
2023-12-31,10
2024-01-07,11
2024-01-14,14
2024-01-21,20
2024-01-28,23
2024-02-04,40
2024-02-11,53
2024-02-18,87
2024-02-25,100
2024-03-03,90
2024-03-10,90
2024-03-17,90
2024-03-24,91
2024-03-31,92
2024-04-07,91
2024-04-14,74
2024-04-21,79
2024-04-28,65
