Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí)
2019-05-05,10,0
2019-05-12,16,4
2019-05-19,17,0
2019-05-26,13,4
2019-06-02,11,5
2019-06-09,19,6
2019-06-16,12,0
2019-06-23,9,0
2019-06-30,11,0
2019-07-07,5,0
2019-07-14,4,0
2019-07-21,9,0
2019-07-28,5,0
2019-08-04,5,0
2019-08-11,0,0
2019-08-18,0,0
2019-08-25,4,0
2019-09-01,5,0
2019-09-08,4,0
2019-09-15,5,0
2019-09-22,5,0
2019-09-29,0,0
2019-10-06,0,0
2019-10-13,0,0
2019-10-20,0,0
2019-10-27,0,0
2019-11-03,4,0
2019-11-10,5,0
2019-11-17,3,0
2019-11-24,5,0
2019-12-01,0,0
2019-12-08,3,0
2019-12-15,0,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,0,0
2020-01-12,4,0
2020-01-19,4,0
2020-01-26,5,0
2020-02-02,5,0
2020-02-09,8,0
2020-02-16,9,0
2020-02-23,7,0
2020-03-01,8,0
2020-03-08,11,0
2020-03-15,15,4
2020-03-22,14,4
2020-03-29,8,0
2020-04-05,9,0
2020-04-12,5,0
2020-04-19,10,0
2020-04-26,10,3
2020-05-03,10,3
2020-05-10,9,0
2020-05-17,8,0
2020-05-24,8,3
2020-05-31,9,4
2020-06-07,9,0
2020-06-14,8,4
2020-06-21,9,3
2020-06-28,8,0
2020-07-05,6,0
2020-07-12,5,0
2020-07-19,4,0
2020-07-26,3,0
2020-08-02,3,0
2020-08-09,3,0
2020-08-16,3,0
2020-08-23,3,0
2020-08-30,0,0
2020-09-06,0,0
2020-09-13,3,0
2020-09-20,0,0
2020-09-27,4,0
2020-10-04,0,0
2020-10-11,3,0
2020-10-18,0,0
2020-10-25,0,0
2020-11-01,0,0
2020-11-08,4,0
2020-11-15,0,0
2020-11-22,5,0
2020-11-29,4,0
2020-12-06,0,0
2020-12-13,0,0
2020-12-20,0,0
2020-12-27,0,0
2021-01-03,0,0
2021-01-10,0,0
2021-01-17,0,0
2021-01-24,3,0
2021-01-31,3,0
2021-02-07,3,0
2021-02-14,5,0
2021-02-21,3,0
2021-02-28,4,0
2021-03-07,6,0
2021-03-14,5,0
2021-03-21,6,0
2021-03-28,7,0
2021-04-04,8,3
2021-04-11,7,0
2021-04-18,7,0
2021-04-25,7,0
2021-05-02,7,0
2021-05-09,8,0
2021-05-16,11,0
2021-05-23,7,0
2021-05-30,7,3
2021-06-06,11,3
2021-06-13,10,3
2021-06-20,11,0
2021-06-27,6,0
2021-07-04,9,0
2021-07-11,5,0
2021-07-18,5,0
2021-07-25,4,0
2021-08-01,4,0
2021-08-08,4,0
2021-08-15,5,0
2021-08-22,7,0
2021-08-29,5,0
2021-09-05,4,0
2021-09-12,5,0
2021-09-19,0,0
2021-09-26,0,0
2021-10-03,5,0
2021-10-10,3,0
2021-10-17,3,0
2021-10-24,0,0
2021-10-31,0,0
2021-11-07,3,0
2021-11-14,6,0
2021-11-21,3,0
2021-11-28,5,0
2021-12-05,4,0
2021-12-12,6,4
2021-12-19,0,0
2021-12-26,5,0
2022-01-02,7,0
2022-01-09,10,0
2022-01-16,10,0
2022-01-23,8,3
2022-01-30,11,3
2022-02-06,13,6
2022-02-13,18,6
2022-02-20,20,6
2022-02-27,27,7
2022-03-06,27,7
2022-03-13,34,10
2022-03-20,44,12
2022-03-27,62,16
2022-04-03,68,20
2022-04-10,76,22
2022-04-17,100,28
2022-04-24,99,26
2022-05-01,86,25
2022-05-08,72,21
2022-05-15,68,18
2022-05-22,49,14
2022-05-29,45,13
2022-06-05,44,12
2022-06-12,34,11
2022-06-19,26,7
2022-06-26,29,9
2022-07-03,24,10
2022-07-10,18,5
2022-07-17,9,3
2022-07-24,7,3
2022-07-31,7,3
2022-08-07,7,0
2022-08-14,6,0
2022-08-21,5,0
2022-08-28,4,3
2022-09-04,5,0
2022-09-11,3,0
2022-09-18,4,0
2022-09-25,4,0
2022-10-02,5,0
2022-10-09,4,0
2022-10-16,4,2
2022-10-23,4,0
2022-10-30,5,0
2022-11-06,5,0
2022-11-13,5,0
2022-11-20,4,0
2022-11-27,4,0
2022-12-04,3,0
2022-12-11,5,0
2022-12-18,5,0
2022-12-25,4,0
2023-01-01,6,0
2023-01-08,5,2
2023-01-15,8,2
2023-01-22,6,0
2023-01-29,7,0
2023-02-05,7,3
2023-02-12,9,3
2023-02-19,10,0
2023-02-26,14,4
2023-03-05,13,2
2023-03-12,13,4
2023-03-19,16,6
2023-03-26,20,6
2023-04-02,20,8
2023-04-09,21,9
2023-04-16,20,7
2023-04-23,20,6
2023-04-30,15,5
2023-05-07,19,6
2023-05-14,15,4
2023-05-21,12,3
2023-05-28,12,3
2023-06-04,9,3
2023-06-11,11,2
2023-06-18,8,4
2023-06-25,7,0
2023-07-02,8,0
2023-07-09,5,0
2023-07-16,4,0
2023-07-23,3,0
2023-07-30,3,0
2023-08-06,4,0
2023-08-13,4,0
2023-08-20,0,0
2023-08-27,4,0
2023-09-03,4,0
2023-09-10,3,0
2023-09-17,6,0
2023-09-24,0,0
2023-10-01,3,0
2023-10-08,3,0
2023-10-15,3,0
2023-10-22,4,0
2023-10-29,3,0
2023-11-05,3,0
2023-11-12,3,0
2023-11-19,4,0
2023-11-26,5,0
2023-12-03,3,0
2023-12-10,3,0
2023-12-17,0,0
2023-12-24,7,0
2023-12-31,4,0
2024-01-07,8,0
2024-01-14,6,0
2024-01-21,9,0
2024-01-28,16,0
2024-02-04,24,5
2024-02-11,28,0
2024-02-18,42,11
2024-02-25,45,10
2024-03-03,44,10
2024-03-10,55,13
2024-03-17,45,10
2024-03-24,35,8
2024-03-31,41,11
2024-04-07,40,9
2024-04-14,40,8
2024-04-21,31,6
2024-04-28,27,6
2024-05-05,22,5
