Categoria: Todas as categorias

Semana,dengue: (Rio de Janeiro),sintomas dengue: (Rio de Janeiro)
2019-05-12,9,3
2019-05-19,10,3
2019-05-26,9,3
2019-06-02,7,2
2019-06-09,7,2
2019-06-16,6,2
2019-06-23,7,2
2019-06-30,5,1
2019-07-07,3,1
2019-07-14,2,<1
2019-07-21,2,1
2019-07-28,2,1
2019-08-04,2,<1
2019-08-11,2,1
2019-08-18,2,1
2019-08-25,2,<1
2019-09-01,1,<1
2019-09-08,2,1
2019-09-15,2,1
2019-09-22,2,<1
2019-09-29,2,<1
2019-10-06,2,<1
2019-10-13,2,1
2019-10-20,2,<1
2019-10-27,2,<1
2019-11-03,2,<1
2019-11-10,2,<1
2019-11-17,2,1
2019-11-24,2,<1
2019-12-01,2,<1
2019-12-08,2,1
2019-12-15,2,1
2019-12-22,2,1
2019-12-29,2,1
2020-01-05,2,1
2020-01-12,2,1
2020-01-19,3,1
2020-01-26,3,1
2020-02-02,3,1
2020-02-09,4,1
2020-02-16,7,1
2020-02-23,5,1
2020-03-01,5,1
2020-03-08,7,1
2020-03-15,8,2
2020-03-22,7,1
2020-03-29,5,1
2020-04-05,4,1
2020-04-12,4,1
2020-04-19,4,1
2020-04-26,4,1
2020-05-03,3,1
2020-05-10,3,1
2020-05-17,3,1
2020-05-24,2,<1
2020-05-31,2,<1
2020-06-07,2,<1
2020-06-14,2,<1
2020-06-21,2,<1
2020-06-28,2,0
2020-07-05,2,<1
2020-07-12,1,<1
2020-07-19,2,<1
2020-07-26,1,<1
2020-08-02,1,0
2020-08-09,1,<1
2020-08-16,1,0
2020-08-23,1,<1
2020-08-30,1,<1
2020-09-06,1,<1
2020-09-13,1,<1
2020-09-20,2,<1
2020-09-27,2,<1
2020-10-04,2,<1
2020-10-11,1,<1
2020-10-18,2,<1
2020-10-25,1,0
2020-11-01,1,<1
2020-11-08,2,1
2020-11-15,2,1
2020-11-22,2,1
2020-11-29,2,1
2020-12-06,2,1
2020-12-13,2,1
2020-12-20,1,<1
2020-12-27,1,<1
2021-01-03,2,1
2021-01-10,2,1
2021-01-17,1,<1
2021-01-24,1,0
2021-01-31,1,<1
2021-02-07,1,0
2021-02-14,2,<1
2021-02-21,2,<1
2021-02-28,2,<1
2021-03-07,2,<1
2021-03-14,2,1
2021-03-21,3,1
2021-03-28,3,1
2021-04-04,3,1
2021-04-11,3,1
2021-04-18,2,1
2021-04-25,2,<1
2021-05-02,2,<1
2021-05-09,2,<1
2021-05-16,2,1
2021-05-23,3,1
2021-05-30,2,<1
2021-06-06,2,<1
2021-06-13,2,<1
2021-06-20,2,<1
2021-06-27,1,0
2021-07-04,1,<1
2021-07-11,1,0
2021-07-18,1,<1
2021-07-25,<1,0
2021-08-01,1,0
2021-08-08,1,<1
2021-08-15,1,0
2021-08-22,1,<1
2021-08-29,1,0
2021-09-05,1,0
2021-09-12,1,0
2021-09-19,1,0
2021-09-26,1,0
2021-10-03,1,0
2021-10-10,1,0
2021-10-17,1,<1
2021-10-24,1,0
2021-10-31,1,0
2021-11-07,1,0
2021-11-14,1,<1
2021-11-21,1,0
2021-11-28,2,<1
2021-12-05,1,<1
2021-12-12,1,0
2021-12-19,1,0
2021-12-26,1,0
2022-01-02,2,1
2022-01-09,2,1
2022-01-16,2,1
2022-01-23,2,<1
2022-01-30,1,<1
2022-02-06,1,0
2022-02-13,1,<1
2022-02-20,2,<1
2022-02-27,2,1
2022-03-06,2,<1
2022-03-13,2,1
2022-03-20,2,1
2022-03-27,2,1
2022-04-03,3,1
2022-04-10,3,1
2022-04-17,3,1
2022-04-24,4,1
2022-05-01,5,2
2022-05-08,6,2
2022-05-15,6,2
2022-05-22,5,2
2022-05-29,5,1
2022-06-05,4,1
2022-06-12,3,1
2022-06-19,4,1
2022-06-26,3,1
2022-07-03,3,1
2022-07-10,2,1
2022-07-17,2,<1
2022-07-24,2,1
2022-07-31,2,<1
2022-08-07,2,<1
2022-08-14,2,<1
2022-08-21,2,<1
2022-08-28,1,<1
2022-09-04,1,<1
2022-09-11,1,<1
2022-09-18,1,<1
2022-09-25,1,<1
2022-10-02,1,<1
2022-10-09,2,1
2022-10-16,2,<1
2022-10-23,2,1
2022-10-30,2,1
2022-11-06,3,1
2022-11-13,3,1
2022-11-20,2,1
2022-11-27,2,1
2022-12-04,2,<1
2022-12-11,2,1
2022-12-18,1,<1
2022-12-25,2,1
2023-01-01,3,1
2023-01-08,3,1
2023-01-15,3,1
2023-01-22,3,1
2023-01-29,3,1
2023-02-05,4,1
2023-02-12,4,1
2023-02-19,4,2
2023-02-26,6,2
2023-03-05,7,3
2023-03-12,7,3
2023-03-19,8,3
2023-03-26,11,4
2023-04-02,8,3
2023-04-09,8,3
2023-04-16,8,3
2023-04-23,8,3
2023-04-30,8,3
2023-05-07,7,3
2023-05-14,8,2
2023-05-21,7,2
2023-05-28,6,2
2023-06-04,6,2
2023-06-11,6,2
2023-06-18,5,2
2023-06-25,5,2
2023-07-02,6,1
2023-07-09,4,1
2023-07-16,3,1
2023-07-23,3,1
2023-07-30,3,1
2023-08-06,3,1
2023-08-13,2,1
2023-08-20,3,1
2023-08-27,3,1
2023-09-03,3,1
2023-09-10,3,1
2023-09-17,3,1
2023-09-24,3,1
2023-10-01,3,1
2023-10-08,3,1
2023-10-15,4,1
2023-10-22,4,1
2023-10-29,3,1
2023-11-05,4,1
2023-11-12,5,1
2023-11-19,5,1
2023-11-26,6,2
2023-12-03,6,2
2023-12-10,8,3
2023-12-17,8,2
2023-12-24,9,3
2023-12-31,10,3
2024-01-07,13,4
2024-01-14,15,5
2024-01-21,20,5
2024-01-28,35,9
2024-02-04,64,17
2024-02-11,74,22
2024-02-18,100,23
2024-02-25,91,20
2024-03-03,65,15
2024-03-10,52,14
2024-03-17,47,12
2024-03-24,37,8
2024-03-31,35,8
2024-04-07,36,8
2024-04-14,29,7
2024-04-21,26,6
2024-04-28,23,5
2024-05-05,19,4
2024-05-12,16,4
