Categoria: Todas as categorias

Semana,dengue: (Pernambuco),sintomas dengue: (Pernambuco)
2019-06-23,22,3
2019-06-30,16,3
2019-07-07,14,4
2019-07-14,12,3
2019-07-21,13,3
2019-07-28,10,2
2019-08-04,13,4
2019-08-11,11,2
2019-08-18,15,3
2019-08-25,13,3
2019-09-01,13,2
2019-09-08,11,3
2019-09-15,13,3
2019-09-22,9,2
2019-09-29,8,3
2019-10-06,10,2
2019-10-13,8,2
2019-10-20,9,2
2019-10-27,7,2
2019-11-03,7,0
2019-11-10,8,0
2019-11-17,8,0
2019-11-24,6,2
2019-12-01,7,1
2019-12-08,6,0
2019-12-15,5,0
2019-12-22,6,0
2019-12-29,4,0
2020-01-05,5,0
2020-01-12,6,0
2020-01-19,6,2
2020-01-26,9,0
2020-02-02,8,2
2020-02-09,10,0
2020-02-16,9,3
2020-02-23,12,3
2020-03-01,15,3
2020-03-08,20,3
2020-03-15,21,3
2020-03-22,17,3
2020-03-29,17,4
2020-04-05,14,4
2020-04-12,21,6
2020-04-19,18,6
2020-04-26,21,7
2020-05-03,23,8
2020-05-10,23,7
2020-05-17,22,7
2020-05-24,21,6
2020-05-31,20,4
2020-06-07,23,6
2020-06-14,18,4
2020-06-21,21,6
2020-06-28,15,3
2020-07-05,18,4
2020-07-12,15,4
2020-07-19,14,4
2020-07-26,11,3
2020-08-02,9,3
2020-08-09,10,2
2020-08-16,10,3
2020-08-23,7,2
2020-08-30,7,1
2020-09-06,6,1
2020-09-13,8,2
2020-09-20,8,2
2020-09-27,8,1
2020-10-04,6,1
2020-10-11,5,0
2020-10-18,6,2
2020-10-25,5,0
2020-11-01,6,2
2020-11-08,6,1
2020-11-15,4,0
2020-11-22,7,2
2020-11-29,6,2
2020-12-06,7,3
2020-12-13,7,3
2020-12-20,6,2
2020-12-27,6,2
2021-01-03,8,1
2021-01-10,6,2
2021-01-17,7,0
2021-01-24,6,0
2021-01-31,6,2
2021-02-07,7,2
2021-02-14,7,2
2021-02-21,8,2
2021-02-28,9,2
2021-03-07,10,3
2021-03-14,11,2
2021-03-21,15,4
2021-03-28,14,3
2021-04-04,16,4
2021-04-11,18,6
2021-04-18,22,6
2021-04-25,28,7
2021-05-02,29,9
2021-05-09,40,11
2021-05-16,45,15
2021-05-23,53,16
2021-05-30,53,17
2021-06-06,50,12
2021-06-13,44,12
2021-06-20,39,11
2021-06-27,37,10
2021-07-04,31,8
2021-07-11,27,8
2021-07-18,23,6
2021-07-25,20,5
2021-08-01,18,4
2021-08-08,16,3
2021-08-15,13,3
2021-08-22,14,3
2021-08-29,11,2
2021-09-05,10,3
2021-09-12,11,2
2021-09-19,10,2
2021-09-26,7,2
2021-10-03,7,3
2021-10-10,7,2
2021-10-17,8,2
2021-10-24,6,0
2021-10-31,7,2
2021-11-07,6,2
2021-11-14,4,0
2021-11-21,5,0
2021-11-28,6,0
2021-12-05,6,0
2021-12-12,5,2
2021-12-19,7,0
2021-12-26,5,0
2022-01-02,6,2
2022-01-09,6,2
2022-01-16,9,3
2022-01-23,8,3
2022-01-30,9,3
2022-02-06,11,2
2022-02-13,11,3
2022-02-20,14,4
2022-02-27,12,4
2022-03-06,14,3
2022-03-13,16,4
2022-03-20,15,4
2022-03-27,18,5
2022-04-03,17,4
2022-04-10,19,6
2022-04-17,26,7
2022-04-24,26,7
2022-05-01,24,7
2022-05-08,30,9
2022-05-15,26,6
2022-05-22,23,6
2022-05-29,21,5
2022-06-05,19,6
2022-06-12,22,7
2022-06-19,21,8
2022-06-26,16,7
2022-07-03,16,5
2022-07-10,10,3
2022-07-17,11,3
2022-07-24,10,4
2022-07-31,10,2
2022-08-07,9,2
2022-08-14,9,3
2022-08-21,8,2
2022-08-28,7,2
2022-09-04,7,0
2022-09-11,6,1
2022-09-18,7,1
2022-09-25,6,0
2022-10-02,5,1
2022-10-09,5,1
2022-10-16,6,0
2022-10-23,5,1
2022-10-30,5,0
2022-11-06,6,2
2022-11-13,7,2
2022-11-20,7,3
2022-11-27,6,1
2022-12-04,5,0
2022-12-11,5,0
2022-12-18,5,1
2022-12-25,6,2
2023-01-01,6,2
2023-01-08,7,1
2023-01-15,5,1
2023-01-22,4,0
2023-01-29,5,1
2023-02-05,6,2
2023-02-12,7,1
2023-02-19,4,0
2023-02-26,8,2
2023-03-05,8,2
2023-03-12,10,3
2023-03-19,12,4
2023-03-26,19,5
2023-04-02,14,4
2023-04-09,14,4
2023-04-16,13,3
2023-04-23,12,3
2023-04-30,10,3
2023-05-07,10,3
2023-05-14,9,2
2023-05-21,9,2
2023-05-28,10,2
2023-06-04,7,2
2023-06-11,8,2
2023-06-18,6,2
2023-06-25,8,3
2023-07-02,12,0
2023-07-09,9,2
2023-07-16,6,2
2023-07-23,5,0
2023-07-30,6,2
2023-08-06,5,2
2023-08-13,6,2
2023-08-20,7,2
2023-08-27,7,2
2023-09-03,5,1
2023-09-10,6,0
2023-09-17,6,2
2023-09-24,6,2
2023-10-01,6,2
2023-10-08,5,2
2023-10-15,6,1
2023-10-22,6,0
2023-10-29,4,1
2023-11-05,6,1
2023-11-12,5,0
2023-11-19,8,2
2023-11-26,7,2
2023-12-03,5,2
2023-12-10,6,2
2023-12-17,7,2
2023-12-24,7,2
2023-12-31,9,2
2024-01-07,8,2
2024-01-14,7,2
2024-01-21,13,3
2024-01-28,19,4
2024-02-04,33,9
2024-02-11,57,16
2024-02-18,89,22
2024-02-25,100,21
2024-03-03,93,24
2024-03-10,88,19
2024-03-17,86,16
2024-03-24,58,15
2024-03-31,57,16
2024-04-07,64,14
2024-04-14,58,12
2024-04-21,75,13
2024-04-28,46,10
2024-05-05,38,7
2024-05-12,34,6
2024-05-19,31,7
2024-05-26,27,6
2024-06-02,25,5
2024-06-09,22,4
2024-06-16,19,4
2024-06-23,15,3
