Categoria: Todas as categorias

Semana,dengue: (Roraima),sintomas dengue: (Roraima)
2019-07-14,0,0
2019-07-21,0,0
2019-07-28,63,0
2019-08-04,0,0
2019-08-11,49,0
2019-08-18,0,0
2019-08-25,51,0
2019-09-01,0,0
2019-09-08,49,0
2019-09-15,0,0
2019-09-22,0,0
2019-09-29,0,0
2019-10-06,0,0
2019-10-13,0,0
2019-10-20,0,0
2019-10-27,0,0
2019-11-03,0,0
2019-11-10,0,0
2019-11-17,46,0
2019-11-24,59,0
2019-12-01,0,0
2019-12-08,51,0
2019-12-15,0,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,91,0
2020-01-12,0,0
2020-01-19,68,0
2020-01-26,0,0
2020-02-02,44,0
2020-02-09,0,0
2020-02-16,43,0
2020-02-23,0,0
2020-03-01,0,0
2020-03-08,40,0
2020-03-15,0,0
2020-03-22,47,0
2020-03-29,0,0
2020-04-05,0,0
2020-04-12,46,0
2020-04-19,0,0
2020-04-26,0,0
2020-05-03,47,0
2020-05-10,37,0
2020-05-17,39,0
2020-05-24,0,0
2020-05-31,0,0
2020-06-07,0,0
2020-06-14,0,0
2020-06-21,0,0
2020-06-28,0,0
2020-07-05,0,0
2020-07-12,0,0
2020-07-19,40,0
2020-07-26,0,0
2020-08-02,0,0
2020-08-09,0,0
2020-08-16,0,0
2020-08-23,0,0
2020-08-30,0,0
2020-09-06,0,0
2020-09-13,0,0
2020-09-20,0,0
2020-09-27,0,0
2020-10-04,0,0
2020-10-11,0,0
2020-10-18,0,0
2020-10-25,0,0
2020-11-01,0,0
2020-11-08,0,0
2020-11-15,0,0
2020-11-22,0,0
2020-11-29,0,0
2020-12-06,0,0
2020-12-13,0,0
2020-12-20,0,0
2020-12-27,0,0
2021-01-03,0,0
2021-01-10,0,0
2021-01-17,0,0
2021-01-24,0,0
2021-01-31,0,0
2021-02-07,0,0
2021-02-14,0,0
2021-02-21,0,0
2021-02-28,0,0
2021-03-07,0,0
2021-03-14,0,0
2021-03-21,0,0
2021-03-28,0,0
2021-04-04,0,0
2021-04-11,0,0
2021-04-18,0,0
2021-04-25,0,0
2021-05-02,0,0
2021-05-09,0,0
2021-05-16,0,0
2021-05-23,0,0
2021-05-30,0,0
2021-06-06,0,0
2021-06-13,0,0
2021-06-20,0,0
2021-06-27,0,0
2021-07-04,32,0
2021-07-11,0,0
2021-07-18,0,0
2021-07-25,0,0
2021-08-01,0,0
2021-08-08,0,0
2021-08-15,0,0
2021-08-22,0,0
2021-08-29,0,0
2021-09-05,0,0
2021-09-12,0,0
2021-09-19,0,0
2021-09-26,0,0
2021-10-03,0,0
2021-10-10,0,0
2021-10-17,0,0
2021-10-24,0,0
2021-10-31,0,0
2021-11-07,0,0
2021-11-14,35,0
2021-11-21,0,0
2021-11-28,40,0
2021-12-05,0,0
2021-12-12,0,0
2021-12-19,0,0
2021-12-26,0,0
2022-01-02,0,0
2022-01-09,0,0
2022-01-16,56,0
2022-01-23,0,0
2022-01-30,0,0
2022-02-06,0,0
2022-02-13,0,0
2022-02-20,0,0
2022-02-27,0,0
2022-03-06,0,0
2022-03-13,41,0
2022-03-20,0,0
2022-03-27,36,0
2022-04-03,0,0
2022-04-10,0,0
2022-04-17,0,0
2022-04-24,0,0
2022-05-01,0,0
2022-05-08,42,0
2022-05-15,35,0
2022-05-22,0,0
2022-05-29,36,0
2022-06-05,48,0
2022-06-12,0,0
2022-06-19,32,0
2022-06-26,51,0
