Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul)
2019-08-11,11,3
2019-08-18,9,0
2019-08-25,8,0
2019-09-01,6,0
2019-09-08,8,3
2019-09-15,8,4
2019-09-22,12,0
2019-09-29,8,0
2019-10-06,5,0
2019-10-13,8,0
2019-10-20,8,4
2019-10-27,7,0
2019-11-03,8,0
2019-11-10,10,0
2019-11-17,14,3
2019-11-24,10,3
2019-12-01,13,4
2019-12-08,15,4
2019-12-15,16,4
2019-12-22,20,7
2019-12-29,24,5
2020-01-05,34,9
2020-01-12,49,12
2020-01-19,67,16
2020-01-26,69,17
2020-02-02,70,16
2020-02-09,82,18
2020-02-16,81,20
2020-02-23,86,22
2020-03-01,88,22
2020-03-08,100,23
2020-03-15,93,23
2020-03-22,82,19
2020-03-29,68,16
2020-04-05,65,14
2020-04-12,54,10
2020-04-19,47,8
2020-04-26,47,10
2020-05-03,33,6
2020-05-10,25,6
2020-05-17,30,7
2020-05-24,21,4
2020-05-31,19,4
2020-06-07,19,5
2020-06-14,22,5
2020-06-21,20,5
2020-06-28,13,5
2020-07-05,18,5
2020-07-12,18,5
2020-07-19,17,4
2020-07-26,18,6
2020-08-02,11,3
2020-08-09,11,4
2020-08-16,10,3
2020-08-23,8,0
2020-08-30,11,0
2020-09-06,12,3
2020-09-13,9,2
2020-09-20,12,2
2020-09-27,8,0
2020-10-04,7,3
2020-10-11,6,0
2020-10-18,8,0
2020-10-25,9,3
2020-11-01,8,4
2020-11-08,11,0
2020-11-15,13,3
2020-11-22,13,5
2020-11-29,11,4
2020-12-06,13,3
2020-12-13,13,6
2020-12-20,15,7
2020-12-27,14,5
2021-01-03,14,5
2021-01-10,16,6
2021-01-17,15,5
2021-01-24,18,6
2021-01-31,27,7
2021-02-07,26,11
2021-02-14,28,9
2021-02-21,25,6
2021-02-28,30,12
2021-03-07,31,12
2021-03-14,31,7
2021-03-21,31,11
2021-03-28,30,11
2021-04-04,27,7
2021-04-11,23,8
2021-04-18,27,6
2021-04-25,26,5
2021-05-02,19,5
2021-05-09,21,6
2021-05-16,22,7
2021-05-23,18,6
2021-05-30,20,6
2021-06-06,12,3
2021-06-13,15,4
2021-06-20,11,3
2021-06-27,4,0
2021-07-04,7,0
2021-07-11,7,2
2021-07-18,6,0
2021-07-25,6,0
2021-08-01,6,0
2021-08-08,6,0
2021-08-15,5,0
2021-08-22,6,0
2021-08-29,7,0
2021-09-05,4,0
2021-09-12,5,0
2021-09-19,6,0
2021-09-26,7,0
2021-10-03,5,0
