Categoria: Todas as categorias

Semana,dengue: (Tocantins),sintomas dengue: (Tocantins)
2019-09-22,0,0
2019-09-29,8,0
2019-10-06,7,0
2019-10-13,0,0
2019-10-20,6,0
2019-10-27,8,0
2019-11-03,8,0
2019-11-10,9,0
2019-11-17,10,0
2019-11-24,10,0
2019-12-01,11,0
2019-12-08,11,0
2019-12-15,8,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,6,0
2020-01-12,7,0
2020-01-19,8,0
2020-01-26,5,0
2020-02-02,7,0
2020-02-09,7,0
2020-02-16,13,6
2020-02-23,13,0
2020-03-01,11,0
2020-03-08,17,0
2020-03-15,20,0
2020-03-22,18,0
2020-03-29,9,0
2020-04-05,8,0
2020-04-12,10,0
2020-04-19,12,0
2020-04-26,10,0
2020-05-03,8,0
2020-05-10,7,0
2020-05-17,8,0
2020-05-24,10,0
2020-05-31,7,0
2020-06-07,0,0
2020-06-14,8,0
2020-06-21,6,0
2020-06-28,0,0
2020-07-05,4,0
2020-07-12,7,0
2020-07-19,5,0
2020-07-26,7,0
2020-08-02,5,0
2020-08-09,6,0
2020-08-16,0,0
2020-08-23,5,0
2020-08-30,0,0
2020-09-06,4,0
2020-09-13,0,0
2020-09-20,8,0
2020-09-27,0,0
2020-10-04,0,0
2020-10-11,0,0
2020-10-18,5,0
2020-10-25,0,0
2020-11-01,5,0
2020-11-08,0,0
2020-11-15,0,0
2020-11-22,0,0
2020-11-29,6,0
2020-12-06,0,0
2020-12-13,0,0
2020-12-20,0,0
2020-12-27,0,0
2021-01-03,7,5
2021-01-10,0,0
2021-01-17,6,0
2021-01-24,5,0
2021-01-31,5,0
2021-02-07,10,0
2021-02-14,5,0
2021-02-21,9,0
2021-02-28,9,0
2021-03-07,13,0
2021-03-14,9,0
2021-03-21,9,0
2021-03-28,10,0
2021-04-04,4,0
2021-04-11,7,0
2021-04-18,8,0
2021-04-25,8,0
2021-05-02,9,0
2021-05-09,18,0
2021-05-16,27,5
2021-05-23,29,5
2021-05-30,28,6
2021-06-06,21,4
2021-06-13,16,0
2021-06-20,9,0
2021-06-27,12,0
2021-07-04,9,0
2021-07-11,8,0
2021-07-18,0,0
2021-07-25,5,0
2021-08-01,9,0
2021-08-08,11,0
2021-08-15,8,0
2021-08-22,14,0
2021-08-29,11,0
2021-09-05,12,0
2021-09-12,7,0
2021-09-19,0,0
2021-09-26,10,0
2021-10-03,6,0
2021-10-10,8,0
2021-10-17,12,0
2021-10-24,8,5
2021-10-31,10,0
2021-11-07,11,0
2021-11-14,16,0
2021-11-21,26,5
2021-11-28,30,8
2021-12-05,39,10
2021-12-12,44,12
2021-12-19,55,12
2021-12-26,68,21
2022-01-02,100,29
2022-01-09,78,22
2022-01-16,76,21
2022-01-23,66,21
2022-01-30,51,14
2022-02-06,50,14
2022-02-13,39,13
2022-02-20,33,7
2022-02-27,28,6
2022-03-06,32,8
2022-03-13,48,10
2022-03-20,51,9
2022-03-27,45,8
2022-04-03,42,10
2022-04-10,33,8
2022-04-17,34,9
2022-04-24,37,7
2022-05-01,44,8
2022-05-08,42,8
2022-05-15,38,8
2022-05-22,32,6
2022-05-29,26,8
2022-06-05,26,7
2022-06-12,20,6
2022-06-19,22,4
2022-06-26,14,4
2022-07-03,11,4
2022-07-10,14,4
2022-07-17,9,0
2022-07-24,7,0
2022-07-31,6,0
2022-08-07,8,0
2022-08-14,6,4
2022-08-21,8,0
2022-08-28,8,0
2022-09-04,5,0
2022-09-11,7,0
2022-09-18,8,0
2022-09-25,8,0
2022-10-02,3,0
2022-10-09,6,0
2022-10-16,7,0
2022-10-23,7,0
2022-10-30,7,0
2022-11-06,11,0
2022-11-13,8,0
2022-11-20,12,0
2022-11-27,9,4
2022-12-04,11,4
2022-12-11,10,0
2022-12-18,9,0
2022-12-25,11,5
2023-01-01,16,4
2023-01-08,9,4
2023-01-15,14,4
2023-01-22,17,5
2023-01-29,15,4
2023-02-05,12,3
2023-02-12,16,4
2023-02-19,21,0
2023-02-26,15,0
2023-03-05,20,7
2023-03-12,19,5
2023-03-19,26,5
2023-03-26,26,5
2023-04-02,25,7
2023-04-09,29,7
2023-04-16,23,7
2023-04-23,25,7
2023-04-30,26,4
2023-05-07,22,4
2023-05-14,22,4
2023-05-21,20,5
2023-05-28,18,0
2023-06-04,11,0
2023-06-11,11,0
2023-06-18,9,0
2023-06-25,9,0
2023-07-02,7,0
2023-07-09,6,0
2023-07-16,5,0
2023-07-23,0,0
2023-07-30,4,0
2023-08-06,4,0
2023-08-13,7,0
2023-08-20,6,0
2023-08-27,6,0
2023-09-03,4,0
2023-09-10,3,0
2023-09-17,6,0
2023-09-24,5,0
2023-10-01,5,0
2023-10-08,5,0
2023-10-15,6,0
2023-10-22,6,0
2023-10-29,6,0
2023-11-05,6,0
2023-11-12,5,0
2023-11-19,7,0
2023-11-26,7,0
2023-12-03,8,0
2023-12-10,5,0
2023-12-17,5,0
2023-12-24,8,0
2023-12-31,7,0
2024-01-07,10,0
2024-01-14,6,0
2024-01-21,14,0
2024-01-28,23,7
2024-02-04,38,7
2024-02-11,47,9
2024-02-18,53,11
2024-02-25,57,10
2024-03-03,55,10
2024-03-10,42,6
2024-03-17,50,8
2024-03-24,34,5
2024-03-31,43,8
2024-04-07,43,9
2024-04-14,46,10
2024-04-21,42,6
2024-04-28,33,6
2024-05-05,34,4
2024-05-12,25,5
2024-05-19,19,4
2024-05-26,12,0
2024-06-02,18,0
2024-06-09,11,0
2024-06-16,8,0
2024-06-23,10,0
2024-06-30,7,0
2024-07-07,6,0
2024-07-14,7,0
2024-07-21,7,0
2024-07-28,6,0
2024-08-04,6,0
2024-08-11,8,0
2024-08-18,4,0
2024-08-25,9,0
2024-09-01,8,0
2024-09-08,7,0
2024-09-15,0,0
2024-09-22,5,0
