Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte)
2019-09-29,9,0
2019-10-06,7,3
2019-10-13,8,0
2019-10-20,8,0
2019-10-27,6,0
2019-11-03,7,0
2019-11-10,7,0
2019-11-17,6,0
2019-11-24,7,0
2019-12-01,5,0
2019-12-08,5,0
2019-12-15,3,0
2019-12-22,3,0
2019-12-29,4,0
2020-01-05,5,0
2020-01-12,6,0
2020-01-19,8,3
2020-01-26,8,0
2020-02-02,10,3
2020-02-09,9,0
2020-02-16,10,0
2020-02-23,13,3
2020-03-01,14,4
2020-03-08,23,3
2020-03-15,24,4
2020-03-22,21,4
2020-03-29,16,3
2020-04-05,18,3
2020-04-12,14,2
2020-04-19,14,4
2020-04-26,16,4
2020-05-03,13,4
2020-05-10,19,7
2020-05-17,19,8
2020-05-24,21,7
2020-05-31,19,6
2020-06-07,19,6
2020-06-14,18,6
2020-06-21,16,5
2020-06-28,15,5
2020-07-05,17,5
2020-07-12,15,3
2020-07-19,12,3
2020-07-26,10,3
2020-08-02,9,2
2020-08-09,8,2
2020-08-16,5,0
2020-08-23,7,0
2020-08-30,5,0
2020-09-06,6,0
2020-09-13,6,0
2020-09-20,3,0
2020-09-27,3,0
2020-10-04,4,0
2020-10-11,3,0
2020-10-18,4,0
2020-10-25,4,0
2020-11-01,4,0
2020-11-08,4,0
2020-11-15,4,0
2020-11-22,4,0
2020-11-29,6,3
2020-12-06,6,0
2020-12-13,6,0
2020-12-20,5,0
2020-12-27,0,0
2021-01-03,4,0
2021-01-10,4,0
2021-01-17,3,0
2021-01-24,4,0
2021-01-31,5,0
2021-02-07,5,0
2021-02-14,6,0
2021-02-21,8,0
2021-02-28,6,0
2021-03-07,7,2
2021-03-14,6,0
2021-03-21,9,2
2021-03-28,8,2
2021-04-04,8,0
2021-04-11,8,0
2021-04-18,11,3
2021-04-25,10,2
2021-05-02,9,0
2021-05-09,9,3
2021-05-16,11,3
2021-05-23,13,3
2021-05-30,12,0
2021-06-06,10,3
2021-06-13,10,3
2021-06-20,7,0
2021-06-27,8,0
2021-07-04,7,0
2021-07-11,7,0
2021-07-18,7,0
2021-07-25,6,3
2021-08-01,7,0
2021-08-08,6,0
2021-08-15,5,0
2021-08-22,5,0
2021-08-29,5,0
2021-09-05,5,0
2021-09-12,6,0
2021-09-19,3,0
2021-09-26,6,0
2021-10-03,6,0
2021-10-10,3,0
2021-10-17,6,0
2021-10-24,3,0
2021-10-31,3,0
2021-11-07,6,0
2021-11-14,6,0
2021-11-21,5,0
2021-11-28,6,0
2021-12-05,3,0
2021-12-12,4,0
2021-12-19,4,0
2021-12-26,5,0
2022-01-02,10,3
2022-01-09,8,0
2022-01-16,7,0
2022-01-23,8,0
2022-01-30,7,3
2022-02-06,6,0
2022-02-13,6,0
2022-02-20,9,0
2022-02-27,8,2
2022-03-06,12,3
2022-03-13,17,4
2022-03-20,22,6
2022-03-27,26,8
2022-04-03,33,10
2022-04-10,40,13
2022-04-17,63,24
2022-04-24,84,24
2022-05-01,77,22
2022-05-08,79,27
2022-05-15,100,32
2022-05-22,97,26
2022-05-29,91,28
2022-06-05,84,29
2022-06-12,86,30
2022-06-19,72,23
2022-06-26,62,21
2022-07-03,56,20
2022-07-10,49,14
2022-07-17,41,12
2022-07-24,40,11
2022-07-31,34,10
2022-08-07,28,8
2022-08-14,28,6
2022-08-21,20,7
2022-08-28,17,4
2022-09-04,15,3
2022-09-11,10,3
2022-09-18,14,5
2022-09-25,8,3
2022-10-02,8,2
2022-10-09,8,0
2022-10-16,8,0
2022-10-23,6,0
2022-10-30,7,0
2022-11-06,7,2
2022-11-13,7,2
2022-11-20,8,0
2022-11-27,8,0
2022-12-04,8,0
2022-12-11,6,0
2022-12-18,4,0
2022-12-25,6,0
2023-01-01,5,0
2023-01-08,5,0
2023-01-15,5,0
2023-01-22,4,0
2023-01-29,6,0
2023-02-05,6,0
2023-02-12,7,0
2023-02-19,6,2
2023-02-26,9,0
2023-03-05,10,2
2023-03-12,10,2
2023-03-19,14,4
2023-03-26,20,5
2023-04-02,18,7
2023-04-09,18,6
2023-04-16,21,7
2023-04-23,19,7
2023-04-30,16,4
2023-05-07,14,3
2023-05-14,13,0
2023-05-21,12,3
2023-05-28,10,3
2023-06-04,9,0
2023-06-11,10,0
2023-06-18,10,0
2023-06-25,10,2
2023-07-02,12,0
2023-07-09,9,3
2023-07-16,10,0
2023-07-23,6,0
2023-07-30,6,3
2023-08-06,6,0
2023-08-13,6,0
2023-08-20,6,0
2023-08-27,7,0
2023-09-03,7,0
2023-09-10,6,0
2023-09-17,4,0
2023-09-24,7,0
2023-10-01,7,0
2023-10-08,6,0
2023-10-15,8,0
2023-10-22,6,0
2023-10-29,4,0
2023-11-05,7,0
2023-11-12,6,0
2023-11-19,5,0
2023-11-26,8,0
2023-12-03,5,0
2023-12-10,6,2
2023-12-17,9,3
2023-12-24,8,0
2023-12-31,7,2
2024-01-07,7,3
2024-01-14,12,3
2024-01-21,13,0
2024-01-28,19,5
2024-02-04,33,9
2024-02-11,53,15
2024-02-18,83,21
2024-02-25,89,21
2024-03-03,97,22
2024-03-10,88,19
2024-03-17,91,18
2024-03-24,61,14
2024-03-31,70,16
2024-04-07,68,12
2024-04-14,65,15
2024-04-21,62,14
2024-04-28,44,10
2024-05-05,29,8
2024-05-12,28,6
2024-05-19,26,4
2024-05-26,20,5
2024-06-02,18,0
2024-06-09,19,4
2024-06-16,17,5
2024-06-23,13,3
2024-06-30,14,0
2024-07-07,12,2
2024-07-14,16,0
2024-07-21,13,3
2024-07-28,8,0
2024-08-04,10,0
2024-08-11,9,0
2024-08-18,9,3
2024-08-25,7,0
2024-09-01,8,3
2024-09-08,8,0
2024-09-15,7,3
2024-09-22,7,1
2024-09-29,6,1
