Categoria: Todas as categorias

Semana,dengue: (Paraná),sintomas dengue: (Paraná)
2019-11-17,5,2
2019-11-24,4,1
2019-12-01,5,1
2019-12-08,5,2
2019-12-15,6,2
2019-12-22,7,2
2019-12-29,7,3
2020-01-05,10,3
2020-01-12,15,4
2020-01-19,20,5
2020-01-26,28,7
2020-02-02,30,7
2020-02-09,50,13
2020-02-16,56,16
2020-02-23,53,15
2020-03-01,51,15
2020-03-08,59,16
2020-03-15,54,17
2020-03-22,43,12
2020-03-29,38,9
2020-04-05,33,7
2020-04-12,26,6
2020-04-19,24,6
2020-04-26,22,5
2020-05-03,18,4
2020-05-10,16,3
2020-05-17,13,3
2020-05-24,9,2
2020-05-31,8,2
2020-06-07,8,2
2020-06-14,7,2
2020-06-21,8,2
2020-06-28,5,1
2020-07-05,6,1
2020-07-12,5,1
2020-07-19,5,2
2020-07-26,4,1
2020-08-02,3,1
2020-08-09,4,1
2020-08-16,3,1
2020-08-23,3,1
2020-08-30,3,1
2020-09-06,4,1
2020-09-13,4,1
2020-09-20,5,1
2020-09-27,4,1
2020-10-04,4,1
2020-10-11,3,1
2020-10-18,4,1
2020-10-25,4,1
2020-11-01,5,1
2020-11-08,4,1
2020-11-15,4,1
2020-11-22,4,1
2020-11-29,4,1
2020-12-06,4,1
2020-12-13,4,1
2020-12-20,4,2
2020-12-27,6,2
2021-01-03,6,2
2021-01-10,6,1
2021-01-17,4,1
2021-01-24,5,2
2021-01-31,7,2
2021-02-07,6,2
2021-02-14,7,2
2021-02-21,7,3
2021-02-28,7,2
2021-03-07,8,3
2021-03-14,11,3
2021-03-21,12,3
2021-03-28,11,3
2021-04-04,11,3
2021-04-11,12,3
2021-04-18,10,3
2021-04-25,10,2
2021-05-02,8,2
2021-05-09,7,2
2021-05-16,7,2
2021-05-23,6,2
2021-05-30,5,1
2021-06-06,4,1
2021-06-13,3,1
2021-06-20,3,1
2021-06-27,2,<1
2021-07-04,3,1
2021-07-11,2,1
2021-07-18,2,<1
2021-07-25,1,<1
2021-08-01,2,<1
2021-08-08,2,<1
2021-08-15,2,1
2021-08-22,2,<1
2021-08-29,2,<1
2021-09-05,3,1
2021-09-12,2,<1
2021-09-19,2,1
2021-09-26,2,1
2021-10-03,2,<1
2021-10-10,2,<1
2021-10-17,2,<1
2021-10-24,2,<1
2021-10-31,2,1
2021-11-07,3,<1
2021-11-14,2,<1
2021-11-21,3,1
2021-11-28,2,<1
2021-12-05,2,<1
2021-12-12,2,1
2021-12-19,2,<1
2021-12-26,2,1
2022-01-02,4,2
2022-01-09,5,2
2022-01-16,5,3
2022-01-23,5,2
2022-01-30,5,2
2022-02-06,4,1
2022-02-13,5,1
2022-02-20,6,2
2022-02-27,8,2
2022-03-06,12,3
2022-03-13,17,5
2022-03-20,20,5
2022-03-27,24,7
2022-04-03,26,7
2022-04-10,27,8
2022-04-17,33,10
2022-04-24,38,12
2022-05-01,33,10
2022-05-08,35,11
2022-05-15,25,7
2022-05-22,23,8
2022-05-29,14,4
2022-06-05,12,4
2022-06-12,9,3
2022-06-19,10,3
2022-06-26,8,3
2022-07-03,7,3
2022-07-10,5,2
2022-07-17,5,2
2022-07-24,5,2
2022-07-31,4,1
2022-08-07,4,1
2022-08-14,4,1
2022-08-21,4,1
2022-08-28,3,1
2022-09-04,3,1
2022-09-11,4,1
2022-09-18,4,1
2022-09-25,3,1
2022-10-02,3,1
2022-10-09,3,1
2022-10-16,3,1
2022-10-23,4,1
2022-10-30,3,1
2022-11-06,4,1
2022-11-13,4,1
2022-11-20,4,1
2022-11-27,4,1
2022-12-04,5,1
2022-12-11,5,2
2022-12-18,4,1
2022-12-25,5,2
2023-01-01,4,2
2023-01-08,4,1
2023-01-15,4,1
2023-01-22,5,1
2023-01-29,5,1
2023-02-05,6,1
2023-02-12,7,2
2023-02-19,7,2
2023-02-26,11,2
2023-03-05,14,3
2023-03-12,17,5
2023-03-19,24,7
2023-03-26,32,9
2023-04-02,32,9
2023-04-09,35,10
2023-04-16,35,8
2023-04-23,32,9
2023-04-30,31,8
2023-05-07,30,8
2023-05-14,27,7
2023-05-21,21,6
2023-05-28,14,4
2023-06-04,12,3
2023-06-11,9,2
2023-06-18,8,2
2023-06-25,8,2
2023-07-02,8,2
2023-07-09,5,1
2023-07-16,4,1
2023-07-23,4,1
2023-07-30,4,1
2023-08-06,3,1
2023-08-13,4,1
2023-08-20,4,1
2023-08-27,4,1
2023-09-03,3,1
2023-09-10,4,1
2023-09-17,4,1
2023-09-24,4,1
2023-10-01,4,1
2023-10-08,4,1
2023-10-15,5,1
2023-10-22,4,1
2023-10-29,4,1
2023-11-05,6,1
2023-11-12,5,1
2023-11-19,5,1
2023-11-26,6,2
2023-12-03,6,2
2023-12-10,8,2
2023-12-17,8,2
2023-12-24,10,3
2023-12-31,13,3
2024-01-07,18,5
2024-01-14,20,5
2024-01-21,27,6
2024-01-28,38,8
2024-02-04,47,11
2024-02-11,55,14
2024-02-18,82,17
2024-02-25,92,20
2024-03-03,91,20
2024-03-10,96,21
2024-03-17,96,19
2024-03-24,95,19
2024-03-31,100,22
2024-04-07,94,18
2024-04-14,81,15
2024-04-21,85,17
2024-04-28,72,17
2024-05-05,65,14
2024-05-12,53,11
2024-05-19,47,8
2024-05-26,27,5
2024-06-02,24,5
2024-06-09,22,5
2024-06-16,19,4
2024-06-23,15,3
2024-06-30,12,3
2024-07-07,7,1
2024-07-14,6,1
2024-07-21,7,2
2024-07-28,6,2
2024-08-04,6,1
2024-08-11,5,1
2024-08-18,7,2
2024-08-25,5,1
2024-09-01,6,1
2024-09-08,6,1
2024-09-15,5,1
2024-09-22,5,1
2024-09-29,5,1
2024-10-06,5,1
2024-10-13,6,1
2024-10-20,6,1
2024-10-27,6,1
2024-11-03,5,1
2024-11-10,5,1
2024-11-17,7,1
