Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso)
2019-11-24,13,0
2019-12-01,14,4
2019-12-08,20,4
2019-12-15,17,5
2019-12-22,17,5
2019-12-29,22,7
2020-01-05,32,9
2020-01-12,42,11
2020-01-19,44,9
2020-01-26,39,8
2020-02-02,44,9
2020-02-09,45,10
2020-02-16,46,9
2020-02-23,45,11
2020-03-01,49,13
2020-03-08,66,17
2020-03-15,82,23
2020-03-22,63,14
2020-03-29,43,12
2020-04-05,41,9
2020-04-12,40,10
2020-04-19,36,7
2020-04-26,36,9
2020-05-03,34,8
2020-05-10,35,8
2020-05-17,27,6
2020-05-24,32,8
2020-05-31,32,10
2020-06-07,31,12
2020-06-14,34,14
2020-06-21,34,12
2020-06-28,31,10
2020-07-05,24,9
2020-07-12,19,6
2020-07-19,19,7
2020-07-26,15,5
2020-08-02,15,4
2020-08-09,14,4
2020-08-16,13,2
2020-08-23,10,0
2020-08-30,7,0
2020-09-06,7,3
2020-09-13,5,0
2020-09-20,10,0
2020-09-27,8,0
2020-10-04,6,3
2020-10-11,6,0
2020-10-18,7,0
2020-10-25,7,0
2020-11-01,8,0
2020-11-08,8,0
2020-11-15,5,0
2020-11-22,10,2
2020-11-29,11,3
2020-12-06,9,3
2020-12-13,14,3
2020-12-20,10,4
2020-12-27,16,6
2021-01-03,18,8
2021-01-10,19,7
2021-01-17,19,8
2021-01-24,18,7
2021-01-31,22,7
2021-02-07,22,7
2021-02-14,20,7
2021-02-21,23,8
2021-02-28,26,8
2021-03-07,29,9
2021-03-14,30,9
2021-03-21,31,13
2021-03-28,25,6
2021-04-04,28,9
2021-04-11,28,9
2021-04-18,26,6
2021-04-25,21,6
2021-05-02,21,5
2021-05-09,23,6
2021-05-16,24,4
2021-05-23,22,7
2021-05-30,24,5
2021-06-06,21,4
2021-06-13,16,4
2021-06-20,17,3
2021-06-27,11,0
2021-07-04,12,3
2021-07-11,12,2
2021-07-18,8,0
2021-07-25,9,3
2021-08-01,7,0
2021-08-08,12,2
2021-08-15,8,0
2021-08-22,10,4
2021-08-29,10,3
2021-09-05,9,0
2021-09-12,8,0
2021-09-19,9,0
2021-09-26,8,0
2021-10-03,6,0
2021-10-10,8,0
2021-10-17,9,0
2021-10-24,11,0
2021-10-31,7,2
2021-11-07,11,0
2021-11-14,12,3
2021-11-21,16,5
2021-11-28,21,4
2021-12-05,23,6
2021-12-12,33,9
2021-12-19,36,9
2021-12-26,42,13
2022-01-02,47,15
2022-01-09,41,12
2022-01-16,47,16
2022-01-23,51,13
2022-01-30,36,9
2022-02-06,33,10
2022-02-13,32,8
2022-02-20,34,8
2022-02-27,34,7
2022-03-06,32,6
2022-03-13,36,8
2022-03-20,37,9
2022-03-27,36,8
2022-04-03,43,10
2022-04-10,40,10
2022-04-17,47,12
2022-04-24,45,11
2022-05-01,38,9
2022-05-08,38,10
2022-05-15,32,9
2022-05-22,31,9
2022-05-29,27,8
2022-06-05,25,7
2022-06-12,23,7
2022-06-19,26,8
2022-06-26,28,7
2022-07-03,21,10
2022-07-10,21,7
2022-07-17,15,5
2022-07-24,14,5
2022-07-31,13,4
2022-08-07,6,2
2022-08-14,10,2
2022-08-21,12,4
2022-08-28,11,3
2022-09-04,11,0
2022-09-11,9,0
2022-09-18,10,3
2022-09-25,9,3
2022-10-02,11,2
2022-10-09,10,2
2022-10-16,10,5
2022-10-23,14,3
2022-10-30,10,4
2022-11-06,14,4
2022-11-13,16,4
2022-11-20,13,4
2022-11-27,14,3
2022-12-04,15,5
2022-12-11,23,7
2022-12-18,15,4
2022-12-25,23,7
2023-01-01,22,6
2023-01-08,24,7
2023-01-15,26,7
2023-01-22,24,7
2023-01-29,28,7
2023-02-05,30,7
2023-02-12,33,9
2023-02-19,39,12
2023-02-26,40,11
2023-03-05,34,10
2023-03-12,42,11
2023-03-19,43,14
2023-03-26,67,22
2023-04-02,57,19
2023-04-09,55,17
2023-04-16,52,13
2023-04-23,51,15
2023-04-30,43,13
2023-05-07,35,9
2023-05-14,38,11
2023-05-21,35,10
2023-05-28,30,7
2023-06-04,25,6
2023-06-11,20,4
2023-06-18,19,4
2023-06-25,14,3
2023-07-02,21,4
2023-07-09,15,3
2023-07-16,12,3
2023-07-23,10,4
2023-07-30,15,4
2023-08-06,11,3
2023-08-13,11,3
2023-08-20,14,0
2023-08-27,11,0
2023-09-03,11,0
2023-09-10,11,3
2023-09-17,11,3
2023-09-24,11,0
2023-10-01,16,4
2023-10-08,8,3
2023-10-15,11,3
2023-10-22,10,3
2023-10-29,12,3
2023-11-05,12,0
2023-11-12,12,5
2023-11-19,12,3
2023-11-26,13,4
2023-12-03,13,3
2023-12-10,12,4
2023-12-17,17,5
2023-12-24,19,5
2023-12-31,22,6
2024-01-07,29,7
2024-01-14,34,8
2024-01-21,41,10
2024-01-28,52,11
2024-02-04,64,13
2024-02-11,92,23
2024-02-18,95,23
2024-02-25,100,18
2024-03-03,83,15
2024-03-10,78,17
2024-03-17,80,16
2024-03-24,71,15
2024-03-31,82,20
2024-04-07,90,20
2024-04-14,89,19
2024-04-21,95,22
2024-04-28,93,19
2024-05-05,90,21
2024-05-12,74,15
2024-05-19,62,11
2024-05-26,48,10
2024-06-02,41,9
2024-06-09,41,8
2024-06-16,36,4
2024-06-23,31,4
2024-06-30,25,6
2024-07-07,18,5
2024-07-14,18,4
2024-07-21,18,6
2024-07-28,19,4
2024-08-04,15,3
2024-08-11,17,3
2024-08-18,12,4
2024-08-25,17,3
2024-09-01,14,3
2024-09-08,13,0
2024-09-15,14,0
2024-09-22,12,0
2024-09-29,11,0
2024-10-06,10,3
2024-10-13,10,0
2024-10-20,13,0
2024-10-27,10,0
2024-11-03,13,3
2024-11-10,14,3
2024-11-17,17,3
2024-11-24,16,3
