Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Sul),sintomas dengue: (Rio Grande do Sul)
2019-12-08,2,1
2019-12-15,2,1
2019-12-22,3,1
2019-12-29,3,1
2020-01-05,3,1
2020-01-12,4,1
2020-01-19,4,1
2020-01-26,4,1
2020-02-02,4,1
2020-02-09,5,1
2020-02-16,6,2
2020-02-23,8,2
2020-03-01,8,2
2020-03-08,11,3
2020-03-15,14,4
2020-03-22,12,3
2020-03-29,13,3
2020-04-05,10,2
2020-04-12,10,2
2020-04-19,10,3
2020-04-26,10,3
2020-05-03,7,2
2020-05-10,8,2
2020-05-17,7,1
2020-05-24,5,1
2020-05-31,6,1
2020-06-07,5,1
2020-06-14,4,1
2020-06-21,4,1
2020-06-28,3,<1
2020-07-05,3,0
2020-07-12,3,1
2020-07-19,3,1
2020-07-26,1,<1
2020-08-02,2,<1
2020-08-09,2,<1
2020-08-16,2,<1
2020-08-23,2,0
2020-08-30,2,<1
2020-09-06,1,0
2020-09-13,2,0
2020-09-20,2,0
2020-09-27,2,0
2020-10-04,2,<1
2020-10-11,1,<1
2020-10-18,2,<1
2020-10-25,2,0
2020-11-01,2,<1
2020-11-08,2,<1
2020-11-15,2,<1
2020-11-22,2,<1
2020-11-29,2,1
2020-12-06,2,1
2020-12-13,2,<1
2020-12-20,2,<1
2020-12-27,2,1
2021-01-03,3,1
2021-01-10,2,<1
2021-01-17,2,1
2021-01-24,2,1
2021-01-31,3,1
2021-02-07,3,1
2021-02-14,3,1
2021-02-21,4,1
2021-02-28,4,1
2021-03-07,4,1
2021-03-14,5,1
2021-03-21,5,2
2021-03-28,7,2
2021-04-04,10,3
2021-04-11,11,3
2021-04-18,11,3
2021-04-25,10,2
2021-05-02,8,2
2021-05-09,7,2
2021-05-16,5,1
2021-05-23,5,1
2021-05-30,4,1
2021-06-06,4,1
2021-06-13,2,1
2021-06-20,3,1
2021-06-27,2,<1
2021-07-04,1,0
2021-07-11,2,<1
2021-07-18,1,0
2021-07-25,1,0
2021-08-01,1,<1
2021-08-08,2,0
2021-08-15,1,0
2021-08-22,2,0
2021-08-29,2,<1
2021-09-05,1,0
2021-09-12,2,0
2021-09-19,1,1
2021-09-26,2,0
2021-10-03,2,0
2021-10-10,1,0
2021-10-17,1,0
2021-10-24,1,0
2021-10-31,1,0
2021-11-07,2,0
2021-11-14,1,0
2021-11-21,2,<1
2021-11-28,2,0
2021-12-05,1,0
2021-12-12,1,0
2021-12-19,1,0
2021-12-26,2,1
2022-01-02,3,1
2022-01-09,3,1
2022-01-16,4,1
2022-01-23,2,1
2022-01-30,3,1
2022-02-06,2,1
2022-02-13,3,1
2022-02-20,4,1
2022-02-27,8,3
2022-03-06,13,5
2022-03-13,26,8
2022-03-20,40,14
2022-03-27,43,16
2022-04-03,45,18
2022-04-10,47,20
2022-04-17,65,29
2022-04-24,72,29
2022-05-01,50,21
2022-05-08,54,23
2022-05-15,39,16
2022-05-22,37,15
2022-05-29,22,9
2022-06-05,17,7
2022-06-12,11,5
2022-06-19,9,4
2022-06-26,9,3
2022-07-03,7,3
2022-07-10,6,3
2022-07-17,5,2
2022-07-24,5,2
2022-07-31,4,1
2022-08-07,3,1
2022-08-14,4,1
2022-08-21,4,1
2022-08-28,3,1
2022-09-04,3,1
2022-09-11,2,1
2022-09-18,2,1
2022-09-25,3,1
2022-10-02,3,1
2022-10-09,2,1
2022-10-16,3,1
2022-10-23,3,1
2022-10-30,2,1
2022-11-06,3,1
2022-11-13,4,1
2022-11-20,3,1
2022-11-27,3,1
2022-12-04,4,1
2022-12-11,4,1
2022-12-18,4,1
2022-12-25,5,2
2023-01-01,4,2
2023-01-08,4,1
2023-01-15,4,1
2023-01-22,4,1
2023-01-29,3,1
2023-02-05,5,2
2023-02-12,5,2
2023-02-19,4,2
2023-02-26,8,3
2023-03-05,11,4
2023-03-12,15,6
2023-03-19,17,7
2023-03-26,23,9
2023-04-02,25,10
2023-04-09,31,12
2023-04-16,32,12
2023-04-23,39,15
2023-04-30,34,15
2023-05-07,32,12
2023-05-14,37,13
2023-05-21,36,15
2023-05-28,23,9
2023-06-04,20,8
2023-06-11,11,4
2023-06-18,10,3
2023-06-25,10,3
2023-07-02,11,4
2023-07-09,6,2
2023-07-16,4,2
2023-07-23,4,1
2023-07-30,5,1
2023-08-06,3,1
2023-08-13,3,1
2023-08-20,4,1
2023-08-27,3,1
2023-09-03,2,1
2023-09-10,3,1
2023-09-17,3,1
2023-09-24,3,1
2023-10-01,4,1
2023-10-08,3,1
2023-10-15,3,1
2023-10-22,3,2
2023-10-29,3,1
2023-11-05,4,1
2023-11-12,4,1
2023-11-19,4,1
2023-11-26,5,2
2023-12-03,4,2
2023-12-10,5,2
2023-12-17,5,2
2023-12-24,6,2
2023-12-31,6,2
2024-01-07,8,2
2024-01-14,8,3
2024-01-21,14,4
2024-01-28,22,6
2024-02-04,58,15
2024-02-11,57,17
2024-02-18,81,25
2024-02-25,92,29
2024-03-03,98,29
2024-03-10,100,30
2024-03-17,93,25
2024-03-24,89,25
2024-03-31,99,25
2024-04-07,92,22
2024-04-14,92,22
2024-04-21,95,24
2024-04-28,69,16
2024-05-05,56,15
2024-05-12,55,13
2024-05-19,40,10
2024-05-26,23,7
2024-06-02,24,7
2024-06-09,23,8
2024-06-16,19,5
2024-06-23,15,4
2024-06-30,11,3
2024-07-07,7,2
2024-07-14,7,2
2024-07-21,8,3
2024-07-28,6,2
2024-08-04,6,2
2024-08-11,5,2
2024-08-18,4,1
2024-08-25,5,1
2024-09-01,5,1
2024-09-08,6,1
2024-09-15,4,1
2024-09-22,6,2
2024-09-29,5,1
2024-10-06,4,1
2024-10-13,6,2
2024-10-20,6,2
2024-10-27,5,2
2024-11-03,5,1
2024-11-10,6,1
2024-11-17,6,1
2024-11-24,5,1
2024-12-01,5,1
2024-12-08,5,1
