Categoria: Todas as categorias

Semana,dengue: (Pará),sintomas dengue: (Pará)
2020-01-05,9,3
2020-01-12,13,4
2020-01-19,13,3
2020-01-26,14,4
2020-02-02,18,5
2020-02-09,18,5
2020-02-16,22,6
2020-02-23,21,7
2020-03-01,22,6
2020-03-08,27,7
2020-03-15,32,9
2020-03-22,28,6
2020-03-29,17,4
2020-04-05,20,5
2020-04-12,23,8
2020-04-19,21,8
2020-04-26,21,8
2020-05-03,13,2
2020-05-10,15,6
2020-05-17,12,3
2020-05-24,13,4
2020-05-31,12,3
2020-06-07,11,3
2020-06-14,7,0
2020-06-21,7,2
2020-06-28,6,0
2020-07-05,5,0
2020-07-12,5,0
2020-07-19,4,0
2020-07-26,4,0
2020-08-02,4,0
2020-08-09,3,0
2020-08-16,4,0
2020-08-23,3,0
2020-08-30,5,0
2020-09-06,4,0
2020-09-13,4,0
2020-09-20,5,0
2020-09-27,4,0
2020-10-04,4,0
2020-10-11,3,0
2020-10-18,5,0
2020-10-25,6,0
2020-11-01,4,0
2020-11-08,6,0
2020-11-15,5,0
2020-11-22,5,0
2020-11-29,6,0
2020-12-06,7,0
2020-12-13,5,0
2020-12-20,6,0
2020-12-27,6,3
2021-01-03,7,2
2021-01-10,6,2
2021-01-17,7,2
2021-01-24,9,2
2021-01-31,9,2
2021-02-07,13,2
2021-02-14,10,2
2021-02-21,11,3
2021-02-28,12,3
2021-03-07,13,3
2021-03-14,17,4
2021-03-21,12,5
2021-03-28,9,2
2021-04-04,9,2
2021-04-11,10,3
2021-04-18,10,2
2021-04-25,8,2
2021-05-02,7,0
2021-05-09,8,0
2021-05-16,10,2
2021-05-23,11,2
2021-05-30,9,1
2021-06-06,9,2
2021-06-13,6,2
2021-06-20,8,0
2021-06-27,4,0
2021-07-04,5,0
2021-07-11,5,0
2021-07-18,5,0
2021-07-25,3,0
2021-08-01,4,0
2021-08-08,6,2
2021-08-15,7,0
2021-08-22,7,0
2021-08-29,6,0
2021-09-05,5,0
2021-09-12,5,0
2021-09-19,6,0
2021-09-26,4,0
2021-10-03,3,0
2021-10-10,4,0
2021-10-17,4,0
2021-10-24,4,0
2021-10-31,4,0
2021-11-07,7,2
2021-11-14,5,0
2021-11-21,8,2
2021-11-28,10,2
2021-12-05,10,2
2021-12-12,11,2
2021-12-19,13,3
2021-12-26,9,3
2022-01-02,15,2
2022-01-09,16,5
2022-01-16,17,6
2022-01-23,17,5
2022-01-30,14,3
2022-02-06,10,3
2022-02-13,9,2
2022-02-20,13,3
2022-02-27,11,2
2022-03-06,13,3
2022-03-13,16,2
2022-03-20,12,3
2022-03-27,14,3
2022-04-03,14,3
2022-04-10,12,3
2022-04-17,15,4
2022-04-24,17,5
2022-05-01,16,4
2022-05-08,17,4
2022-05-15,13,3
2022-05-22,12,3
2022-05-29,12,3
2022-06-05,11,2
2022-06-12,9,3
2022-06-19,10,2
2022-06-26,8,3
2022-07-03,8,2
2022-07-10,6,2
2022-07-17,6,2
2022-07-24,7,1
2022-07-31,5,0
2022-08-07,5,1
2022-08-14,7,2
2022-08-21,6,2
2022-08-28,6,1
2022-09-04,5,1
2022-09-11,6,0
2022-09-18,7,2
2022-09-25,6,2
2022-10-02,6,1
2022-10-09,5,0
2022-10-16,8,1
2022-10-23,7,2
2022-10-30,6,0
2022-11-06,8,2
2022-11-13,9,2
2022-11-20,7,2
2022-11-27,7,2
2022-12-04,9,2
2022-12-11,11,3
2022-12-18,8,2
2022-12-25,9,2
2023-01-01,9,2
2023-01-08,9,2
2023-01-15,9,2
2023-01-22,9,3
2023-01-29,12,2
2023-02-05,12,3
2023-02-12,13,4
2023-02-19,12,5
2023-02-26,15,4
2023-03-05,16,5
2023-03-12,24,7
2023-03-19,21,6
2023-03-26,26,7
2023-04-02,19,7
2023-04-09,17,5
2023-04-16,18,5
2023-04-23,16,4
2023-04-30,15,5
2023-05-07,13,3
2023-05-14,16,6
2023-05-21,15,4
2023-05-28,13,3
2023-06-04,14,3
2023-06-11,14,3
2023-06-18,9,2
2023-06-25,11,2
2023-07-02,10,2
2023-07-09,9,2
2023-07-16,6,0
2023-07-23,6,2
2023-07-30,6,2
2023-08-06,6,0
2023-08-13,6,2
2023-08-20,6,1
2023-08-27,8,1
2023-09-03,9,2
2023-09-10,10,2
2023-09-17,9,0
2023-09-24,6,0
2023-10-01,7,1
2023-10-08,7,0
2023-10-15,9,2
2023-10-22,7,0
2023-10-29,7,2
2023-11-05,6,0
2023-11-12,8,2
2023-11-19,6,2
2023-11-26,6,2
2023-12-03,6,2
2023-12-10,8,2
2023-12-17,9,3
2023-12-24,6,0
2023-12-31,12,3
2024-01-07,15,5
2024-01-14,17,5
2024-01-21,21,8
2024-01-28,31,9
2024-02-04,55,16
2024-02-11,75,21
2024-02-18,100,24
2024-02-25,97,26
2024-03-03,100,23
2024-03-10,94,22
2024-03-17,95,24
2024-03-24,72,22
2024-03-31,70,18
2024-04-07,70,19
2024-04-14,62,15
2024-04-21,57,13
2024-04-28,48,11
2024-05-05,36,9
2024-05-12,36,7
2024-05-19,36,7
2024-05-26,26,7
2024-06-02,27,5
2024-06-09,25,5
2024-06-16,24,4
2024-06-23,20,5
2024-06-30,18,3
2024-07-07,17,4
2024-07-14,15,2
2024-07-21,13,0
2024-07-28,12,3
2024-08-04,10,2
2024-08-11,12,2
2024-08-18,13,2
2024-08-25,11,3
2024-09-01,12,3
2024-09-08,13,0
2024-09-15,10,0
2024-09-22,10,2
2024-09-29,8,0
2024-10-06,8,0
2024-10-13,10,0
2024-10-20,11,2
2024-10-27,10,3
2024-11-03,11,0
2024-11-10,11,2
2024-11-17,11,2
2024-11-24,12,3
2024-12-01,11,2
2024-12-08,12,2
2024-12-15,15,3
2024-12-22,15,3
2024-12-29,17,3
2025-01-05,24,4
