Categoria: Todas as categorias

Semana,dengue: (Acre),sintomas dengue: (Acre)
2020-01-12,15,0
2020-01-19,14,0
2020-01-26,11,0
2020-02-02,14,0
2020-02-09,14,0
2020-02-16,13,0
2020-02-23,10,0
2020-03-01,18,0
2020-03-08,17,6
2020-03-15,21,0
2020-03-22,14,0
2020-03-29,10,0
2020-04-05,10,0
2020-04-12,7,0
2020-04-19,11,0
2020-04-26,11,0
2020-05-03,10,0
2020-05-10,13,5
2020-05-17,11,0
2020-05-24,10,0
2020-05-31,12,0
2020-06-07,14,6
2020-06-14,13,0
2020-06-21,6,0
2020-06-28,0,0
2020-07-05,0,0
2020-07-12,5,0
2020-07-19,6,0
2020-07-26,0,0
2020-08-02,0,0
2020-08-09,0,0
2020-08-16,6,0
2020-08-23,5,0
2020-08-30,0,0
2020-09-06,0,0
2020-09-13,0,0
2020-09-20,0,0
2020-09-27,7,0
2020-10-04,7,0
2020-10-11,0,0
2020-10-18,0,0
2020-10-25,7,0
2020-11-01,7,0
2020-11-08,6,0
2020-11-15,7,0
2020-11-22,14,5
2020-11-29,15,6
2020-12-06,17,6
2020-12-13,16,0
2020-12-20,31,8
2020-12-27,26,11
2021-01-03,46,14
2021-01-10,56,21
2021-01-17,52,17
2021-01-24,55,18
2021-01-31,66,19
2021-02-07,63,15
2021-02-14,66,21
2021-02-21,63,19
2021-02-28,52,18
2021-03-07,44,12
2021-03-14,36,11
2021-03-21,26,9
2021-03-28,23,6
2021-04-04,20,5
2021-04-11,12,0
2021-04-18,16,5
2021-04-25,12,0
2021-05-02,5,0
2021-05-09,9,0
2021-05-16,10,0
2021-05-23,0,0
2021-05-30,6,0
2021-06-06,8,0
2021-06-13,5,0
2021-06-20,7,0
2021-06-27,0,0
2021-07-04,0,0
2021-07-11,0,0
2021-07-18,0,0
2021-07-25,0,0
2021-08-01,0,0
2021-08-08,0,0
2021-08-15,0,0
2021-08-22,0,0
2021-08-29,0,0
2021-09-05,0,0
2021-09-12,0,0
2021-09-19,7,0
2021-09-26,0,0
2021-10-03,0,0
2021-10-10,0,0
2021-10-17,0,0
2021-10-24,0,0
2021-10-31,0,0
2021-11-07,0,0
2021-11-14,7,0
2021-11-21,6,0
2021-11-28,7,0
2021-12-05,7,0
2021-12-12,12,0
2021-12-19,10,0
2021-12-26,8,0
2022-01-02,9,0
2022-01-09,12,0
2022-01-16,16,0
2022-01-23,13,0
2022-01-30,9,6
2022-02-06,5,0
2022-02-13,9,0
2022-02-20,7,4
2022-02-27,7,0
2022-03-06,8,0
2022-03-13,10,0
2022-03-20,8,0
2022-03-27,10,0
2022-04-03,6,0
2022-04-10,7,0
2022-04-17,6,4
2022-04-24,5,0
2022-05-01,11,0
2022-05-08,6,0
2022-05-15,0,0
2022-05-22,7,4
2022-05-29,5,0
2022-06-05,5,0
2022-06-12,5,0
2022-06-19,6,0
2022-06-26,6,0
2022-07-03,5,0
2022-07-10,7,0
2022-07-17,6,0
2022-07-24,5,0
2022-07-31,6,0
2022-08-07,6,0
2022-08-14,0,0
2022-08-21,0,0
2022-08-28,0,0
2022-09-04,4,0
2022-09-11,5,0
2022-09-18,4,0
2022-09-25,0,0
2022-10-02,0,0
2022-10-09,0,0
2022-10-16,6,0
2022-10-23,5,0
2022-10-30,5,0
2022-11-06,5,0
2022-11-13,8,0
2022-11-20,6,0
2022-11-27,0,0
2022-12-04,8,0
2022-12-11,5,0
2022-12-18,6,0
2022-12-25,0,0
2023-01-01,10,0
2023-01-08,8,0
2023-01-15,6,0
2023-01-22,6,0
2023-01-29,14,4
2023-02-05,13,0
2023-02-12,17,0
2023-02-19,11,0
2023-02-26,14,0
2023-03-05,16,0
2023-03-12,18,5
2023-03-19,13,5
2023-03-26,18,6
2023-04-02,23,7
2023-04-09,22,5
2023-04-16,23,8
2023-04-23,18,5
2023-04-30,14,4
2023-05-07,13,0
2023-05-14,12,0
2023-05-21,9,0
2023-05-28,8,0
2023-06-04,6,0
2023-06-11,0,0
2023-06-18,6,0
2023-06-25,0,0
2023-07-02,9,5
2023-07-09,8,0
2023-07-16,0,0
2023-07-23,6,0
2023-07-30,0,0
2023-08-06,0,0
2023-08-13,0,0
2023-08-20,5,0
2023-08-27,0,0
2023-09-03,0,0
2023-09-10,0,0
2023-09-17,4,0
2023-09-24,0,0
2023-10-01,0,5
2023-10-08,6,0
2023-10-15,6,0
2023-10-22,8,0
2023-10-29,8,0
2023-11-05,13,0
2023-11-12,13,0
2023-11-19,21,0
2023-11-26,27,5
2023-12-03,43,10
2023-12-10,85,19
2023-12-17,100,20
2023-12-24,97,20
2023-12-31,95,15
2024-01-07,90,15
2024-01-14,57,8
