Categoria: Todas as categorias

Semana,dengue: (Amazonas),sintomas dengue: (Amazonas)
2019-12-29,14,4
2020-01-05,11,0
2020-01-12,12,0
2020-01-19,5,0
2020-01-26,15,3
2020-02-02,13,0
2020-02-09,15,5
2020-02-16,15,4
2020-02-23,13,5
2020-03-01,17,0
2020-03-08,19,4
2020-03-15,27,6
2020-03-22,24,6
2020-03-29,22,5
2020-04-05,29,11
2020-04-12,26,9
2020-04-19,25,11
2020-04-26,19,7
2020-05-03,12,5
2020-05-10,11,4
2020-05-17,9,0
2020-05-24,14,0
2020-05-31,15,4
2020-06-07,10,0
2020-06-14,11,3
2020-06-21,11,0
2020-06-28,7,0
2020-07-05,11,0
2020-07-12,7,0
2020-07-19,10,0
2020-07-26,7,0
2020-08-02,10,0
2020-08-09,6,0
2020-08-16,6,0
2020-08-23,6,0
2020-08-30,9,0
2020-09-06,5,0
2020-09-13,7,0
2020-09-20,7,0
2020-09-27,6,0
2020-10-04,8,0
2020-10-11,9,0
2020-10-18,11,3
2020-10-25,9,0
2020-11-01,6,0
2020-11-08,7,0
2020-11-15,11,4
2020-11-22,13,0
2020-11-29,11,0
2020-12-06,11,0
2020-12-13,12,4
2020-12-20,13,0
2020-12-27,18,9
2021-01-03,23,11
2021-01-10,17,3
2021-01-17,22,7
2021-01-24,21,6
2021-01-31,17,5
2021-02-07,18,4
2021-02-14,22,5
2021-02-21,24,8
2021-02-28,25,10
2021-03-07,20,6
2021-03-14,18,6
2021-03-21,24,6
2021-03-28,21,5
2021-04-04,19,6
2021-04-11,20,4
2021-04-18,24,6
2021-04-25,20,4
2021-05-02,20,5
2021-05-09,18,5
2021-05-16,21,6
2021-05-23,19,5
2021-05-30,13,0
2021-06-06,14,3
2021-06-13,16,0
2021-06-20,12,4
2021-06-27,10,3
2021-07-04,11,3
2021-07-11,14,0
2021-07-18,10,0
2021-07-25,12,0
2021-08-01,11,0
2021-08-08,11,3
2021-08-15,12,0
2021-08-22,10,0
2021-08-29,6,0
2021-09-05,7,0
2021-09-12,9,0
2021-09-19,10,0
