Categoria: Todas as categorias

Semana,dengue: (Goiás),sintomas dengue: (Goiás)
2020-05-10,15,3
2020-05-17,13,3
2020-05-24,12,3
2020-05-31,12,3
2020-06-07,13,4
2020-06-14,11,3
2020-06-21,11,3
2020-06-28,10,3
2020-07-05,9,3
2020-07-12,8,2
2020-07-19,7,2
2020-07-26,8,3
2020-08-02,5,2
2020-08-09,6,2
2020-08-16,5,2
2020-08-23,5,2
2020-08-30,5,1
2020-09-06,4,1
2020-09-13,5,1
2020-09-20,5,1
2020-09-27,4,1
2020-10-04,4,1
2020-10-11,3,1
2020-10-18,3,1
2020-10-25,4,1
2020-11-01,4,1
2020-11-08,4,1
2020-11-15,4,1
2020-11-22,5,1
2020-11-29,6,2
2020-12-06,5,1
2020-12-13,4,2
2020-12-20,4,2
2020-12-27,6,1
2021-01-03,7,2
2021-01-10,6,2
2021-01-17,7,2
2021-01-24,7,2
2021-01-31,9,2
2021-02-07,9,2
2021-02-14,11,3
2021-02-21,13,4
2021-02-28,13,4
2021-03-07,12,4
2021-03-14,15,4
2021-03-21,17,5
2021-03-28,16,4
2021-04-04,15,4
2021-04-11,17,4
2021-04-18,17,4
2021-04-25,14,3
2021-05-02,13,2
2021-05-09,13,3
2021-05-16,12,2
2021-05-23,13,3
2021-05-30,14,3
2021-06-06,12,3
2021-06-13,10,2
2021-06-20,8,2
2021-06-27,6,2
2021-07-04,6,2
2021-07-11,4,1
2021-07-18,4,1
2021-07-25,5,1
2021-08-01,3,1
2021-08-08,4,1
2021-08-15,4,1
2021-08-22,4,1
2021-08-29,4,1
2021-09-05,3,0
2021-09-12,5,1
2021-09-19,4,1
2021-09-26,5,1
2021-10-03,5,1
2021-10-10,4,1
2021-10-17,5,1
2021-10-24,6,1
2021-10-31,5,1
2021-11-07,6,2
2021-11-14,8,2
2021-11-21,10,2
2021-11-28,12,3
2021-12-05,15,4
2021-12-12,18,5
2021-12-19,24,7
2021-12-26,35,10
2022-01-02,46,14
2022-01-09,43,15
2022-01-16,48,15
2022-01-23,49,13
2022-01-30,50,13
2022-02-06,44,11
2022-02-13,44,10
2022-02-20,43,10
2022-02-27,46,10
2022-03-06,49,10
2022-03-13,48,10
2022-03-20,58,12
2022-03-27,57,12
2022-04-03,55,12
2022-04-10,55,13
2022-04-17,61,14
2022-04-24,56,13
2022-05-01,53,11
2022-05-08,53,12
2022-05-15,38,8
2022-05-22,35,9
2022-05-29,31,8
2022-06-05,27,9
2022-06-12,25,7
2022-06-19,21,7
2022-06-26,14,5
2022-07-03,11,4
2022-07-10,8,3
2022-07-17,8,2
2022-07-24,7,2
2022-07-31,7,2
2022-08-07,6,1
2022-08-14,7,2
2022-08-21,6,1
2022-08-28,7,2
2022-09-04,7,2
2022-09-11,7,2
2022-09-18,6,2
2022-09-25,6,2
2022-10-02,6,1
2022-10-09,7,2
2022-10-16,7,2
2022-10-23,7,2
2022-10-30,5,2
2022-11-06,8,2
2022-11-13,8,2
2022-11-20,7,2
2022-11-27,9,3
2022-12-04,9,3
2022-12-11,11,4
2022-12-18,10,4
2022-12-25,11,4
2023-01-01,12,4
2023-01-08,10,3
2023-01-15,11,4
2023-01-22,12,3
2023-01-29,12,3
2023-02-05,13,3
2023-02-12,14,4
2023-02-19,11,3
2023-02-26,13,4
2023-03-05,13,3
2023-03-12,14,4
2023-03-19,17,5
2023-03-26,21,6
2023-04-02,16,5
2023-04-09,16,5
2023-04-16,16,5
2023-04-23,15,5
2023-04-30,16,5
2023-05-07,14,4
2023-05-14,13,3
2023-05-21,11,3
2023-05-28,9,3
2023-06-04,8,2
2023-06-11,9,2
2023-06-18,7,2
2023-06-25,7,2
2023-07-02,7,1
2023-07-09,5,2
2023-07-16,4,1
2023-07-23,4,1
2023-07-30,5,1
2023-08-06,5,1
2023-08-13,5,2
2023-08-20,5,2
2023-08-27,6,1
2023-09-03,6,1
2023-09-10,6,1
2023-09-17,6,1
2023-09-24,5,2
2023-10-01,6,2
2023-10-08,6,2
2023-10-15,7,2
2023-10-22,6,2
2023-10-29,6,1
2023-11-05,8,2
2023-11-12,7,2
2023-11-19,7,1
2023-11-26,10,2
2023-12-03,11,2
2023-12-10,13,3
2023-12-17,14,3
2023-12-24,18,4
2023-12-31,20,5
2024-01-07,24,5
2024-01-14,30,6
2024-01-21,42,9
2024-01-28,60,12
2024-02-04,90,16
2024-02-11,89,19
2024-02-18,100,17
2024-02-25,99,16
2024-03-03,79,13
2024-03-10,81,12
2024-03-17,78,12
2024-03-24,66,12
2024-03-31,67,11
2024-04-07,70,13
2024-04-14,82,13
2024-04-21,74,12
2024-04-28,69,11
2024-05-05,57,9
2024-05-12,51,8
2024-05-19,43,6
2024-05-26,33,5
2024-06-02,27,4
2024-06-09,20,3
2024-06-16,17,3
2024-06-23,14,2
2024-06-30,12,2
2024-07-07,11,2
2024-07-14,8,1
2024-07-21,9,1
2024-07-28,7,1
2024-08-04,6,1
2024-08-11,7,1
2024-08-18,8,2
2024-08-25,8,1
2024-09-01,7,1
2024-09-08,6,1
2024-09-15,6,1
2024-09-22,7,1
2024-09-29,5,1
2024-10-06,6,1
2024-10-13,6,1
2024-10-20,7,1
2024-10-27,8,1
2024-11-03,9,1
2024-11-10,10,1
2024-11-17,13,2
2024-11-24,12,2
2024-12-01,12,2
2024-12-08,13,2
2024-12-15,13,2
2024-12-22,12,2
2024-12-29,15,2
2025-01-05,15,3
2025-01-12,13,1
2025-01-19,17,3
2025-01-26,21,3
2025-02-02,21,3
2025-02-09,20,3
2025-02-16,21,3
2025-02-23,20,2
2025-03-02,17,3
2025-03-09,16,2
2025-03-16,16,2
2025-03-23,15,2
2025-03-30,17,3
2025-04-06,15,2
2025-04-13,15,2
2025-04-20,17,3
2025-04-27,18,3
2025-05-04,19,3
